Sample,Treatment,,,,
ART-156-506-701,ART_H2O_FAIL,,,,
ART-158-508-702,ART_CONT_1,,,,
ART-161-513-702,ART_WHOLE,,,,
ART-162-515-702,ART_CONT_2,,,,
ART-164-517-702,ART_1,,,,
ART-165-518-702,ART_1,,,,
ART-166-520-702,ART_1,,,,
DF-170-503-703,DF,,,,
DF-171-505-703,DF,,,,
DF-172-506-703,DF,,,,
ENV-154-505-702,ENV_H2O,,,,
NP-001-502-714,NOFOOD,,,,
NP-002-503-714,NOFOOD,,,,
NP-003-505-714,NOFOOD,,,,
NP-004-506-714,NOFOOD,,,,
NP-005-507-714,NOFOOD,,,,
NP-006-508-714,ARTEMIA_1_1,,,,
NP-007-510-714,ARTEMIA_1_1,,,,
NP-008-511-714,ARTEMIA_1_1,,,,
NP-009-513-714,ARTEMIA_1_1,,,,
NP-010-515-714,ARTEMIA_1_1,,,,
NP-011-516-714,ARTEMIA_2_1,,,,
NP-013-518-715,ARTEMIA_2_1,,,,
NP-014-520-715,ARTEMIA_2_1,,,,
NP-015-521-715,ARTEMIA_2_1,,,,
NP-016-522-715,ARTEMIA_3_1,,,,
NP-017-502-715,ARTEMIA_3_1,,,,
NP-018-503-715,ARTEMIA_3_1,,,,
NP-019-505-715,ARTEMIA_3_1,,,,
NP-021-511-716,ZOOPLANKTON_1_1,,,,
NP-022-507-715,ZOOPLANKTON_1_1,,,,
NP-023-508-715,ZOOPLANKTON_1_1,,,,
NP-024-510-716,ZOOPLANKTON_1_1,,,,
NP-025-513-716,ZOOPLANKTON_1_1,,,,
NP-026-515-716,ZOOPLANKTON_2_1,,,,
NP-027-516-716,ZOOPLANKTON_2_1,,,,
NP-028-517-716,ZOOPLANKTON_2_1,,,,
NP-029-518-716,ZOOPLANKTON_2_1,,,,
NP-030-520-716,ZOOPLANKTON_2_1,,,,
NP-031-521-716,ZOOPLANKTON_3_1,,,,
NP-032-522-716,ZOOPLANKTON_3_1,,,,
NP-040-511-718,ARTEMIA_1_2,,,,
NP-041-513-718,ARTEMIA_2_2,,,,
NP-042-515-718,ARTEMIA_2_2,,,,
NP-043-516-718,ARTEMIA_2_2,,,,
NP-044-517-718,ARTEMIA_2_2,,,,
NP-045-518-719,ARTEMIA_2_2,,,,
NP-046-520-719,ARTEMIA_3_2,,,,
NP-047-521-719,ARTEMIA_3_2,,,,
NP-048-522-719,ARTEMIA_3_2,,,,
NP-049-502-719,ARTEMIA_3_2,,,,
NP-050-503-719,ARTEMIA_3_2,,,,
NP-051-505-719,ZOOPLANKTON_1_2,,,,
NP-052-506-719,ZOOPLANKTON_1_2,,,,
NP-053-507-719,ZOOPLANKTON_1_2,,,,
NP-054-508-719,ZOOPLANKTON_1_2,,,,
NP-055-510-719,ZOOPLANKTON_1_2,,,,
NP-056-511-720,ZOOPLANKTON_2_2,,,,
NP-057-513-720,ZOOPLANKTON_2_2,,,,
NP-058-515-720,ZOOPLANKTON_2_2,,,,
NP-059-516-720,ZOOPLANKTON_2_2,,,,
NP-060-517-720,ZOOPLANKTON_2_2,,,,
NP-061-518-720,ZOOPLANKTON_3_2,,,,
NP-062-520-721,ZOOPLANKTON_3_2,,,,
NP-063-521-720,ZOOPLANKTON_3_2,,,,
NP-064-522-720,ZOOPLANKTON_3_2,,,,
NP-065-502-720,ZOOPLANKTON_3_2,,,,
NP-066-503-704,ZOOPLANKTON_1_3,,,,
NP-067-505-721,ZOOPLANKTON_1_3,,,,
NP-068-506-721,ZOOPLANKTON_1_3,,,,
NP-069-507-721,ZOOPLANKTON_1_3,,,,
NP-070-508-721,ZOOPLANKTON_1_3,,,,
NP-071-510-721,ZOOPLANKTON_1_3,,,,
NP-072-511-721,ZOOPLANKTON_1_3,,,,
NP-073-513-721,ZOOPLANKTON_2_3,,,,
NP-074-515-704,ZOOPLANKTON_2_3,,,,
NP-075-516-721,ZOOPLANKTON_2_3,,,,
NP-076-517-721,ZOOPLANKTON_2_3,,,,
NP-077-518-721,ZOOPLANKTON_2_3,,,,
NP-078-522-722,ZOOPLANKTON_2_3,,,,
NP-080-520-722,ZOOPLANKTON_3_3,,,,
NP-081-502-722,ZOOPLANKTON_3_3,,,,
NP-082-503-722,ZOOPLANKTON_3_3,,,,
NP-083-505-722,ZOOPLANKTON_3_3,,,,
NP-084-506-722,ZOOPLANKTON_3_3,,,,
NP-085-507-722,ZOOPLANKTON_3_3,,,,
NP-086-508-722,ZOOPLANKTON_3_3,,,,
NP-087-510-722,ARTEMIA_1_3,,,,
NP-088-511-722,ARTEMIA_1_3,,,,
NP-090-515-723,ARTEMIA_1_3,,,,
NP-091-516-723,ARTEMIA_1_3,,,,
NP-093-518-728,ARTEMIA_1_3,,,,
NP-094-520-728,ARTEMIA_2_3,,,,
NP-095-521-728,ARTEMIA_2_3,,,,
NP-096-522-728,ARTEMIA_2_3,,,,
NP-097-502-723,ARTEMIA_2_3,,,,
NP-098-503-723,ARTEMIA_2_3,,,,
NP-099-505-723,ARTEMIA_2_3,,,,
NP-102-508-724,ARTEMIA_3_3,,,,
NP-103-510-724,ARTEMIA_3_3,,,,
NP-104-511-724,ARTEMIA_3_3,,,,
NP-105-513-724,ARTEMIA_3_3,,,,
NP-106-515-724,ARTEMIA_3_3,,,,
NP-108-517-724,ZOOP_2_SF,,,,
NP-109-518-724,ZOOP_2_S,,,,
NP-110A-520-724,ART_2_S,,,,
NP-110B-521-726,ART_2_SF,,,,
NP-111A-522-726,ART_2_SF,,,,
NP-111B-502-726,ART_2_S,,,,
NP-112A-503-726,ZOOP_2_SF,,,,
NP-112B-505-726,ZOOP_2_S,,,,
