Sample,TREATMENT,Replicate,Week
NP-006-508-714,Artemia,A1-1,1
NP-007-510-714,Artemia,A1-1,1
NP-008-511-714,Artemia,A1-1,1
NP-009-513-714,Artemia,A1-1,1
NP-010-515-714,Artemia,A1-1,1
NP-011-516-714,Artemia,A1-2,1
NP-013-518-715,Artemia,A1-2,1
NP-014-520-715,Artemia,A1-2,1
NP-015-521-715,Artemia,A1-2,1
NP-016-522-715,Artemia,A1-3,1
NP-017-502-715,Artemia,A1-3,1
NP-018-503-715,Artemia,A1-3,1
NP-019-505-715,Artemia,A1-3,1
NP-041-513-718,Artemia,A2-2,2
NP-042-515-718,Artemia,A2-2,2
NP-043-516-718,Artemia,A2-2,2
NP-044-517-718,Artemia,A2-2,2
NP-045-518-719,Artemia,A2-2,2
NP-046-520-719,Artemia,A2-3,2
NP-047-521-719,Artemia,A2-3,2
NP-048-522-719,Artemia,A2-3,2
NP-049-502-719,Artemia,A2-3,2
NP-050-503-719,Artemia,A2-3,2
