Sample,Treatment,Replicate,Week
NP-087-510-722,Artemia,A3-1,3
NP-088-511-722,Artemia,A3-1,3
NP-090-515-723,Artemia,A3-1,3
NP-091-516-723,Artemia,A3-1,3
NP-093-518-728,Artemia,A3-1,3
NP-094-520-728,Artemia,A3-2,3
NP-095-521-728,Artemia,A3-2,3
NP-096-522-728,Artemia,A3-2,3
NP-097-502-723,Artemia,A3-2,3
NP-098-503-723,Artemia,A3-2,3
NP-099-505-723,Artemia,A3-2,3
NP-102-508-724,Artemia,A3-3,3
NP-103-510-724,Artemia,A3-3,3
NP-104-511-724,Artemia,A3-3,3
NP-105-513-724,Artemia,A3-3,3
NP-106-515-724,Artemia,A3-3,3
