ASV,NP-139-506-729_F_filt.fastq.gz,NP-140-507-729_F_filt.fastq.gz,NP-141-508-729_F_filt.fastq.gz
ASV1,5,3,3
ASV2,24118,17836,21943
ASV3,0,0,0
ASV5,1,0,0
ASV8,0,0,0
ASV11,0,0,0
ASV15,0,0,0
ASV16,0,0,5
ASV20,0,0,66
ASV21,0,0,0
ASV22,0,0,0
ASV24,0,0,0
ASV25,0,0,0
ASV27,0,0,0
ASV31,0,0,0
ASV32,0,1,21
ASV35,0,0,0
ASV38,0,0,0
ASV43,0,0,0
ASV44,0,0,0
ASV46,0,0,0
ASV49,0,0,0
ASV50,0,0,0
ASV51,0,0,0
ASV53,0,0,0
ASV54,0,0,0
ASV57,0,0,0
ASV58,0,0,0
ASV59,0,0,0
ASV63,0,0,0
ASV83,0,0,0
ASV95,0,0,0
ASV96,0,0,0
ASV98,0,0,0
ASV105,0,0,0
ASV108,0,0,0
ASV114,0,0,0
ASV116,0,0,0
ASV118,0,0,0
ASV119,0,0,0
ASV121,0,0,0
ASV125,0,0,0
ASV130,0,0,0
ASV131,0,0,0
ASV135,0,0,0
ASV136,0,0,0
ASV143,0,0,0
ASV150,0,0,0
ASV151,0,0,0
ASV155,0,0,0
ASV157,0,0,0
ASV160,0,0,0
ASV161,0,0,0
ASV162,0,0,0
ASV163,0,0,0
ASV166,0,0,0
ASV170,0,0,0
ASV178,0,0,0
ASV181,0,0,0
ASV204,0,0,0
ASV205,0,0,0
ASV210,0,0,0
ASV211,0,0,0
ASV218,0,0,0
ASV223,0,0,0
ASV227,0,0,0
ASV230,0,0,0
ASV232,0,0,0
ASV235,0,0,0
ASV242,0,0,0
ASV243,0,0,0
ASV246,0,0,0
ASV247,0,2,23
ASV248,0,0,0
ASV261,0,0,0
ASV263,0,0,0
ASV265,0,0,0
ASV273,0,0,0
ASV275,0,0,0
ASV281,0,0,0
ASV285,0,0,0
ASV286,0,0,0
ASV299,0,0,0
ASV300,0,0,7
ASV307,0,0,0
ASV329,0,0,0
ASV337,1,0,0
ASV343,0,0,0
ASV346,0,0,0
ASV347,0,0,0
ASV352,0,0,0
ASV360,0,0,0
ASV365,0,0,0
ASV368,0,0,0
ASV370,0,0,0
ASV371,0,0,0
ASV379,0,0,0
ASV387,0,0,0
ASV388,0,0,0
ASV391,0,0,0
ASV392,0,0,0
ASV394,0,0,0
ASV397,0,0,0
ASV402,0,0,0
ASV403,0,0,0
ASV406,0,0,0
ASV410,0,0,0
ASV411,0,0,0
ASV412,0,0,0
ASV416,0,0,0
ASV430,0,0,0
ASV433,0,0,0
ASV436,0,0,0
ASV452,0,0,0
ASV461,0,0,0
ASV467,0,0,0
ASV475,0,0,0
ASV479,0,0,0
ASV481,0,0,0
ASV486,0,0,0
ASV488,0,0,0
ASV489,0,0,0
ASV496,0,0,0
ASV498,0,0,0
ASV499,0,0,0
ASV500,0,0,0
ASV502,0,0,0
ASV513,0,0,0
ASV516,0,0,0
ASV523,0,0,0
ASV531,0,0,0
ASV532,0,0,0
ASV534,0,0,0
ASV535,0,0,0
ASV539,0,0,0
ASV542,0,0,0
ASV548,0,0,0
ASV552,0,0,0
ASV558,0,0,0
ASV559,0,0,0
ASV572,0,0,0
ASV573,0,0,0
ASV578,0,0,0
ASV589,0,0,0
ASV592,0,0,0
ASV594,0,0,0
ASV595,0,0,0
ASV596,0,0,0
ASV600,0,0,0
ASV604,0,0,0
ASV606,0,0,0
ASV609,0,0,0
ASV613,0,0,0
ASV618,0,0,0
ASV619,0,0,0
ASV626,0,0,0
ASV630,0,0,0
ASV633,0,0,0
ASV654,0,0,0
ASV656,0,0,0
ASV657,0,0,0
ASV666,0,0,0
ASV669,0,0,0
ASV671,0,0,0
ASV673,0,0,0
ASV675,0,0,0
ASV679,0,0,0
ASV680,0,0,0
ASV685,0,0,0
ASV694,0,0,0
ASV696,0,0,0
ASV698,0,0,0
ASV708,0,0,0
ASV723,0,0,0
ASV726,0,0,0
ASV729,1,0,0
ASV736,0,0,0
ASV738,0,0,4
ASV742,0,0,0
ASV746,0,0,0
ASV769,0,0,0
ASV772,0,0,0
ASV774,0,0,0
ASV776,0,0,0
ASV785,0,0,0
ASV790,0,0,0
ASV793,0,0,0
ASV799,0,0,0
ASV812,0,0,0
ASV813,0,0,0
ASV814,0,0,0
ASV815,0,0,0
ASV826,0,0,0
ASV828,0,0,0
ASV832,0,0,0
ASV835,0,0,0
ASV843,0,0,0
ASV844,0,0,0
ASV848,0,0,0
ASV859,0,0,0
ASV861,0,0,0
ASV869,0,0,0
ASV874,0,0,0
ASV884,0,0,0
ASV886,0,0,0
ASV895,0,0,0
ASV900,0,0,0
ASV902,0,0,0
ASV905,0,0,0
ASV908,0,0,0
ASV916,0,0,0
ASV921,0,0,0
ASV922,0,0,0
ASV935,0,0,0
ASV945,0,0,0
ASV949,0,0,0
ASV950,0,0,0
ASV951,0,0,0
ASV961,0,0,0
ASV965,0,0,0
ASV978,0,0,0
ASV994,0,0,0
ASV998,0,0,0
ASV1001,0,0,0
ASV1015,0,0,0
ASV1019,0,0,0
ASV1021,0,0,0
ASV1023,0,0,0
ASV1024,0,0,0
ASV1026,0,0,0
ASV1032,0,0,0
ASV1034,0,0,0
ASV1038,0,0,0
ASV1040,0,0,0
ASV1048,0,0,0
ASV1049,0,0,0
ASV1050,0,0,0
ASV1062,0,0,0
ASV1091,0,0,0
ASV1115,0,0,0
ASV1118,0,0,0
ASV1120,0,0,0
ASV1131,0,0,0
ASV1134,0,0,0
ASV1140,0,0,0
ASV1152,0,0,0
ASV1165,0,0,0
ASV1169,0,0,0
ASV1170,0,0,0
ASV1172,0,0,0
ASV1177,0,0,0
ASV1184,0,0,0
ASV1191,0,0,0
ASV1195,0,0,0
ASV1198,0,0,0
ASV1208,0,0,0
ASV1209,0,0,0
ASV1224,0,0,0
ASV1226,0,0,0
ASV1227,0,0,0
ASV1241,0,0,0
ASV1254,0,0,0
ASV1262,0,0,0
ASV1265,0,0,0
ASV1269,0,0,0
ASV1270,0,0,0
ASV1285,0,0,0
ASV1309,0,0,0
ASV1312,0,0,0
ASV1317,0,0,0
ASV1329,0,0,0
ASV1339,0,0,0
ASV1347,0,0,0
ASV1348,0,0,0
ASV1349,0,0,0
ASV1360,0,0,0
ASV1361,0,0,0
ASV1365,0,0,0
ASV1373,0,0,0
ASV1376,0,0,0
ASV1381,0,0,0
ASV1396,0,0,0
ASV1401,0,0,0
ASV1406,0,0,0
ASV1421,0,0,0
ASV1438,0,0,0
ASV1440,0,0,0
ASV1461,0,0,0
ASV1469,0,0,0
ASV1470,0,0,0
ASV1471,0,0,0
ASV1484,0,0,0
ASV1492,0,0,0
ASV1523,0,0,0
ASV1527,0,0,0
ASV1529,0,0,0
ASV1536,0,0,0
ASV1543,0,0,0
ASV1544,0,0,0
ASV1556,0,0,0
ASV1559,0,0,0
ASV1572,0,0,0
ASV1575,0,0,0
ASV1579,0,0,0
ASV1607,0,0,0
ASV1618,0,0,0
ASV1620,0,0,0
ASV1630,0,0,0
ASV1636,0,0,0
ASV1680,0,0,0
ASV1695,0,0,0
ASV1713,0,0,0
ASV1755,0,0,0
ASV1759,0,0,0
ASV1760,0,0,0
ASV1772,0,0,0
ASV1774,0,0,0
ASV1783,0,0,0
ASV1797,0,0,0
ASV1802,0,0,0
ASV1809,0,0,0
