Sample,Treatment,Replicate,Week
NP-087-510-722,Artemia-Fed Fish,1,3
NP-088-511-722,Artemia-Fed Fish,1,3
NP-090-515-723,Artemia-Fed Fish,1,3
NP-091-516-723,Artemia-Fed Fish,1,3
NP-093-518-728,Artemia-Fed Fish,1,3
NP-094-520-728,Artemia-Fed Fish,2,3
NP-095-521-728,Artemia-Fed Fish,2,3
NP-096-522-728,Artemia-Fed Fish,2,3
NP-097-502-723,Artemia-Fed Fish,2,3
NP-098-503-723,Artemia-Fed Fish,2,3
NP-099-505-723,Artemia-Fed Fish,2,3
NP-102-508-724,Artemia-Fed Fish,3,3
NP-103-510-724,Artemia-Fed Fish,3,3
NP-104-511-724,Artemia-Fed Fish,3,3
NP-105-513-724,Artemia-Fed Fish,3,3
NP-106-515-724,Artemia-Fed Fish,3,3
NP-139-506-729,Artemia-Fed Fish,1,4
NP-140-507-729,Artemia-Fed Fish,1,4
NP-141-508-729,Artemia-Fed Fish,1,4
NP-144-513-729_F_filt.fastq.gz,Artemia-Fed Fish,2,4
NP-145-515-729_F_filt.fastq.gz,Artemia-Fed Fish,2,4
NP-146-516-701_F_filt.fastq.gz,Artemia-Fed Fish,2,4
NP-147-517-701_F_filt.fastq.gz,Artemia-Fed Fish,2,4
NP-150-521-701_F_filt.fastq.gz,Artemia-Fed Fish,3,4
NP-151-522-701_F_filt.fastq.gz,Artemia-Fed Fish,3,4
NP-152-502-701_F_filt.fastq.gz,Artemia-Fed Fish,3,4
NP-153-503-701_F_filt.fastq.gz,Artemia-Fed Fish,3,4
