ASV,NP-021-511-716_F_filt.fastq.gz,NP-022-507-715_F_filt.fastq.gz,NP-023-508-715_F_filt.fastq.gz,NP-024-510-716_F_filt.fastq.gz,NP-025-513-716_F_filt.fastq.gz,NP-026-515-716_F_filt.fastq.gz,NP-027-516-716_F_filt.fastq.gz,NP-028-517-716_F_filt.fastq.gz,NP-029-518-716_F_filt.fastq.gz,NP-030-520-716_F_filt.fastq.gz,NP-031-521-716_F_filt.fastq.gz,NP-032-522-716_F_filt.fastq.gz,NP-034-502-716_F_filt.fastq.gz,NP-051-505-719_F_filt.fastq.gz,NP-052-506-719_F_filt.fastq.gz,NP-053-507-719_F_filt.fastq.gz,NP-054-508-719_F_filt.fastq.gz,NP-055-510-719_F_filt.fastq.gz,NP-056-511-720_F_filt.fastq.gz,NP-057-513-720_F_filt.fastq.gz,NP-058-515-720_F_filt.fastq.gz,NP-059-516-720_F_filt.fastq.gz,NP-060-517-720_F_filt.fastq.gz,NP-061-518-720_F_filt.fastq.gz,NP-062-520-721_F_filt.fastq.gz,NP-063-521-720_F_filt.fastq.gz,NP-064-522-720_F_filt.fastq.gz,NP-065-502-720_F_filt.fastq.gz
ASV1,5,102,0,3,0,61,4,0,5,1,29,4,2,375,105,305,366,139,43,136,291,189,138,0,42,97,9,36
ASV2,2,0,0,1156,2,1,0,0,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0
ASV3,18942,21701,3167,29472,15636,8356,12698,17434,18139,16461,15405,12945,9325,10027,2540,1997,2841,1437,213,366,520,8361,7703,6515,20141,2366,9003,1685
ASV5,68,223,14,225,160,3671,7627,5496,5440,1992,92,604,148,21972,8644,9649,12650,9882,6761,13020,16005,11570,17518,9229,2862,12059,9514,12663
ASV8,0,0,0,3993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11,2051,1518,75,3126,1199,1594,1458,725,1039,5451,1258,216,3695,1582,2480,2116,0,257,28,896,1094,1489,770,1123,906,219,445,6449
ASV15,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV16,6,29,91,499,168,82,24,26,169,99,107,68,32,0,5,3,0,0,10,0,3,0,7,167,18,70,177,64
ASV20,4,0,107,859,12,8,0,0,0,2,0,54,209,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
ASV21,0,0,0,1122,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ASV22,56,14,2459,199,7,802,16,3,506,47,509,709,442,0,3,0,0,0,1,32,36,0,0,32,3,16,219,36
ASV24,117,561,113,2954,43,446,167,166,231,80,350,165,1459,44,28,305,224,1132,8686,1384,2095,388,436,171,2937,4970,630,46
ASV25,0,0,30,141,52,23,0,0,9,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
ASV27,0,0,87,0,6,0,0,0,0,0,10,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
ASV31,0,0,171,1863,20,26,21,0,5,1640,271,119,15,0,11,0,0,0,0,0,0,0,0,24,3,0,0,0
ASV32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV35,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV38,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV43,5,0,304,5,0,1,0,0,0,0,10,96,6,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0
ASV44,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV46,0,0,656,75,0,4,0,0,0,11,58,37,6,0,0,0,0,0,0,33,0,0,0,34,2,0,22,3
ASV49,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV50,0,0,0,2258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV51,0,2,24,0,0,15,0,0,16,96,62,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ASV53,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV54,308,21,134,63,4,119,60,25,82,35,104,41,174,19,74,82,0,30,0,35,34,125,50,63,43,24,425,787
ASV57,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV58,0,0,96,318,0,86,0,0,0,5,231,77,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV59,0,0,52,0,0,8,0,0,25,62,65,35,5,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0
ASV63,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
