Sample,Treatment,Replicate,Week
NP-021-511-716,Zooplankton,Z1-1,1
NP-022-507-715,Zooplankton,Z1-1,1
NP-023-508-715,Zooplankton,Z1-1,1
NP-024-510-716,Zooplankton,Z1-1,1
NP-025-513-716,Zooplankton,Z1-1,1
NP-026-515-716,Zooplankton,Z1-2,1
NP-027-516-716,Zooplankton,Z1-2,1
NP-028-517-716,Zooplankton,Z1-2,1
NP-029-518-716,Zooplankton,Z1-2,1
NP-030-520-716,Zooplankton,Z1-2,1
NP-031-521-716,Zooplankton,Z1-3,1
NP-032-522-716,Zooplankton,Z1-3,1
NP-034-502-716,Zooplankton,Z1-3,1
NP-051-505-719,Zooplankton,Z2-1,2
NP-052-506-719,Zooplankton,Z2-1,2
NP-053-507-719,Zooplankton,Z2-1,2
NP-054-508-719,Zooplankton,Z2-1,2
NP-055-510-719,Zooplankton,Z2-1,2
NP-056-511-720,Zooplankton,Z2-2,2
NP-057-513-720,Zooplankton,Z2-2,2
NP-058-515-720,Zooplankton,Z2-2,2
NP-059-516-720,Zooplankton,Z2-2,2
NP-060-517-720,Zooplankton,Z2-2,2
NP-061-518-720,Zooplankton,Z2-3,2
NP-062-520-721,Zooplankton,Z2-3,2
NP-063-521-720,Zooplankton,Z2-3,2
NP-064-522-720,Zooplankton,Z2-3,2
NP-065-502-720,Zooplankton,Z2-3,2
