Sample,Treatment,Replicate,Week
NP-051-505-719,Zooplankton,Z2-1,2
NP-052-506-719,Zooplankton,Z2-1,2
NP-053-507-719,Zooplankton,Z2-1,2
NP-054-508-719,Zooplankton,Z2-1,2
NP-055-510-719,Zooplankton,Z2-1,2
NP-056-511-720,Zooplankton,Z2-2,2
NP-057-513-720,Zooplankton,Z2-2,2
NP-058-515-720,Zooplankton,Z2-2,2
NP-059-516-720,Zooplankton,Z2-2,2
NP-060-517-720,Zooplankton,Z2-2,2
NP-061-518-720,Zooplankton,Z2-3,2
NP-062-520-721,Zooplankton,Z2-3,2
NP-063-521-720,Zooplankton,Z2-3,2
NP-064-522-720,Zooplankton,Z2-3,2
NP-065-502-720,Zooplankton,Z2-3,2
