Sample,Treatment,Week,Replicate
NP-066-503-704,Zooplankton,3,Z3-1
NP-067-505-721,Zooplankton,3,Z3-1
NP-068-506-721,Zooplankton,3,Z3-1
NP-069-507-721,Zooplankton,3,Z3-1
NP-070-508-721,Zooplankton,3,Z3-1
NP-071-510-721,Zooplankton,3,Z3-1
NP-072-511-721,Zooplankton,3,Z3-1
NP-073-513-721,Zooplankton,3,Z3-2
NP-074-515-704,Zooplankton,3,Z3-2
NP-075-516-721,Zooplankton,3,Z3-2
NP-076-517-721,Zooplankton,3,Z3-2
NP-077-518-721,Zooplankton,3,Z3-2
NP-078-522-722,Zooplankton,3,Z3-2
NP-080-520-722,Zooplankton,3,Z3-3
NP-081-502-722,Zooplankton,3,Z3-3
NP-083-505-722,Zooplankton,3,Z3-3
NP-084-506-722,Zooplankton,3,Z3-3
NP-085-507-722,Zooplankton,3,Z3-3
NP-086-508-722,Zooplankton,3,Z3-3
