Genus,Treatment,AVG,Log2
Aeromonas,Artemia/Week 1,42.23076923,1.479929742
Shewanella,Artemia/Week 1,19.68461538,0.346245743
Escherichia/Shigella,Artemia/Week 1,15.27802198,0.630597713
Enterobacter,Artemia/Week 1,1.205494505,4.746125799
Exiguobacterium,Artemia/Week 1,7.965934066,0.005918058
Chryseomicrobium,Artemia/Week 1,5.881318681,0.003886398
Domibacillus,Artemia/Week 1,2.891208791,0.046940327
Lelliottia,Artemia/Week 1,0.052747253,154.8624993
Cedecea,Artemia/Week 1,0.392307692,4.79943978
Aeromonas,Artemia/Week 2,62.49857143,
Shewanella,Artemia/Week 2,6.815714286,
Escherichia/Shigella,Artemia/Week 2,9.634285714,
Enterobacter,Artemia/Week 2,5.721428571,
Exiguobacterium,Artemia/Week 2,0.047142857,
Chryseomicrobium,Artemia/Week 2,0.022857143,
Domibacillus,Artemia/Week 2,0.135714286,
Lelliottia,Artemia/Week 2,8.168571429,
Cedecea,Artemia/Week 2,1.882857143,
