Genus,NP-006-508-714_F_filt.fastq.gz,NP-007-510-714_F_filt.fastq.gz,NP-008-511-714_F_filt.fastq.gz,NP-009-513-714_F_filt.fastq.gz,NP-010-515-714_F_filt.fastq.gz,NP-011-516-714_F_filt.fastq.gz,NP-013-518-715_F_filt.fastq.gz,NP-014-520-715_F_filt.fastq.gz,NP-015-521-715_F_filt.fastq.gz,NP-016-522-715_F_filt.fastq.gz,NP-017-502-715_F_filt.fastq.gz,NP-018-503-715_F_filt.fastq.gz,NP-019-505-715_F_filt.fastq.gz,,,,,,,
Plesiomonas,0,0,0,0,0,1,0,0,0,0,1,0,5,,,,,,,
Lelliottia,2,0,3,0,0,12,4,0,0,3,1,5,18,3.692307692,0.000527473,0.052747253,,,,
Aeromonas,3357,1892,378,2036,450,4642,4853,3351,3484,1119,4150,4975,3743,2956.153846,0.422307692,42.23076923,1618.573593,0.231224799,23.12247989,6.413022067
Shewanella,2548,516,2239,2871,2181,708,698,2329,1751,334,771,671,296,1377.923077,0.196846154,19.68461538,949.1623905,0.135594627,13.55946272,3.760718316
Escherichia/Shigella,150,665,1105,1606,1260,734,904,1038,945,2971,939,223,1363,1069.461538,0.15278022,15.27802198,702.7542974,0.100393471,10.03934711,2.784413905
Deefgea,14,0,0,0,1,0,0,0,0,51,66,8,14,11.84615385,0.001692308,0.169230769,21.58257844,0.003083225,0.308322549,0.085513289
Arcicella,0,0,0,0,0,0,0,0,1,0,0,0,0,0.076923077,1.10E-05,0.001098901,0.277350098,3.96E-05,0.003962144,0.001098901
Pseudomonas,119,215,124,6,64,14,93,10,49,260,56,82,33,86.53846154,0.012362637,1.236263736,77.69235847,0.011098908,1.109890835,0.307828332
Paracoccus,1,4,140,0,17,11,6,0,0,26,3,14,19,18.53846154,0.002648352,0.264835165,37.45801068,0.005351144,0.535114438,0.148414042
Enterobacter,20,83,5,74,60,142,191,88,104,32,16,54,228,84.38461538,0.012054945,1.205494505,67.82641872,0.009689488,0.968948839,0.268738056
Flavobacterium,4,0,0,0,0,0,0,0,0,4,0,5,0,1,0.000142857,0.014285714,1.914854216,0.000273551,0.02735506,0.007586929
Clostridium_sensu_stricto_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exiguobacterium,306,855,1276,124,1369,375,85,61,304,908,400,507,679,557.6153846,0.079659341,7.965934066,432.7009241,0.061814418,6.181441773,1.714423482
Acidovorax,0,10,0,0,0,0,0,0,0,0,0,0,0,0.769230769,0.00010989,0.010989011,2.773500981,0.000396214,0.039621443,0.010989011
Rheinheimera,0,30,9,0,10,0,0,0,0,3,17,0,3,5.538461538,0.000791209,0.079120879,9.079421647,0.00129706,0.129706024,0.035973978
Photobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chryseomicrobium,126,1594,814,139,804,130,33,33,154,676,318,259,272,411.6923077,0.058813187,5.881318681,449.4094986,0.064201357,6.420135694,1.780625265
Sphaerotilus,5,0,0,0,0,0,0,0,0,4,6,0,0,1.153846154,0.000164835,0.016483516,2.2303271,0.000318618,0.031861816,0.008836878
Domibacillus,152,527,507,51,501,113,35,16,87,362,107,85,88,202.3846154,0.028912088,2.891208791,195.4249807,0.027917854,2.791785438,0.774301965
Chryseobacterium,0,0,0,0,2,0,0,0,0,0,0,0,0,0.153846154,2.20E-05,0.002197802,,,,
Citrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Psychrobacter,5,0,2,0,0,0,0,0,0,0,0,9,22,2.923076923,0.000417582,0.041758242,,,,
Vogesella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Halomonas,89,301,208,29,130,28,7,1,5,52,25,28,51,73.38461538,0.010483516,1.048351648,,,,
Acinetobacter,16,42,5,23,7,7,4,7,25,37,64,25,2,20.30769231,0.002901099,0.29010989,,,,
Cedecea,5,8,3,18,13,59,65,39,37,12,6,19,73,27.46153846,0.003923077,0.392307692,,,,
Limnohabitans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Mitsuaria,0,0,0,0,0,0,1,0,0,0,0,0,0,0.076923077,1.10E-05,0.001098901,,,,
Salegentibacter,0,44,18,0,17,0,0,0,0,2,0,0,20,7.769230769,0.00110989,0.110989011,,,,
Alicycliphilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Algoriphagus,3,2,4,4,4,0,0,0,0,5,1,0,1,1.846153846,0.000263736,0.026373626,,,,
Emticicia,1,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,1.10E-05,0.001098901,,,,
Undibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Raoultella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
