Genus,Treatment,Average,Log2
Lelliottia,Artemia/Week 2,8.168571429,9.913103358
Aeromonas,Artemia/Week 2,62.49857143,0.202090333
Escherichia/Shigella,Artemia/Week 2,6.815714286,0.000131
Deefgea,Artemia/Week 2,9.634285714,0
Enterobacter,Artemia/Week 2,5.721428571,0.0221598
Cedecea,Artemia/Week 2,1.882857143,0.011855083
Lelliottia,Artemia/Week 3,80.97589286,
Aeromonas,Artemia/Week 3,12.63035714,
Escherichia/Shigella,Artemia/Week 3,0.000892857,
Deefgea,Artemia/Week 3,0,
Enterobacter,Artemia/Week 3,0.126785714,
Cedecea,Artemia/Week 3,0.022321429,
