Genus,NP-041-513-718_F_filt.fastq.gz,NP-042-515-718_F_filt.fastq.gz,NP-043-516-718_F_filt.fastq.gz,NP-044-517-718_F_filt.fastq.gz,NP-045-518-719_F_filt.fastq.gz,NP-046-520-719_F_filt.fastq.gz,NP-047-521-719_F_filt.fastq.gz,NP-048-522-719_F_filt.fastq.gz,NP-049-502-719_F_filt.fastq.gz,NP-050-503-719_F_filt.fastq.gz,,,,,,,
Plesiomonas,0,0,0,0,0,0,0,0,0,2,,,,,,,
Lelliottia,391,1159,356,855,1389,306,192,646,198,226,571.8,0.081685714,8.168571429,428.4062973,0.0612009,6.120089961,1.935342376
Aeromonas,5622,4661,6001,4445,2870,3365,4172,4138,4466,4009,4374.9,0.624985714,62.49857143,931.5650451,0.133080721,13.30807207,4.208381902
Shewanella,43,15,96,20,26,23,41,30,34,54,38.2,0.005457143,0.545714286,23.46534087,0.003352192,0.335219155,0.106005605
Escherichia/Shigella,520,457,188,517,1892,314,100,390,206,187,477.1,0.068157143,6.815714286,518.9094226,0.074129918,7.412991751,2.344193821
Deefgea,5,3,0,0,0,1275,1081,1172,1699,1509,674.4,0.096342857,9.634285714,729.0276934,0.104146813,10.41468133,3.293411412
Arcicella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas,72,103,27,43,31,26,21,9,41,25,39.8,0.005685714,0.568571429,27.87990116,0.003982843,0.398284302,0.125948555
Paracoccus,50,33,114,186,121,67,144,18,22,21,77.6,0.011085714,1.108571429,59.7014796,0.008528783,0.85287828,0.269703793
Enterobacter,107,236,72,478,327,1191,390,421,131,652,400.5,0.057214286,5.721428571,332.3028237,0.047471832,4.747183196,1.501191137
Flavobacterium,0,0,3,5,0,0,2,0,2,0,1.2,0.000171429,0.017142857,1.751190072,0.00025017,0.025017001,0.00791107
Clostridium_sensu_stricto_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exiguobacterium,2,0,3,5,0,2,7,9,0,5,3.3,0.000471429,0.047142857,3.128720008,0.00044696,0.044696,0.014134116
Acidovorax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheinheimera,79,2,29,18,0,3,21,1,88,13,25.4,0.003628571,0.362857143,32.18419212,0.004597742,0.459774173,0.14539336
Photobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
