Sample,Treatment
NP-006-508-714_F_filt.fastq.gz,Artemia/Week 1
NP-007-510-714_F_filt.fastq.gz,Artemia/Week 1
NP-008-511-714_F_filt.fastq.gz,Artemia/Week 1
NP-009-513-714_F_filt.fastq.gz,Artemia/Week 1
NP-010-515-714_F_filt.fastq.gz,Artemia/Week 1
NP-011-516-714_F_filt.fastq.gz,Artemia/Week 1
NP-013-518-715_F_filt.fastq.gz,Artemia/Week 1
NP-014-520-715_F_filt.fastq.gz,Artemia/Week 1
NP-015-521-715_F_filt.fastq.gz,Artemia/Week 1
NP-016-522-715_F_filt.fastq.gz,Artemia/Week 1
NP-017-502-715_F_filt.fastq.gz,Artemia/Week 1
NP-018-503-715_F_filt.fastq.gz,Artemia/Week 1
NP-019-505-715_F_filt.fastq.gz,Artemia/Week 1
