Sample,Treatment
NP-087-510-722_F_filt.fastq.gz,Artemia/Week 3
NP-088-511-722_F_filt.fastq.gz,Artemia/Week 3
NP-090-515-723_F_filt.fastq.gz,Artemia/Week 3
NP-091-516-723_F_filt.fastq.gz,Artemia/Week 3
NP-093-518-728_F_filt.fastq.gz,Artemia/Week 3
NP-094-520-728_F_filt.fastq.gz,Artemia/Week 3
NP-095-521-728_F_filt.fastq.gz,Artemia/Week 3
NP-096-522-728_F_filt.fastq.gz,Artemia/Week 3
NP-097-502-723_F_filt.fastq.gz,Artemia/Week 3
NP-098-503-723_F_filt.fastq.gz,Artemia/Week 3
NP-099-505-723_F_filt.fastq.gz,Artemia/Week 3
NP-102-508-724_F_filt.fastq.gz,Artemia/Week 3
NP-103-510-724_F_filt.fastq.gz,Artemia/Week 3
NP-104-511-724_F_filt.fastq.gz,Artemia/Week 3
NP-105-513-724_F_filt.fastq.gz,Artemia/Week 3
NP-106-515-724_F_filt.fastq.gz,Artemia/Week 3
