OTU,Sample,Abundance,Treatment,Genus
ASV27,NP-001-502-714_F_filt.fastq.gz,0.562,Week 0,Acidovorax
ASV3,NP-001-502-714_F_filt.fastq.gz,0.000285714,Week 0,Aeromonas
ASV57,NP-001-502-714_F_filt.fastq.gz,0,Week 0,Cedecea
ASV46,NP-001-502-714_F_filt.fastq.gz,0.029,Week 0,Chryseobacterium
ASV38,NP-001-502-714_F_filt.fastq.gz,0,Week 0,Chryseomicrobium
ASV24,NP-001-502-714_F_filt.fastq.gz,0,Week 0,Clostridium_sensu_stricto_1
ASV108,NP-001-502-714_F_filt.fastq.gz,0.001,Week 0,Collimonas
ASV11,NP-001-502-714_F_filt.fastq.gz,0.000142857,Week 0,Deefgea
ASV44,NP-001-502-714_F_filt.fastq.gz,0,Week 0,Domibacillus
ASV21,NP-001-502-714_F_filt.fastq.gz,0,Week 0,Enterobacter
ASV8,NP-001-502-714_F_filt.fastq.gz,0,Week 0,Escherichia/Shigella
ASV25,NP-001-502-714_F_filt.fastq.gz,0,Week 0,Exiguobacterium
ASV135,NP-001-502-714_F_filt.fastq.gz,0.018,Week 0,Janthinobacterium
ASV2,NP-001-502-714_F_filt.fastq.gz,0,Week 0,Lelliottia
ASV118,NP-001-502-714_F_filt.fastq.gz,0.058285714,Week 0,Methyloversatilis
ASV1,NP-001-502-714_F_filt.fastq.gz,0.000285714,Week 0,Plesiomonas
ASV16,NP-001-502-714_F_filt.fastq.gz,0.125571429,Week 0,Pseudomonas
ASV5,NP-001-502-714_F_filt.fastq.gz,0,Week 0,Shewanella
ASV136,NP-001-502-714_F_filt.fastq.gz,0.001714286,Week 0,Sphingobacterium
ASV98,NP-001-502-714_F_filt.fastq.gz,0.063857143,Week 0,Undibacterium
ASV27,NP-002-503-714_F_filt.fastq.gz,0.120142857,Week 0,Acidovorax
ASV3,NP-002-503-714_F_filt.fastq.gz,0.000571429,Week 0,Aeromonas
ASV57,NP-002-503-714_F_filt.fastq.gz,0,Week 0,Cedecea
ASV46,NP-002-503-714_F_filt.fastq.gz,0.078142857,Week 0,Chryseobacterium
ASV38,NP-002-503-714_F_filt.fastq.gz,0,Week 0,Chryseomicrobium
ASV24,NP-002-503-714_F_filt.fastq.gz,0,Week 0,Clostridium_sensu_stricto_1
ASV108,NP-002-503-714_F_filt.fastq.gz,0.012,Week 0,Collimonas
ASV11,NP-002-503-714_F_filt.fastq.gz,0,Week 0,Deefgea
ASV44,NP-002-503-714_F_filt.fastq.gz,0,Week 0,Domibacillus
ASV21,NP-002-503-714_F_filt.fastq.gz,0,Week 0,Enterobacter
ASV8,NP-002-503-714_F_filt.fastq.gz,0,Week 0,Escherichia/Shigella
ASV25,NP-002-503-714_F_filt.fastq.gz,0,Week 0,Exiguobacterium
ASV135,NP-002-503-714_F_filt.fastq.gz,0.015142857,Week 0,Janthinobacterium
ASV2,NP-002-503-714_F_filt.fastq.gz,0,Week 0,Lelliottia
ASV118,NP-002-503-714_F_filt.fastq.gz,0.039714286,Week 0,Methyloversatilis
ASV1,NP-002-503-714_F_filt.fastq.gz,0.000142857,Week 0,Plesiomonas
ASV16,NP-002-503-714_F_filt.fastq.gz,0.547428571,Week 0,Pseudomonas
ASV5,NP-002-503-714_F_filt.fastq.gz,0,Week 0,Shewanella
ASV136,NP-002-503-714_F_filt.fastq.gz,0.025857143,Week 0,Sphingobacterium
ASV98,NP-002-503-714_F_filt.fastq.gz,0.022,Week 0,Undibacterium
ASV27,NP-005-507-714_F_filt.fastq.gz,0.124285714,Week 0,Acidovorax
ASV3,NP-005-507-714_F_filt.fastq.gz,0,Week 0,Aeromonas
ASV57,NP-005-507-714_F_filt.fastq.gz,0,Week 0,Cedecea
ASV46,NP-005-507-714_F_filt.fastq.gz,0.277571429,Week 0,Chryseobacterium
ASV38,NP-005-507-714_F_filt.fastq.gz,0,Week 0,Chryseomicrobium
ASV24,NP-005-507-714_F_filt.fastq.gz,0,Week 0,Clostridium_sensu_stricto_1
ASV108,NP-005-507-714_F_filt.fastq.gz,0.014714286,Week 0,Collimonas
ASV11,NP-005-507-714_F_filt.fastq.gz,0,Week 0,Deefgea
ASV44,NP-005-507-714_F_filt.fastq.gz,0,Week 0,Domibacillus
ASV21,NP-005-507-714_F_filt.fastq.gz,0,Week 0,Enterobacter
ASV8,NP-005-507-714_F_filt.fastq.gz,0,Week 0,Escherichia/Shigella
ASV25,NP-005-507-714_F_filt.fastq.gz,0,Week 0,Exiguobacterium
ASV135,NP-005-507-714_F_filt.fastq.gz,0.042714286,Week 0,Janthinobacterium
ASV2,NP-005-507-714_F_filt.fastq.gz,0,Week 0,Lelliottia
ASV118,NP-005-507-714_F_filt.fastq.gz,0.017857143,Week 0,Methyloversatilis
ASV1,NP-005-507-714_F_filt.fastq.gz,0.000285714,Week 0,Plesiomonas
ASV16,NP-005-507-714_F_filt.fastq.gz,0.315428571,Week 0,Pseudomonas
ASV5,NP-005-507-714_F_filt.fastq.gz,0,Week 0,Shewanella
ASV136,NP-005-507-714_F_filt.fastq.gz,0.059428571,Week 0,Sphingobacterium
ASV98,NP-005-507-714_F_filt.fastq.gz,0.021,Week 0,Undibacterium
