Genus,NP-001-502-714_F_filt.fastq.gz,NP-002-503-714_F_filt.fastq.gz,NP-005-507-714_F_filt.fastq.gz,,,,,,,
Plesiomonas,2,1,2,,,,,,,
Lelliottia,0,0,0,,,,,,,
Aeromonas,2,2,0,1.333333333,0.000190476,0.019047619,,,,
Shewanella,0,0,0,0,0,0,,,,
Escherichia/Shigella,0,0,0,0,0,0,,,,
Deefgea,1,0,0,0.333333333,4.7619E-05,0.004761905,,,,
Arcicella,0,0,0,0,0,0,,,,
Pseudomonas,885,3831,2188,2301.333333,0.328761905,32.87619048,1476.266349,0.210895193,21.08951927,12.17603963
Paracoccus,0,0,0,0,0,0,0,0,0,0
Enterobacter,0,0,0,0,0,0,0,0,0,0
Flavobacterium,44,70,445,186.3333333,0.026619048,2.661904762,224.3887995,0.032055543,3.205554278,1.850727625
Clostridium_sensu_stricto_1,0,0,0,0,0,0,0,0,0,0
Exiguobacterium,0,0,0,0,0,0,0,0,0,0
Acidovorax,3942,852,876,1890,0.27,27,1777.124644,0.253874949,25.38749491,14.65747702
Rheinheimera,0,0,20,6.666666667,0.000952381,0.095238095,11.54700538,0.001649572,0.16495722,0.095238095
Photobacterium,0,0,0,0,0,0,0,0,0,0
Leptothrix,0,0,0,0,0,0,0,0,0,0
Chryseomicrobium,0,0,0,0,0,0,0,0,0,0
Sphaerotilus,0,0,0,0,0,0,0,0,0,0
Domibacillus,0,0,0,0,0,0,0,0,0,0
Chryseobacterium,202,536,1935,891,0.127285714,12.72857143,919.4242764,0.131346325,13.13463252,7.583283621
Citrobacter,0,0,0,0,0,0,0,0,0,0
Psychrobacter,0,0,0,0,0,0,0,0,0,0
Vogesella,0,0,0,0,0,0,0,0,0,0
Halomonas,0,0,0,0,0,0,0,0,0,0
Acinetobacter,0,33,5,12.66666667,0.001809524,0.180952381,17.7857621,0.002540823,0.254082316,0.146694493
Cedecea,0,0,0,0,0,0,0,0,0,0
Limnohabitans,0,10,15,8.333333333,0.001190476,0.119047619,7.637626158,0.001091089,0.109108945,0.062994079
Mitsuaria,0,0,0,0,0,0,0,0,0,0
Salegentibacter,0,0,0,0,0,0,0,0,0,0
Alicycliphilus,0,0,0,0,0,0,0,0,0,0
Algoriphagus,0,0,0,0,0,0,0,0,0,0
Emticicia,0,0,0,0,0,0,0,0,0,0
Undibacterium,446,172,159,259,0.037,3.7,162.0771421,0.023153877,2.315387745,1.336789738
Raoultella,0,0,0,0,0,0,0,0,0,0
Collimonas,6,92,101,66.33333333,0.00947619,0.947619048,52.44362052,0.007491946,0.749194579,0.432547692
Romboutsia,0,0,0,0,0,0,0,0,0,0
Variovorax,0,0,0,0,0,0,0,0,0,0
Methyloversatilis,412,281,125,272.6666667,0.038952381,3.895238095,143.6813604,0.020525909,2.052590863,1.185063887
Methylomonas,0,0,0,0,0,0,0,0,0,0
Planococcus,0,0,0,0,0,0,0,0,0,0
Pseudocitrobacter,0,0,0,0,0,0,0,0,0,0
Yangia,0,0,0,0,0,0,0,0,0,0
Gillisia,0,0,0,0,0,0,0,0,0,0
Janthinobacterium,129,99,308,178.6666667,0.02552381,2.552380952,113.0058996,0.0161437,1.614369994,0.93205695
Sphingobacterium,10,179,418,202.3333333,0.028904762,2.89047619,204.998374,0.029285482,2.9285482,1.690798091
Microbacterium,0,0,0,,,,,,,
Alkanindiges,0,0,0,,,,,,,
Fluviicola,0,235,49,,,,,,,
Hydrogenophaga,11,75,8,,,,,,,
Shinella,0,0,0,,,,,,,
Sediminibacterium,0,45,0,,,,,,,
Thermoflexibacter,0,0,0,,,,,,,
Tabrizicola,0,0,0,,,,,,,
Herminiimonas,0,159,67,,,,,,,
Curvibacter,0,0,0,,,,,,,
Arenimonas,0,9,0,,,,,,,
Rhizobacter,290,29,20,,,,,,,
Terrisporobacter,0,0,0,,,,,,,
Gemmobacter,0,0,0,,,,,,,
Sphingomonas,0,4,0,,,,,,,
Pedobacter,0,18,85,,,,,,,
