Genus,Treatment,AVG,Log2
Aeromonas,Week 0,0.019047619,3571.903846
Deefgea,Week 0,0.004761905,1681.153846
Clostridium_sensu_stricto_1,Week 0,0,
Pseudomonas,Week 0,32.87619048,0.013938408
Acidovorax,Week 0,27,0.002564103
Chryseobacterium,Week 0,12.72857143,0.04040404
Undibacterium,Week 0,3.7,0.005049005
Collimonas,Week 0,0.947619048,0.003478933
Methyloversatilis,Week 0,3.895238095,0
Janthinobacterium,Week 0,2.552380952,0.011624569
Sphingobacterium,Week 0,2.89047619,0
Aeromonas,Zooplankton/Week 1,68.03626374,
Deefgea,Zooplankton/Week 1,8.005494505,
Clostridium_sensu_stricto_1,Zooplankton/Week 1,2.106593407,
Pseudomonas,Zooplankton/Week 1,0.458241758,
Acidovorax,Zooplankton/Week 1,0.069230769,
Chryseobacterium,Zooplankton/Week 1,0.514285714,
Undibacterium,Zooplankton/Week 1,0.018681319,
Collimonas,Zooplankton/Week 1,0.003296703,
Methyloversatilis,Zooplankton/Week 1,0,
Janthinobacterium,Zooplankton/Week 1,0.02967033,
Sphingobacterium,Zooplankton/Week 1,0,
