Genus,NP-021-511-716_F_filt.fastq.gz,NP-022-507-715_F_filt.fastq.gz,NP-023-508-715_F_filt.fastq.gz,NP-024-510-716_F_filt.fastq.gz,NP-025-513-716_F_filt.fastq.gz,NP-026-515-716_F_filt.fastq.gz,NP-027-516-716_F_filt.fastq.gz,NP-028-517-716_F_filt.fastq.gz,NP-029-518-716_F_filt.fastq.gz,NP-030-520-716_F_filt.fastq.gz,NP-031-521-716_F_filt.fastq.gz,NP-032-522-716_F_filt.fastq.gz,NP-034-502-716_F_filt.fastq.gz,,,Aeromonas,Deefgea,ClostridiumSS1,,
Plesiomonas,0,30,0,0,0,31,3,0,0,1,11,1,1,,,,,,,
Lelliottia,0,0,0,179,2,0,0,0,0,1,0,0,7,,,,,,,
Aeromonas,6102,6246,2098,4127,6190,3758,3973,5093,4865,4446,5643,5678,3694,4762.538462,0.680362637,68.03626374,1229.619224,0.175659889,17.56598891,4.871928749
Shewanella,20,57,12,29,59,1643,2421,1642,1415,519,31,263,61,628.6153846,0.089802198,8.98021978,840.3055534,0.12004365,12.00436505,3.329411824
Escherichia/Shigella,0,0,0,570,0,0,0,0,0,0,0,0,0,43.84615385,0.006263736,0.626373626,158.0895559,0.022584222,2.258422227,0.626373626
Deefgea,702,428,52,434,463,713,473,196,282,1453,473,90,1526,560.3846154,0.080054945,8.005494505,458.32731,0.06547533,6.547533,1.81595892
Arcicella,0,0,17,0,0,0,0,0,0,0,0,0,0,1.307692308,0.000186813,0.018681319,4.714951668,0.000673565,0.067356452,0.018681319
Pseudomonas,2,6,60,67,60,35,8,10,48,31,53,28,9,32.07692308,0.004582418,0.458241758,23.59541459,0.003370774,0.337077351,0.093488436
Paracoccus,0,0,76,120,4,3,0,0,0,1,0,25,85,24.15384615,0.003450549,0.345054945,41.29940709,0.005899915,0.58999153,0.163634209
Enterobacter,0,0,0,172,0,0,0,0,0,0,0,0,0,13.23076923,0.00189011,0.189010989,47.70421688,0.006814888,0.681488813,0.189010989
Flavobacterium,17,7,1608,26,2,334,9,1,141,8,173,284,166,213.5384615,0.030505495,3.050549451,434.3216196,0.062045946,6.204594565,1.720844911
