Genus,NP-051-505-719_F_filt.fastq.gz,NP-052-506-719_F_filt.fastq.gz,NP-053-507-719_F_filt.fastq.gz,NP-054-508-719_F_filt.fastq.gz,NP-055-510-719_F_filt.fastq.gz,NP-056-511-720_F_filt.fastq.gz,NP-057-513-720_F_filt.fastq.gz,NP-058-515-720_F_filt.fastq.gz,NP-059-516-720_F_filt.fastq.gz,NP-060-517-720_F_filt.fastq.gz,NP-061-518-720_F_filt.fastq.gz,NP-062-520-721_F_filt.fastq.gz,NP-063-521-720_F_filt.fastq.gz,NP-064-522-720_F_filt.fastq.gz,NP-065-502-720_F_filt.fastq.gz,,Shewanella,Aeromonas,Deefgea,Clostridum SS1,,
Plesiomonas,65,56,133,165,87,21,59,94,57,27,0,12,33,3,15,,,,,,,
Lelliottia,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,,,,,,,
Aeromonas,2048,1268,952,1259,786,107,162,184,2628,2030,2573,5176,837,3010,516,1569.066667,0.224152381,22.4152381,1376.299877,0.196614268,19.66142681,5.076558574
Shewanella,4510,4312,4690,5433,5381,3008,5448,5498,3552,4618,3683,715,4222,3240,4024,4155.6,0.593657143,59.36571429,1249.50269,0.178500384,17.85003843,4.608860104
Escherichia/Shigella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deefgea,346,1253,1032,0,145,8,373,388,462,184,464,224,77,144,2040,476,0.068,6.8,558.5637193,0.079794817,7.979481704,2.060293317
Arcicella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas,0,3,1,0,0,6,0,2,0,2,57,5,28,56,22,12.13333333,0.001733333,0.173333333,19.86334264,0.00283762,0.283762038,0.073267043
Paracoccus,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.133333333,1.90E-05,0.001904762,0.516397779,7.37711E-05,0.007377111,0.001904762
Enterobacter,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,9.52E-06,0.000952381,0.25819889,3.68856E-05,0.003688556,0.000952381
Flavobacterium,0,2,0,0,0,1,16,16,0,0,13,1,6,64,8,8.466666667,0.001209524,0.120952381,16.49184503,0.002355978,0.235597786,0.060831087
Clostridium_sensu_stricto_1,11,15,144,95,584,3839,572,733,130,105,71,730,1749,211,15,600.2666667,0.085752381,8.575238095,1008.477244,0.144068178,14.40681777,3.719824353
Exiguobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,,,,,,,
Acidovorax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rheinheimera,0,5,0,0,0,0,0,0,0,0,14,1,0,0,0,,,,,,,
Photobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Leptothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chryseomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sphaerotilus,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,,,,,,,
Domibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chryseobacterium,0,0,0,0,0,0,11,0,0,0,10,0,0,7,0,,,,,,,
Citrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Psychrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Vogesella,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,
Halomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Acinetobacter,4,40,34,0,15,0,11,12,35,10,22,12,12,158,243,,,,,,,
Cedecea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Limnohabitans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Mitsuaria,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,
Salegentibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Alicycliphilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Algoriphagus,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,,,,,,
Emticicia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Undibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Raoultella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Collimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Romboutsia,4,0,0,34,0,0,6,3,66,8,0,70,13,9,7,,,,,,,
Variovorax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methyloversatilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Planococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudocitrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Yangia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Gillisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
