Genus,NP-120-502-727_F_filt.fastq.gz,NP-121-503-727_F_filt.fastq.gz,NP-122-505-727_F_filt.fastq.gz,NP-123-506-727_F_filt.fastq.gz,NP-126-510-728_F_filt.fastq.gz,NP-127-511-728_F_filt.fastq.gz,NP-128-513-728_F_filt.fastq.gz,NP-129-515-728_F_filt.fastq.gz,NP-133-520-723_F_filt.fastq.gz,NP-134-521-723_F_filt.fastq.gz,NP-135-522-729_F_filt.fastq.gz,,,Plesiomonas,,,,
Plesiomonas,7000,6997,6994,6998,6975,6997,6978,6995,6944,7000,6999,6988.818182,0.998402597,99.84025974,17.18614664,0.002455164,0.245516381,0.074025974
Lelliottia,0,0,0,0,0,0,0,0,1,0,0,,,,,,,
Aeromonas,0,0,0,1,0,0,0,0,0,0,1,,,,,,,
Shewanella,0,0,0,0,0,0,0,1,0,0,0,,,,,,,
Escherichia/Shigella,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Deefgea,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Arcicella,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudomonas,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
Paracoccus,0,0,2,0,2,0,1,0,0,0,0,,,,,,,
Enterobacter,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Flavobacterium,0,0,1,0,0,0,0,0,1,0,0,,,,,,,
Clostridium_sensu_stricto_1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Exiguobacterium,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Acidovorax,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rheinheimera,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Photobacterium,0,3,0,0,17,0,13,0,34,0,0,,,,,,,
Leptothrix,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chryseomicrobium,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sphaerotilus,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Domibacillus,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chryseobacterium,0,0,1,0,0,0,0,0,0,0,0,,,,,,,
Citrobacter,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Psychrobacter,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Vogesella,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Halomonas,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Acinetobacter,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cedecea,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Limnohabitans,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Mitsuaria,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Salegentibacter,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Alicycliphilus,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Algoriphagus,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Emticicia,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Undibacterium,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Raoultella,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Collimonas,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Romboutsia,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Variovorax,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methyloversatilis,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylomonas,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Planococcus,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudocitrobacter,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Yangia,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Gillisia,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Janthinobacterium,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sphingobacterium,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Microbacterium,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Alkanindiges,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Fluviicola,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Hydrogenophaga,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Shinella,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sediminibacterium,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Thermoflexibacter,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tabrizicola,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Herminiimonas,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Curvibacter,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Arenimonas,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhizobacter,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Terrisporobacter,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Gemmobacter,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sphingomonas,0,0,0,0,0,0,2,0,0,0,0,,,,,,,
Pedobacter,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Paenicardinium,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodoferax,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kluyvera,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Erythrobacter,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Brevundimonas,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Aliivibrio,0,0,0,0,0,0,0,0,4,0,0,,,,,,,
Salinimicrobium,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
hgcI_clade,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Georgfuchsia,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodobacter,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lactococcus,0,0,0,0,1,3,4,0,0,0,0,,,,,,,
Polynucleobacter,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Paucibacter,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Apibacter,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Luteolibacter,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Neorickettsia,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Moritella,0,0,0,0,0,0,0,0,1,0,0,,,,,,,
Peptoniphilus,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sporocytophaga,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodoluna,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Weissella,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rothia,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudoalteromonas,0,0,0,0,0,0,0,0,1,0,0,,,,,,,
Yersinia,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cloacibacterium,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Novosphingobium,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bacillus,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Paraclostridium,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lacihabitans,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudorhodobacter,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Legionella,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Polaromonas,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kocuria,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jeotgalibacillus,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Geobacillus,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cetobacterium,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
