ASV,NP-108-517-724_F_filt.fastq.gz,NP-109-518-724_F_filt.fastq.gz,NP-110A-520-724_F_filt.fastq.gz,NP-110B-521-726_F_filt.fastq.gz,NP-111A-522-726_F_filt.fastq.gz,NP-111B-502-726_F_filt.fastq.gz,NP-112A-503-726_F_filt.fastq.gz,NP-112B-505-726_F_filt.fastq.gz,NP-113A-506-726_F_filt.fastq.gz,NP-113B-507-726_F_filt.fastq.gz,NP-114A-508-726_F_filt.fastq.gz,NP-114B-510-726_F_filt.fastq.gz,NP-115A-511-726_F_filt.fastq.gz,NP-115B-513-726_F_filt.fastq.gz,NP-116-515-727_F_filt.fastq.gz,NP-117A-516-727_F_filt.fastq.gz,NP-117B-517-727_F_filt.fastq.gz,NP-118A-518-727_F_filt.fastq.gz,NP-118B-520-727_F_filt.fastq.gz,NP-119A-521-727_F_filt.fastq.gz,NP-119B-522-727_F_filt.fastq.gz
ASV1,102,32099,0,0,8,13,79,36096,72,25086,54,34435,12,32406,26163,24,31775,77,33906,30,30443
ASV2,2,0,26575,461,181,20219,2,0,0,0,135,822,0,0,1063,0,0,0,0,0,0
ASV3,374,0,602,5762,6532,494,1433,159,27,1,848,5,22,2,6,29,0,84,6,11,0
ASV5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV15,2200,0,18,1976,1655,0,41,0,631,0,629,0,51,0,0,322,0,3628,8,4440,0
ASV16,324,0,0,384,556,12,249,0,713,0,851,0,212,0,0,259,0,1358,8,583,0
ASV20,1,0,0,3,5,0,0,0,0,0,27,0,1,0,0,0,0,0,0,1,0
ASV21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV22,2553,1,0,567,869,0,741,1,5918,0,7864,0,824,0,0,6433,0,3168,9,852,0
ASV24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV27,306,0,0,59,35,0,108,0,302,0,367,0,1174,0,0,687,0,258,2,157,0
ASV31,4293,0,13,1664,1894,0,5339,1,2883,0,5537,0,1624,0,0,1115,0,1880,5,2002,0
ASV32,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV35,45,0,0,11,65,0,36,0,1242,0,1691,0,8,0,0,50,0,194,2,428,0
ASV38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ASV43,339,0,0,218,190,0,674,0,429,0,253,0,144,0,0,1548,0,223,2,899,0
ASV44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV46,0,0,0,0,6,0,0,0,5,0,32,0,9,0,0,27,0,79,0,5,0
ASV49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV51,437,0,0,43,519,0,11,0,78,0,335,0,5,0,0,0,0,4506,70,816,0
ASV53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV54,11,0,0,14,55,0,10,0,26,0,88,0,0,0,0,8,0,16,0,15,0
ASV57,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV58,49,0,0,22,85,0,5,0,645,0,93,0,21,0,0,14,0,536,0,132,0
ASV59,49,0,0,262,142,0,480,0,74,0,422,0,28,0,0,171,0,90,0,35,0
ASV63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV83,46,0,0,4,2,0,7,0,89,0,59,0,734,0,0,68,0,588,9,268,0
ASV95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV96,266,0,1,38,25,0,84,0,190,0,7,0,92,0,0,666,0,106,0,160,0
ASV98,119,0,0,21,67,0,21,0,78,0,57,0,7,0,0,113,0,91,0,0,0
ASV105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV108,196,0,0,18,0,0,0,0,1,0,0,0,11,0,0,0,0,98,0,0,0
ASV114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV116,0,0,0,0,0,0,0,0,9,0,14,0,0,0,0,0,0,2,0,6,0
ASV118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ASV119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV135,0,0,0,0,0,0,0,0,2,0,3,0,4,0,0,0,0,0,0,0,0
ASV136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ASV150,41,0,0,98,2,0,6,0,24,0,177,0,1,0,0,2,0,77,0,5,0
ASV151,3,0,0,2,7,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0
ASV155,47,0,0,0,6,0,65,0,72,0,25,0,33,0,0,127,0,27,0,44,0
ASV157,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,9,0,0,0
ASV160,81,0,0,0,2,0,3,0,14,0,7,0,0,0,0,15,0,8,0,7,0
ASV161,6,0,0,0,0,0,2,0,243,0,0,0,0,0,0,47,0,35,0,39,0
ASV162,0,0,0,6,11,1,9,0,0,0,0,0,2,0,0,40,0,0,0,0,0
ASV163,5,0,0,0,0,0,29,0,0,0,0,0,0,0,0,15,0,0,0,2,0
ASV166,4,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,22,0,41,0
ASV170,0,0,0,0,3,0,27,0,11,0,11,0,8,0,0,172,0,23,0,36,0
ASV178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0
ASV181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV204,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0
ASV205,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
ASV210,3,0,0,3,0,0,2,0,0,0,2,0,0,0,0,2,0,4,0,0,0
ASV211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV218,5,0,0,6,7,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0
ASV223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV230,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,2,0,0,0
ASV232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV246,9,0,0,3,0,0,5,0,15,0,11,0,6,0,0,124,0,17,0,21,0
ASV247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
