Time,DO_ARTEMIA_1,DO_ARTEMIA_2,DO_ARTEMIA_3,DO_ZOOPLANKTON_1,DO_ZOOPLANKTON_2,DO_ZOOPLANKTON_3
1,8.25,6.45,,6.6,6.6,
2,8.16,6.42,,6.34,6.67,
3,8,6.3,,7,6.5,
4,7.8,6.26,,6.39,6.38,
5,6.7,8.1,7,6.5,6.7,6.7
6,6.12,7.77,6.45,5.8,6.1,6.47
7,6,5.97,6.1,6.4,6.22,6.38
8,5.93,5.93,6.44,6.54,6.08,6.48
9,5.38,7.6,5.95,6,5.77,6.47
10,6.37,7,6.14,5.86,6.1,6.19
11,6.37,6.69,5.77,5.74,5.73,6.09
12,6.28,6.81,5.78,5.77,5.7,6.15
13,6.51,6.75,6.17,5.97,5.85,6.07
14,6.43,5.75,5.92,5.91,5.73,6.13
15,6.44,6.25,5.92,5.97,5.8,6.25
16,6.19,7.4,5.78,5.6,5.58,5.93
17,6.16,5.11,5.19,5.43,5.36,5.82
18,6.02,4.99,5.12,5.53,5.4,6.04
19,5.98,5.47,5.52,5.74,5.4,5.75
20,5.62,6.8,6.61,6.19,6.22,6.47
21,6.32,6.87,6.64,6.61,6.54,6.48
22,6.86,6.96,6.99,7.08,6.57,7.04
23,6.34,6.72,7.05,6.77,6.68,6.7
24,6.96,6.99,7,6.86,6.51,6.77
25,7.28,7.68,7.79,7.54,7.43,7.36
26,7.44,7.95,,7.88,7.95,7.57
27,7.66,7.83,8.06,7.8,7.45,7.93
28,7.35,7.44,7.59,7.83,6.91,6.91
29,6.28,7.43,7.85,7.28,7.4,7.33
30,6.22,6.79,7.92,7.24,6.82,7.21
31,7.05,7.11,7.77,7.08,6.46,7.09
32,,6.92,7.7,7.22,7.09,6.87
