Time,TEMP_ARTEMIA_1,TEMP_ARTEMIA_2,TEMP_ARTEMIA_3,TEMP_ZOOPLANKTON_1,TEMP_ZOOPLANKTON_2,TEMP_ZOOPLANKTON_3
1,13.5,13.8,,13.7,13.8,
2,13.5,13.9,,13.8,13.8,
3,14.3,14.5,,14.7,14.7,
4,13.7,14.1,,13.9,13.9,
5,15.4,15.1,15.3,14.9,14.9,15.3
6,14.9,14.8,15.1,14.5,15.3,15
7,16.2,16.1,16.3,16.5,17,16.2
8,14.9,14.2,15.2,15.3,14.9,15
9,15.5,15,15,14.7,15.1,15.2
10,15,14.8,15.8,14.8,15,15.3
11,14.9,14.9,15.1,14.8,15.1,15.3
12,15.2,15.3,15.4,15.1,15.3,15.5
13,15,14.9,15.2,15,15,15.3
14,15.2,14.8,15.3,14.9,15.2,15.4
15,15.1,14.9,15.1,15,15.2,15.2
16,15.8,15.6,15.8,15.6,15.9,15.9
17,16.3,16,16.4,16,16.3,16.4
18,16.8,16.9,17.7,16.9,17.3,17.1
19,16.2,16.2,16.4,16.3,16.4,16.5
20,17.3,17.3,17.5,17.2,17.6,17.6
21,17.2,17.3,17.4,17.3,17.6,17.4
22,16.9,17,17.1,17.1,17.3,17.3
23,17.1,17.1,17.1,17.2,17.4,17.3
24,17.1,17.1,17.2,17.2,17.2,17.3
25,14.4,14.6,14.9,14.9,15.1,14.9
26,15.3,15.3,15.9,16.3,16,14.9
27,16.2,16.1,16.3,16.7,16.4,16.3
28,16.7,16.6,16.9,17.3,17.1,16.9
29,16.4,16.3,16.7,16.5,16.8,16.6
30,16.7,16.6,16.8,16.9,16.8,16.7
31,16.8,16.7,16.9,17,16.9,16.8
32,,17,17,17.2,17,17
