DATE,TREATMENT,TW(g),GROUP
1W,ARTEMIA_1,0.04,ARTEMIA
1W,ARTEMIA_1,0.06,ARTEMIA
1W,ARTEMIA_1,0.04,ARTEMIA
1W,ARTEMIA_1,0.05,ARTEMIA
1W,ARTEMIA_1,0.05,ARTEMIA
1W,ARTEMIA_2,0.05,ARTEMIA
1W,ARTEMIA_2,0.04,ARTEMIA
1W,ARTEMIA_2,0.05,ARTEMIA
1W,ARTEMIA_2,0.04,ARTEMIA
1W,ARTEMIA_3,0.04,ARTEMIA
1W,ARTEMIA_3,0.03,ARTEMIA
1W,ARTEMIA_3,0.04,ARTEMIA
1W,ARTEMIA_3,0.04,ARTEMIA
1W,ZOOPLANKTON_1,0.03,ZOOPLANKTON
1W,ZOOPLANKTON_1,0.02,ZOOPLANKTON
1W,ZOOPLANKTON_1,0.04,ZOOPLANKTON
1W,ZOOPLANKTON_1,0.02,ZOOPLANKTON
1W,ZOOPLANKTON_1,0.02,ZOOPLANKTON
1W,ZOOPLANKTON_2,0.04,ZOOPLANKTON
1W,ZOOPLANKTON_2,0.02,ZOOPLANKTON
1W,ZOOPLANKTON_2,0.03,ZOOPLANKTON
1W,ZOOPLANKTON_2,0.03,ZOOPLANKTON
1W,ZOOPLANKTON_2,0.03,ZOOPLANKTON
1W,ZOOPLANKTON_3,0.02,ZOOPLANKTON
1W,ZOOPLANKTON_3,0.02,ZOOPLANKTON
1W,ZOOPLANKTON_3,0.03,ZOOPLANKTON
2W,ARTEMIA_2,0.09,ARTEMIA
2W,ARTEMIA_2,0.09,ARTEMIA
2W,ARTEMIA_2,0.08,ARTEMIA
2W,ARTEMIA_2,0.1,ARTEMIA
2W,ARTEMIA_2,0.11,ARTEMIA
2W,ARTEMIA_3,0.09,ARTEMIA
2W,ARTEMIA_3,0.05,ARTEMIA
2W,ARTEMIA_3,0.06,ARTEMIA
2W,ARTEMIA_3,0.08,ARTEMIA
2W,ARTEMIA_3,0.11,ARTEMIA
2W,ZOOPLANKTON_1,0.04,ZOOPLANKTON
2W,ZOOPLANKTON_1,0.03,ZOOPLANKTON
2W,ZOOPLANKTON_1,0.03,ZOOPLANKTON
2W,ZOOPLANKTON_1,0.03,ZOOPLANKTON
2W,ZOOPLANKTON_1,0.04,ZOOPLANKTON
2W,ZOOPLANKTON_2,0.04,ZOOPLANKTON
2W,ZOOPLANKTON_2,0.04,ZOOPLANKTON
2W,ZOOPLANKTON_2,0.04,ZOOPLANKTON
2W,ZOOPLANKTON_2,0.04,ZOOPLANKTON
2W,ZOOPLANKTON_2,0.05,ZOOPLANKTON
2W,ZOOPLANKTON_3,0.03,ZOOPLANKTON
2W,ZOOPLANKTON_3,0.06,ZOOPLANKTON
2W,ZOOPLANKTON_3,0.03,ZOOPLANKTON
2W,ZOOPLANKTON_3,0.05,ZOOPLANKTON
2W,ZOOPLANKTON_3,0.04,ZOOPLANKTON
3W,ZOOPLANKTON_1,0.14,ZOOPLANKTON
3W,ZOOPLANKTON_1,0.12,ZOOPLANKTON
3W,ZOOPLANKTON_1,0.08,ZOOPLANKTON
3W,ZOOPLANKTON_1,0.1,ZOOPLANKTON
3W,ZOOPLANKTON_1,0.09,ZOOPLANKTON
3W,ZOOPLANKTON_1,0.14,ZOOPLANKTON
3W,ZOOPLANKTON_1,0.13,ZOOPLANKTON
3W,ZOOPLANKTON_2,0.09,ZOOPLANKTON
3W,ZOOPLANKTON_2,0.09,ZOOPLANKTON
3W,ZOOPLANKTON_2,0.1,ZOOPLANKTON
3W,ZOOPLANKTON_2,0.16,ZOOPLANKTON
3W,ZOOPLANKTON_2,0.16,ZOOPLANKTON
3W,ZOOPLANKTON_2,0.1,ZOOPLANKTON
3W,ZOOPLANKTON_3,0.08,ZOOPLANKTON
3W,ZOOPLANKTON_3,0.14,ZOOPLANKTON
3W,ZOOPLANKTON_3,0.15,ZOOPLANKTON
3W,ZOOPLANKTON_3,0.14,ZOOPLANKTON
3W,ZOOPLANKTON_3,0.13,ZOOPLANKTON
3W,ZOOPLANKTON_3,0.15,ZOOPLANKTON
3W,ARTEMIA_1,0.17,ARTEMIA
3W,ARTEMIA_1,0.24,ARTEMIA
3W,ARTEMIA_1,0.13,ARTEMIA
3W,ARTEMIA_1,0.2,ARTEMIA
3W,ARTEMIA_1,0.15,ARTEMIA
3W,ARTEMIA_2,0.2,ARTEMIA
3W,ARTEMIA_2,0.36,ARTEMIA
3W,ARTEMIA_2,0.25,ARTEMIA
3W,ARTEMIA_2,0.13,ARTEMIA
3W,ARTEMIA_2,0.23,ARTEMIA
3W,ARTEMIA_2,0.23,ARTEMIA
3W,ARTEMIA_3,0.22,ARTEMIA
3W,ARTEMIA_3,0.25,ARTEMIA
3W,ARTEMIA_3,0.19,ARTEMIA
3W,ARTEMIA_3,0.27,ARTEMIA
3W,ARTEMIA_3,0.29,ARTEMIA
4W,ZOOPLANKTON_1,0.28,ZOOPLANKTON
4W,ZOOPLANKTON_1,0.17,ZOOPLANKTON
4W,ZOOPLANKTON_1,0.31,ZOOPLANKTON
4W,ZOOPLANKTON_1,0.33,ZOOPLANKTON
4W,ZOOPLANKTON_2,0.21,ZOOPLANKTON
4W,ZOOPLANKTON_2,0.3,ZOOPLANKTON
4W,ZOOPLANKTON_2,0.23,ZOOPLANKTON
4W,ZOOPLANKTON_2,0.23,ZOOPLANKTON
4W,ZOOPLANKTON_3,0.1,ZOOPLANKTON
4W,ZOOPLANKTON_3,0.2,ZOOPLANKTON
4W,ZOOPLANKTON_3,0.15,ZOOPLANKTON
4W,ARTEMIA_1,0.16,ARTEMIA
4W,ARTEMIA_1,0.42,ARTEMIA
4W,ARTEMIA_1,0.48,ARTEMIA
4W,ARTEMIA_2,0.35,ARTEMIA
4W,ARTEMIA_2,0.55,ARTEMIA
4W,ARTEMIA_2,0.43,ARTEMIA
4W,ARTEMIA_2,0.38,ARTEMIA
4W,ARTEMIA_3,0.44,ARTEMIA
4W,ARTEMIA_3,0.55,ARTEMIA
4W,ARTEMIA_3,0.49,ARTEMIA
4W,ARTEMIA_3,0.6,ARTEMIA
