,NP-001-502-714_F_filt.fastq.gz,NP-002-503-714_F_filt.fastq.gz,NP-005-507-714_F_filt.fastq.gz,NP-006-508-714_F_filt.fastq.gz,NP-007-510-714_F_filt.fastq.gz,NP-008-511-714_F_filt.fastq.gz,NP-009-513-714_F_filt.fastq.gz,NP-010-515-714_F_filt.fastq.gz,NP-011-516-714_F_filt.fastq.gz,NP-013-518-715_F_filt.fastq.gz,NP-014-520-715_F_filt.fastq.gz,NP-015-521-715_F_filt.fastq.gz,NP-016-522-715_F_filt.fastq.gz,NP-017-502-715_F_filt.fastq.gz,NP-018-503-715_F_filt.fastq.gz,NP-019-505-715_F_filt.fastq.gz,NP-021-511-716_F_filt.fastq.gz,NP-022-507-715_F_filt.fastq.gz,NP-023-508-715_F_filt.fastq.gz,NP-024-510-716_F_filt.fastq.gz,NP-025-513-716_F_filt.fastq.gz,NP-026-515-716_F_filt.fastq.gz,NP-027-516-716_F_filt.fastq.gz,NP-028-517-716_F_filt.fastq.gz,NP-029-518-716_F_filt.fastq.gz,NP-030-520-716_F_filt.fastq.gz,NP-031-521-716_F_filt.fastq.gz,NP-032-522-716_F_filt.fastq.gz,NP-034-502-716_F_filt.fastq.gz,NP-041-513-718_F_filt.fastq.gz,NP-042-515-718_F_filt.fastq.gz,NP-043-516-718_F_filt.fastq.gz,NP-044-517-718_F_filt.fastq.gz,NP-045-518-719_F_filt.fastq.gz,NP-046-520-719_F_filt.fastq.gz,NP-047-521-719_F_filt.fastq.gz,NP-048-522-719_F_filt.fastq.gz,NP-049-502-719_F_filt.fastq.gz,NP-050-503-719_F_filt.fastq.gz,NP-051-505-719_F_filt.fastq.gz,NP-052-506-719_F_filt.fastq.gz,NP-053-507-719_F_filt.fastq.gz,NP-054-508-719_F_filt.fastq.gz,NP-055-510-719_F_filt.fastq.gz,NP-056-511-720_F_filt.fastq.gz,NP-057-513-720_F_filt.fastq.gz,NP-058-515-720_F_filt.fastq.gz,NP-059-516-720_F_filt.fastq.gz,NP-060-517-720_F_filt.fastq.gz,NP-061-518-720_F_filt.fastq.gz,NP-062-520-721_F_filt.fastq.gz,NP-063-521-720_F_filt.fastq.gz,NP-064-522-720_F_filt.fastq.gz,NP-065-502-720_F_filt.fastq.gz,NP-066-503-704_F_filt.fastq.gz,NP-067-505-721_F_filt.fastq.gz,NP-068-506-721_F_filt.fastq.gz,NP-069-507-721_F_filt.fastq.gz,NP-070-508-721_F_filt.fastq.gz,NP-071-510-721_F_filt.fastq.gz,NP-072-511-721_F_filt.fastq.gz,NP-073-513-721_F_filt.fastq.gz,NP-074-515-704_F_filt.fastq.gz,NP-075-516-721_F_filt.fastq.gz,NP-076-517-721_F_filt.fastq.gz,NP-077-518-721_F_filt.fastq.gz,NP-078-522-722_F_filt.fastq.gz,NP-080-520-722_F_filt.fastq.gz,NP-081-502-722_F_filt.fastq.gz,NP-083-505-722_F_filt.fastq.gz,NP-084-506-722_F_filt.fastq.gz,NP-085-507-722_F_filt.fastq.gz,NP-086-508-722_F_filt.fastq.gz,NP-087-510-722_F_filt.fastq.gz,NP-088-511-722_F_filt.fastq.gz,NP-090-515-723_F_filt.fastq.gz,NP-091-516-723_F_filt.fastq.gz,NP-093-518-728_F_filt.fastq.gz,NP-094-520-728_F_filt.fastq.gz,NP-095-521-728_F_filt.fastq.gz,NP-096-522-728_F_filt.fastq.gz,NP-097-502-723_F_filt.fastq.gz,NP-098-503-723_F_filt.fastq.gz,NP-099-505-723_F_filt.fastq.gz,NP-102-508-724_F_filt.fastq.gz,NP-103-510-724_F_filt.fastq.gz,NP-104-511-724_F_filt.fastq.gz,NP-105-513-724_F_filt.fastq.gz,NP-106-515-724_F_filt.fastq.gz,NP-120-502-727_F_filt.fastq.gz,NP-121-503-727_F_filt.fastq.gz,NP-122-505-727_F_filt.fastq.gz,NP-123-506-727_F_filt.fastq.gz,NP-126-510-728_F_filt.fastq.gz,NP-127-511-728_F_filt.fastq.gz,NP-128-513-728_F_filt.fastq.gz,NP-129-515-728_F_filt.fastq.gz,NP-133-520-723_F_filt.fastq.gz,NP-134-521-723_F_filt.fastq.gz,NP-135-522-729_F_filt.fastq.gz,NP-139-506-729_F_filt.fastq.gz,NP-140-507-729_F_filt.fastq.gz,NP-141-508-729_F_filt.fastq.gz,NP-144-513-729_F_filt.fastq.gz,NP-145-515-729_F_filt.fastq.gz,NP-146-516-701_F_filt.fastq.gz,NP-147-517-701_F_filt.fastq.gz,NP-150-521-701_F_filt.fastq.gz,NP-151-522-701_F_filt.fastq.gz,NP-152-502-701_F_filt.fastq.gz,NP-153-503-701_F_filt.fastq.gz
ASV1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,3,1,26,0,0,0,24,1,0,2,0,10,1,1,0,0,0,0,0,0,0,1,0,1,87,52,155,163,82,17,54,86,53,35,0,11,27,2,14,7000,7000,6996,6994,6991,6993,6999,6985,6990,7000,6996,5698,6983,6994,6997,6987,7000,6995,6987,0,1,1,0,2,0,3,0,0,2,2,0,1,0,0,2,6998,6998,6995,6993,6962,6996,6974,6993,6955,7000,7000,1,3,1,4852,5273,5611,4194,4655,1218,5782,4991
ASV2,0,0,0,4,0,4,0,1,14,5,1,2,3,0,2,16,0,0,0,179,1,0,0,0,0,2,0,0,4,357,1120,349,795,1385,320,202,640,183,196,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,7000,4750,6754,6967,5055,6610,6519,6097,5542,4346,6856,6917,3298,6961,6978,157,0,0,0,0,0,0,0,0,2,0,0,6997,6995,6957,1898,1726,1325,2794,2341,972,1179,1995
ASV3,2,4,0,3411,1886,371,2014,447,4621,4851,3378,3485,1154,4151,4986,3706,6083,6249,2078,4140,6172,3787,4002,5076,4816,4419,5660,5622,3770,5596,4710,5991,4485,2866,3398,4152,4089,4552,4057,2102,1245,930,1211,769,104,155,191,2627,2097,2553,5168,820,3005,518,0,0,1,0,0,0,0,0,2,0,0,1302,0,1,0,0,0,1,0,0,19,167,2,6,369,150,825,1433,1089,130,61,3037,5,3,6808,0,0,0,3,0,0,0,0,0,0,0,0,0,0,247,0,60,12,0,4810,6,0
ASV5,0,0,0,2538,528,2267,2900,2225,654,733,2345,1787,318,739,653,304,20,70,11,28,61,1594,2408,1659,1470,542,36,280,63,36,19,102,20,34,28,43,27,28,60,4456,4333,4679,5487,5382,3035,5415,5522,3601,4549,3731,685,4272,3228,4003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,15,0,0,2,0,0,16,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV8,0,0,0,163,696,1094,1613,1213,740,845,1007,893,2982,945,231,1394,0,0,0,585,0,0,0,0,0,0,0,0,0,541,452,187,500,1892,326,94,389,197,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11,1,0,0,10,0,0,0,0,0,0,0,0,59,60,7,17,685,426,44,436,475,698,477,204,273,1456,451,95,1467,5,2,0,0,0,1184,1086,1202,1662,1518,329,1258,1031,0,144,9,372,380,444,173,442,240,84,154,2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV16,879,3832,2208,108,213,112,4,64,14,97,13,47,200,41,78,28,3,10,62,58,67,42,9,5,42,31,43,33,15,65,109,31,55,23,23,21,12,41,26,0,3,0,0,0,3,0,1,0,1,62,6,27,63,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1300,0,2,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ASV20,0,0,0,4,4,138,0,11,11,4,0,0,21,4,10,17,2,0,62,125,7,7,0,0,0,1,0,22,87,57,33,102,187,119,78,162,19,20,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,3,0,0,1,0,0,0,0,0,1,1,0,0,1,0,5,3,5,9,4,12,0,4,0,0,6,27,0,5,4,0,0,1,0,8,0,1,0,0,0,0,0,0,19,0,0,0,0,2,0,0,0
ASV21,0,0,0,22,86,2,72,49,154,198,95,107,30,10,60,221,0,0,0,170,0,0,0,0,0,0,0,0,0,126,257,71,482,327,1184,389,440,116,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,28,10,0,58,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
