Sample,Treatment,Environmental_Info,Cellular_Proc,Metabolic,Genetic_Info
NP-001-502-714_F_filt.fastq.gz,No Food,0.006570822,0.006570822,0.016114217,0.005872249
NP-002-503-714_F_filt.fastq.gz,No Food,0.006562118,0.006562118,0.0159327,0.005896723
NP-005-507-714_F_filt.fastq.gz,No Food,0.006682509,0.006682509,0.015877816,0.005905228
NP-006-508-714_F_filt.fastq.gz,ArtemiaW1,0.007087037,0.007087037,0.015415473,0.005300422
NP-007-510-714_F_filt.fastq.gz,ArtemiaW1,0.006104922,0.006104922,0.016461925,0.005266608
NP-008-511-714_F_filt.fastq.gz,ArtemiaW1,0.005913368,0.005913368,0.016962338,0.005988874
NP-009-513-714_F_filt.fastq.gz,ArtemiaW1,0.006887858,0.006887858,0.015633062,0.005534991
NP-010-515-714_F_filt.fastq.gz,ArtemiaW1,0.006110117,0.006110117,0.016816777,0.005862659
NP-011-516-714_F_filt.fastq.gz,ArtemiaW1,0.007264382,0.007264382,0.01480838,0.004742001
NP-013-518-715_F_filt.fastq.gz,ArtemiaW1,0.007253541,0.007253541,0.01473766,0.004751679
NP-014-520-715_F_filt.fastq.gz,ArtemiaW1,0.007115867,0.007115867,0.015230607,0.00522197
NP-015-521-715_F_filt.fastq.gz,ArtemiaW1,0.007040691,0.007040691,0.015233703,0.005125903
NP-016-522-715_F_filt.fastq.gz,ArtemiaW1,0.006164138,0.006164138,0.016408576,0.005312534
NP-017-502-715_F_filt.fastq.gz,ArtemiaW1,0.00727487,0.00727487,0.015034637,0.004859306
NP-018-503-715_F_filt.fastq.gz,ArtemiaW1,0.007318323,0.007318323,0.014899939,0.004791619
NP-019-505-715_F_filt.fastq.gz,ArtemiaW1,0.007021117,0.007021117,0.014905534,0.004718874
NP-021-511-716_F_filt.fastq.gz,ZooplanktonW1,0.007701116,0.007701116,0.014422176,0.004519967
NP-022-507-715_F_filt.fastq.gz,ZooplanktonW1,0.007732076,0.007732076,0.014458145,0.00453813
NP-023-508-715_F_filt.fastq.gz,ZooplanktonW1,0.007258038,0.007258038,0.015170837,0.004976754
NP-024-510-716_F_filt.fastq.gz,ZooplanktonW1,0.007504704,0.007504704,0.014678314,0.004695658
NP-025-513-716_F_filt.fastq.gz,ZooplanktonW1,0.007560661,0.007560661,0.014636632,0.004621024
NP-026-515-716_F_filt.fastq.gz,ZooplanktonW1,0.007369984,0.007369984,0.015013931,0.005048014
NP-027-516-716_F_filt.fastq.gz,ZooplanktonW1,0.007326523,0.007326523,0.015134763,0.005173175
NP-028-517-716_F_filt.fastq.gz,ZooplanktonW1,0.007473157,0.007473157,0.014881432,0.004942029
NP-029-518-716_F_filt.fastq.gz,ZooplanktonW1,0.007396202,0.007396202,0.015073718,0.005110585
NP-030-520-716_F_filt.fastq.gz,ZooplanktonW1,0.007610204,0.007610204,0.014630417,0.004709771
NP-031-521-716_F_filt.fastq.gz,ZooplanktonW1,0.007603907,0.007603907,0.014499046,0.004654639
NP-032-522-716_F_filt.fastq.gz,ZooplanktonW1,0.007530036,0.007530036,0.014653611,0.004663023
NP-034-502-716_F_filt.fastq.gz,ZooplanktonW1,0.006882718,0.006882718,0.016214193,0.006155441
NP-041-513-718_F_filt.fastq.gz,ArtemiaW2,0.007551769,0.007551769,0.014471065,0.004540964
NP-042-515-718_F_filt.fastq.gz,ArtemiaW2,0.007401335,0.007401335,0.014562501,0.004615267
NP-043-516-718_F_filt.fastq.gz,ArtemiaW2,0.007613781,0.007613781,0.014460916,0.00453826
NP-044-517-718_F_filt.fastq.gz,ArtemiaW2,0.007062526,0.007062526,0.014498734,0.004545546
NP-045-518-719_F_filt.fastq.gz,ArtemiaW2,0.007022871,0.007022871,0.014551884,0.004579579
NP-046-520-719_F_filt.fastq.gz,ArtemiaW2,0.005854379,0.005854379,0.014299961,0.004324659
NP-047-521-719_F_filt.fastq.gz,ArtemiaW2,0.00732879,0.00732879,0.014810116,0.004786658
NP-048-522-719_F_filt.fastq.gz,ArtemiaW2,0.007021071,0.007021071,0.014385621,0.004454287
NP-049-502-719_F_filt.fastq.gz,ArtemiaW2,0.007508815,0.007508815,0.01443226,0.004514863
NP-050-503-719_F_filt.fastq.gz,ArtemiaW2,0.006760957,0.006760957,0.014414312,0.004462529
NP-051-505-719_F_filt.fastq.gz,ZooplanktonW2,0.006996581,0.006996581,0.015721404,0.005716689
NP-052-506-719_F_filt.fastq.gz,ZooplanktonW2,0.006848582,0.006848582,0.015964878,0.005951916
NP-053-507-719_F_filt.fastq.gz,ZooplanktonW2,0.006819915,0.006819915,0.016006409,0.005985036
NP-054-508-719_F_filt.fastq.gz,ZooplanktonW2,0.006838822,0.006838822,0.016009329,0.005973118
NP-055-510-719_F_filt.fastq.gz,ZooplanktonW2,0.006774789,0.006774789,0.016095242,0.006064753
NP-056-511-720_F_filt.fastq.gz,ZooplanktonW2,0.006673879,0.006673879,0.016280629,0.006235711
NP-057-513-720_F_filt.fastq.gz,ZooplanktonW2,0.006112367,0.006112367,0.017085133,0.006986382
NP-058-515-720_F_filt.fastq.gz,ZooplanktonW2,0.006321255,0.006321255,0.017118534,0.007083848
NP-059-516-720_F_filt.fastq.gz,ZooplanktonW2,0.007101283,0.007101283,0.01555966,0.005541977
NP-060-517-720_F_filt.fastq.gz,ZooplanktonW2,0.006982847,0.006982847,0.015735557,0.005724548
NP-061-518-720_F_filt.fastq.gz,ZooplanktonW2,0.007059977,0.007059977,0.015570388,0.005565701
NP-062-520-721_F_filt.fastq.gz,ZooplanktonW2,0.007623769,0.007623769,0.014713149,0.004743719
NP-063-521-720_F_filt.fastq.gz,ZooplanktonW2,0.006812059,0.006812059,0.016039438,0.006001492
NP-064-522-720_F_filt.fastq.gz,ZooplanktonW2,0.007094788,0.007094788,0.015431561,0.005417985
NP-065-502-720_F_filt.fastq.gz,ZooplanktonW2,0.006705116,0.006705116,0.016008493,0.005991602
NP-068-506-721_F_filt.fastq.gz,ZooplanktonW3,0.007380313,0.007380313,0.014516873,0.004357506
NP-069-507-721_F_filt.fastq.gz,ZooplanktonW3,0.007244113,0.007244113,0.014558789,0.004303592
NP-070-508-721_F_filt.fastq.gz,ZooplanktonW3,0.007244113,0.007244113,0.014558789,0.004303592
NP-071-510-721_F_filt.fastq.gz,ZooplanktonW3,0.000219623,0.000219623,0.022268908,0.009525731
NP-073-513-721_F_filt.fastq.gz,ZooplanktonW3,0.007244113,0.007244113,0.014558789,0.004303592
NP-074-515-704_F_filt.fastq.gz,ZooplanktonW3,0.008198539,0.008198539,0.014598723,0.004416245
NP-076-517-721_F_filt.fastq.gz,ZooplanktonW3,0.007244113,0.007244113,0.014558789,0.004303592
NP-077-518-721_F_filt.fastq.gz,ZooplanktonW3,0.007747758,0.007747758,0.014403788,0.004502955
NP-078-522-722_F_filt.fastq.gz,ZooplanktonW3,0.005178758,0.005178758,0.0153249,0.005392844
NP-080-520-722_F_filt.fastq.gz,ZooplanktonW3,0.007335745,0.007335745,0.014530587,0.004339863
NP-083-505-722_F_filt.fastq.gz,ZooplanktonW3,0.006383261,0.006383261,0.014974448,0.004880387
NP-085-507-722_F_filt.fastq.gz,ZooplanktonW3,0.005646521,0.005646521,0.016338637,0.00505819
