,,Environmental Information Processing (Signal Transduction),Cellular Processes (Motility),Unknown: Outer Membrane Usher Protein,Unknown: Iron Complex Transport System Permease Protein ,Unkown: Peptide/Nickel Transport System Substrate-Binding Protein,Unknown - Filamentous Hemagglutinin,Metabolic Pathways,Metabolic Pathways,Metabolic Pathways,Metabolic Pathways,Metabolic Pathways,Genetic Information Processing (Transcription),Metabolic Pathways,Genetic Information Processing (Transcription),Metabolic Pathways,Unknown: Ribonuclease E,Metabolic Pathways,Metabolic Pathways,Genetic Information Processing (Replication + Repair),Metabolic Pathways,Unknown: Phosphoribosylformylglycinamidine Synthase,Unknown: Iron Complex Transport System Substrate-Binding Protein,Environmental Information Processing (Membrane Transport + Prokaryote Community Processes,Environmental Information Processing (Membrane Transport + Prokaryote Community Processes,Metabolic Pathways
Sample,Treatment,3406,3406,7347,2015,2035,15125,123,1652,656,265,3046,3046,3043,3043,615,8300,59,2337,2337,525,1952,2016,11891,11891,1955
NP-001-502-714_F_filt.fastq.gz,No Food,0.006694004,0.006694004,0.001228806,0.001697931,0.0029917,0.002187877,0.001440685,0.001997559,0.000587756,0.001943754,0.002060678,0.002060678,0.002007396,0.002007396,0.001462967,0.003869412,0.003174068,0.001707027,0.001707027,0.001839236,0.001654395,0.001141953,0.000766329,0.000766329,0.00164934
NP-002-503-714_F_filt.fastq.gz,No Food,0.006663427,0.006663427,0.001689299,0.001712569,0.001989668,0.002629229,0.001677082,0.001908957,0.000787564,0.001928472,0.002100226,0.002100226,0.002039162,0.002039162,0.001514811,0.002691235,0.002467202,0.001744883,0.001744883,0.00173606,0.001736533,0.001109931,0.000968757,0.000968757,0.001656165
NP-003-505-714_F_filt.fastq.gz,No Food,0.00752363,0.00752363,0.000343341,0.003987553,0.001105542,0.000899812,0.001612977,0.002664757,2.40724E-05,0.002200831,0.002065247,0.002065247,0.001979057,0.001979057,0.002081849,0.002534789,0.002817729,0.00170779,0.00170779,0.002423826,0.001869324,0.002384478,0.001524965,0.001524965,0.001570358
NP-005-507-714_F_filt.fastq.gz,No Food,0.00669751,0.00669751,0.001734634,0.001754181,0.00187005,0.00265849,0.001692858,0.001908013,0.000812147,0.001913012,0.002105309,0.002105309,0.002042319,0.002042319,0.001531285,0.002494829,0.002350177,0.001749532,0.001749532,0.00173633,0.001749431,0.001131267,0.000983794,0.000983794,0.001650698
NP-006-508-714_F_filt.fastq.gz,ArtemiaW1,0.006866791,0.006866791,0.002593221,0.002251654,0.002482932,0.001895348,0.002019963,0.001833095,0.001325403,0.00190445,0.001726502,0.001726502,0.001666919,0.001666919,0.001605846,0.002189776,0.002134481,0.00149816,0.00149816,0.001522933,0.001534893,0.00150073,0.001204685,0.001204685,0.001426455
NP-007-510-714_F_filt.fastq.gz,ArtemiaW1,0.006016001,0.006016001,0.00197227,0.00280724,0.002561841,0.001248751,0.002014987,0.001872545,0.001437545,0.002038371,0.001757287,0.001757287,0.001703369,0.001703369,0.001958356,0.001803944,0.002288573,0.001565913,0.001565913,0.001474688,0.001567053,0.0020006,0.000869572,0.000869572,0.00164716
NP-008-511-714_F_filt.fastq.gz,ArtemiaW1,0.004534017,0.004534017,0.000586531,0.003544269,0.003339512,0.000549521,0.001776233,0.001915649,0.001237009,0.002228467,0.002034339,0.002034339,0.001952867,0.001952867,0.002237411,0.003680648,0.002925258,0.001853629,0.001853629,0.001564133,0.001742033,0.002708007,0.000280966,0.000280966,0.002107958
NP-009-513-714_F_filt.fastq.gz,ArtemiaW1,0.006966634,0.006966634,0.003209982,0.002234983,0.002058792,0.001938757,0.002076842,0.001761752,0.001565754,0.001825492,0.001615207,0.001615207,0.001556001,0.001556001,0.001608208,0.001727434,0.001824823,0.001409749,0.001409749,0.00141694,0.001488939,0.0014658,0.001353656,0.001353656,0.001304256
NP-010-515-714_F_filt.fastq.gz,ArtemiaW1,0.005172925,0.005172925,0.00124615,0.003189371,0.002668739,0.000748335,0.001990356,0.001970353,0.001416382,0.002173014,0.00185405,0.00185405,0.001808537,0.001808537,0.002210206,0.001169087,0.002520272,0.001663747,0.001663747,0.001531024,0.001623744,0.002350808,0.000528425,0.000528425,0.001917966
