,,Environmental Information Processing (Signal Transduction),Cellular Processes (Motility),Metabolic Pathways,Metabolic Pathways,Metabolic Pathways,Genetic Information Processing (Transcription),Metabolic Pathways,Metabolic Pathways,Genetic Information Processing (Transcription),Metabolic Pathways,Metabolic Pathways,Metabolic Pathways,Genetic Information Processing (Replication + Repair),Metabolic Pathways,Metabolic Pathways
,Treatment,3406,3406,123,1652,3046,3046,265,3043,3043,59,656,615,2337,525,1955
NP-001-502-714_F_filt.fastq.gz,No Food,0.006587791,0.006587791,0.001503671,0.001959305,0.002092131,0.002092131,0.001917671,0.002034953,0.002034953,0.002890646,0.00069842,0.001497993,0.001736851,0.00180276,0.001676142
NP-002-503-714_F_filt.fastq.gz,No Food,0.006594257,0.006594257,0.001670611,0.001907581,0.002103956,0.002103956,0.001932536,0.002043182,0.002043182,0.00247053,0.000782959,0.001514055,0.001747924,0.001736259,0.001659635
NP-005-507-714_F_filt.fastq.gz,No Food,0.006685603,0.006685603,0.001684474,0.001903501,0.002108206,0.002108206,0.001925883,0.002046278,0.002046278,0.002394846,0.000804799,0.001520081,0.00175161,0.001730226,0.001660977
NP-006-508-714_F_filt.fastq.gz,ArtemiaW1,0.007077175,0.007077175,0.002094398,0.001841748,0.001885431,0.001885431,0.001764733,0.001805198,0.001805198,0.001647687,0.001559239,0.001669254,0.001618829,0.001544233,0.001464949
NP-007-510-714_F_filt.fastq.gz,ArtemiaW1,0.006087166,0.006087166,0.002006366,0.001869806,0.001846436,0.001846436,0.002008569,0.00178754,0.00178754,0.002198723,0.001451969,0.001985675,0.001635361,0.001487025,0.001705402
NP-008-511-714_F_filt.fastq.gz,ArtemiaW1,0.005934654,0.005934654,0.002017552,0.001933496,0.002112915,0.002112915,0.001894658,0.002021696,0.002021696,0.001909693,0.001540566,0.002001493,0.001838772,0.001623554,0.001824951
NP-009-513-714_F_filt.fastq.gz,ArtemiaW1,0.006897948,0.006897948,0.002107826,0.001856252,0.00196501,0.00196501,0.001722004,0.001875329,0.001875329,0.001507368,0.001651626,0.001720107,0.001682742,0.00156568,0.001508962
NP-010-515-714_F_filt.fastq.gz,ArtemiaW1,0.006082083,0.006082083,0.002079874,0.001933208,0.002068755,0.002068755,0.001878741,0.00198505,0.00198505,0.001787735,0.00162687,0.00201595,0.001797906,0.00159567,0.001792823
NP-011-516-714_F_filt.fastq.gz,ArtemiaW1,0.007269102,0.007269102,0.002098759,0.001772148,0.001681066,0.001681066,0.00178956,0.001615621,0.001615621,0.001722784,0.001565759,0.001588154,0.001457377,0.00143954,0.001316334
NP-013-518-715_F_filt.fastq.gz,ArtemiaW1,0.007279094,0.007279094,0.002090072,0.001765305,0.00167782,0.00167782,0.001775492,0.001611602,0.001611602,0.001708938,0.001560365,0.001558614,0.001450683,0.001441337,0.001294316
NP-014-520-715_F_filt.fastq.gz,ArtemiaW1,0.007106643,0.007106643,0.00210283,0.001818813,0.001855654,0.001855654,0.001734474,0.001773549,0.001773549,0.001578016,0.001613242,0.001642724,0.001593641,0.001519162,0.001415145
NP-015-521-715_F_filt.fastq.gz,ArtemiaW1,0.00704142,0.00704142,0.00208427,0.001810097,0.001816834,0.001816834,0.001769887,0.00173949,0.00173949,0.001685975,0.001577665,0.001648415,0.001567646,0.001500367,0.001414016
NP-016-522-715_F_filt.fastq.gz,ArtemiaW1,0.006104302,0.006104302,0.001960252,0.001867095,0.001882935,0.001882935,0.001997939,0.001816321,0.001816321,0.002301553,0.001369908,0.001903005,0.001660214,0.001524712,0.00169616
NP-017-502-715_F_filt.fastq.gz,ArtemiaW1,0.007276593,0.007276593,0.002079672,0.001786452,0.001718858,0.001718858,0.001816572,0.001652577,0.001652577,0.001802229,0.001513145,0.001625037,0.001493884,0.001452363,0.001367283
NP-018-503-715_F_filt.fastq.gz,ArtemiaW1,0.00734911,0.00734911,0.002082065,0.001775137,0.001691813,0.001691813,0.001807248,0.001626698,0.001626698,0.001785774,0.001518466,0.001595942,0.001469254,0.001438114,0.001332745
NP-019-505-715_F_filt.fastq.gz,ArtemiaW1,0.007005739,0.007005739,0.002073635,0.001770909,0.001664511,0.001664511,0.001810343,0.001601411,0.001601411,0.001806982,0.001565854,0.001614551,0.001448611,0.001427515,0.001331419
NP-021-511-716_F_filt.fastq.gz,ZooplanktonW1,0.007714156,0.007714156,0.002095901,0.001736205,0.001594488,0.001594488,0.001792296,0.001535613,0.001535613,0.001771476,0.001502745,0.001501253,0.001386351,0.001400205,0.001227896
