,,Environmental Information Processing (Signal Transduction),Cellular Processes (Motility),Metabolic Pathways,Metabolic Pathways,Metabolic Pathways,Genetic Information Processing (Transcription),Metabolic Pathways,Metabolic Pathways,Genetic Information Processing (Transcription),Metabolic Pathways,Metabolic Pathways,Metabolic Pathways,Genetic Information Processing (Replication + Repair),Metabolic Pathways,Metabolic Pathways
,Treatment,3406,3406,123,1652,3046,3046,265,3043,3043,59,656,615,2337,525,1955
NP-001-502-714_F_filt.fastq.gz,No Food,0.006570822,0.006570822,0.001507738,0.001957223,0.002095084,0.002095084,0.001916968,0.002037717,0.002037717,0.002872914,0.000704856,0.001500234,0.001739448,0.001800187,0.001678519
NP-002-503-714_F_filt.fastq.gz,No Food,0.006562118,0.006562118,0.001665644,0.001910138,0.002104494,0.002104494,0.001934105,0.00204408,0.00204408,0.002494043,0.000776273,0.001513519,0.001748149,0.001739446,0.001661096
NP-005-507-714_F_filt.fastq.gz,No Food,0.006682509,0.006682509,0.001683352,0.001903655,0.002107885,0.002107885,0.001926021,0.002046017,0.002046017,0.002399169,0.000803275,0.001519907,0.001751326,0.001731272,0.001660918
NP-006-508-714_F_filt.fastq.gz,ArtemiaW1,0.007087037,0.007087037,0.002092288,0.001835005,0.001881894,0.001881894,0.001761668,0.001801283,0.001801283,0.001643232,0.001566576,0.001670072,0.001617245,0.001536413,0.001462047
NP-007-510-714_F_filt.fastq.gz,ArtemiaW1,0.006104922,0.006104922,0.002008154,0.001866477,0.001845347,0.001845347,0.0020044,0.001786738,0.001786738,0.002178875,0.001462479,0.001989884,0.001634523,0.001481108,0.00170494
NP-008-511-714_F_filt.fastq.gz,ArtemiaW1,0.005913368,0.005913368,0.002012986,0.001931977,0.002118792,0.002118792,0.001893664,0.002026206,0.002026206,0.001919788,0.00153596,0.001998797,0.001843876,0.001628301,0.001827844
NP-009-513-714_F_filt.fastq.gz,ArtemiaW1,0.006887858,0.006887858,0.002106187,0.001856788,0.001969518,0.001969518,0.001720378,0.001879057,0.001879057,0.001509848,0.001650565,0.001718847,0.001686416,0.001568418,0.001510244
NP-010-515-714_F_filt.fastq.gz,ArtemiaW1,0.006110117,0.006110117,0.002080477,0.001933862,0.002073214,0.002073214,0.001873821,0.001988911,0.001988911,0.001776646,0.001625362,0.002011446,0.001800534,0.001597719,0.001789181
NP-011-516-714_F_filt.fastq.gz,ArtemiaW1,0.007264382,0.007264382,0.002097872,0.001770652,0.001676587,0.001676587,0.001791216,0.00161144,0.00161144,0.001729213,0.001564397,0.001585845,0.001453974,0.0014378,0.00131401
NP-013-518-715_F_filt.fastq.gz,ArtemiaW1,0.007253541,0.007253541,0.002089191,0.001766983,0.001682095,0.001682095,0.001775344,0.001615466,0.001615466,0.001710702,0.001561352,0.00156081,0.001454118,0.001444486,0.001298214
NP-014-520-715_F_filt.fastq.gz,ArtemiaW1,0.007115867,0.007115867,0.002103747,0.001818854,0.001855357,0.001855357,0.001734301,0.001773443,0.001773443,0.001573975,0.00161371,0.001642444,0.00159317,0.001518757,0.001414873
NP-015-521-715_F_filt.fastq.gz,ArtemiaW1,0.007040691,0.007040691,0.002087652,0.001811285,0.001817819,0.001817819,0.001767138,0.001740427,0.001740427,0.001673457,0.001583896,0.0016487,0.001567657,0.001501445,0.001413169
NP-016-522-715_F_filt.fastq.gz,ArtemiaW1,0.006164138,0.006164138,0.001977826,0.001863722,0.001865348,0.001865348,0.001997285,0.001799836,0.001799836,0.00227004,0.001393631,0.001910181,0.00164735,0.001509772,0.001684657
NP-017-502-715_F_filt.fastq.gz,ArtemiaW1,0.00727487,0.00727487,0.002078766,0.001784906,0.00171625,0.00171625,0.001819446,0.001649887,0.001649887,0.001811685,0.001513491,0.001628767,0.001493169,0.001448464,0.001367881
NP-018-503-715_F_filt.fastq.gz,ArtemiaW1,0.007318323,0.007318323,0.002078346,0.001775616,0.001692974,0.001692974,0.001810043,0.00162755,0.00162755,0.001802208,0.001515246,0.001598042,0.001471095,0.001439088,0.001336442
NP-019-505-715_F_filt.fastq.gz,ArtemiaW1,0.007021117,0.007021117,0.002075031,0.00177434,0.001666021,0.001666021,0.001811599,0.001603165,0.001603165,0.001807075,0.001564148,0.001618577,0.001449688,0.001426443,0.001333475
NP-021-511-716_F_filt.fastq.gz,ZooplanktonW1,0.007701116,0.007701116,0.002092816,0.001735201,0.001595766,0.001595766,0.001791322,0.001536971,0.001536971,0.001774427,0.001499399,0.001500786,0.00138723,0.001401902,0.001228787
NP-022-507-715_F_filt.fastq.gz,ZooplanktonW1,0.007732076,0.007732076,0.002100808,0.001736142,0.001601896,0.001601896,0.001786063,0.001542804,0.001542804,0.001758476,0.001521378,0.00150699,0.00139343,0.001401673,0.001238057
NP-023-508-715_F_filt.fastq.gz,ZooplanktonW1,0.007258038,0.007258038,0.001962259,0.001761224,0.001763706,0.001763706,0.001830861,0.001707207,0.001707207,0.002201688,0.001204101,0.001481192,0.001505841,0.001668437,0.001351386
NP-024-510-716_F_filt.fastq.gz,ZooplanktonW1,0.007504704,0.007504704,0.002045895,0.001818418,0.001662521,0.001662521,0.001788204,0.001602979,0.001602979,0.00192362,0.001429814,0.001519506,0.001430158,0.001422863,0.001282912
NP-025-513-716_F_filt.fastq.gz,ZooplanktonW1,0.007560661,0.007560661,0.002059133,0.001759175,0.001633911,0.001633911,0.001809253,0.001576052,0.001576052,0.00190935,0.001433484,0.001505682,0.001411061,0.001448143,0.001261624
NP-026-515-716_F_filt.fastq.gz,ZooplanktonW1,0.007369984,0.007369984,0.00209444,0.001796693,0.001790607,0.001790607,0.001748246,0.001716536,0.001716536,0.001644712,0.001562491,0.001593373,0.001540871,0.001494156,0.00136937
NP-027-516-716_F_filt.fastq.gz,ZooplanktonW1,0.007326523,0.007326523,0.002110865,0.001811964,0.00183732,0.00183732,0.001733745,0.001757794,0.001757794,0.001570327,0.001596741,0.001621609,0.001578061,0.001509664,0.001396698
NP-028-517-716_F_filt.fastq.gz,ZooplanktonW1,0.007473157,0.007473157,0.002108267,0.001786522,0.001752053,0.001752053,0.001755315,0.001679433,0.001679433,0.001636179,0.001564499,0.001580378,0.001510543,0.001469365,0.001335943
NP-029-518-716_F_filt.fastq.gz,ZooplanktonW1,0.007396202,0.007396202,0.002078735,0.00176891,0.001813045,0.001813045,0.001738134,0.001739921,0.001739921,0.001668909,0.001540813,0.001603326,0.001557619,0.001498174,0.001392661
NP-030-520-716_F_filt.fastq.gz,ZooplanktonW1,0.007610204,0.007610204,0.002099922,0.001761211,0.001666334,0.001666334,0.001779977,0.001601288,0.001601288,0.001717822,0.001521253,0.001535809,0.001442149,0.001431811,0.001276201
NP-031-521-716_F_filt.fastq.gz,ZooplanktonW1,0.007603907,0.007603907,0.002068742,0.001731959,0.001643465,0.001643465,0.001785802,0.001585045,0.001585045,0.001798962,0.001472785,0.001491251,0.001426129,0.001421369,0.001231625
NP-032-522-716_F_filt.fastq.gz,ZooplanktonW1,0.007530036,0.007530036,0.002088974,0.001775298,0.001649453,0.001649453,0.001808829,0.001589198,0.001589198,0.001831339,0.001445394,0.001508803,0.001424372,0.001460952,0.001270669
NP-034-502-716_F_filt.fastq.gz,ZooplanktonW1,0.006882718,0.006882718,0.001894266,0.001594689,0.002191716,0.002191716,0.001611913,0.002115408,0.002115408,0.001843369,0.001404553,0.001763953,0.001848317,0.001643065,0.00174595
NP-041-513-718_F_filt.fastq.gz,ArtemiaW2,0.007551769,0.007551769,0.002091916,0.001748477,0.0016045,0.0016045,0.001790693,0.001545117,0.001545117,0.001765387,0.001517885,0.00151387,0.001391347,0.001403973,0.001237724
NP-042-515-718_F_filt.fastq.gz,ArtemiaW2,0.007401335,0.007401335,0.002063793,0.001784322,0.001633307,0.001633307,0.00178216,0.001573713,0.001573713,0.00182669,0.001493043,0.001519277,0.001408247,0.001412251,0.001258267
NP-043-516-718_F_filt.fastq.gz,ArtemiaW2,0.007613781,0.007613781,0.002099164,0.001742414,0.00160311,0.00160311,0.001790946,0.001543129,0.001543129,0.001750986,0.001521735,0.001514187,0.001392021,0.001402488,0.001235171
NP-044-517-718_F_filt.fastq.gz,ArtemiaW2,0.007062526,0.007062526,0.002073878,0.001774039,0.001609347,0.001609347,0.001761126,0.001550104,0.001550104,0.001749012,0.001580918,0.001527762,0.001386095,0.001408496,0.001238091
NP-045-518-719_F_filt.fastq.gz,ArtemiaW2,0.007022871,0.007022871,0.002061623,0.001782583,0.001621449,0.001621449,0.001762047,0.001561701,0.001561701,0.001784264,0.001563814,0.001532641,0.001396429,0.00141322,0.001251125
NP-046-520-719_F_filt.fastq.gz,ArtemiaW2,0.005854379,0.005854379,0.002109789,0.001725737,0.00153363,0.00153363,0.001698005,0.001475445,0.001475445,0.001453216,0.00188772,0.001557429,0.001315584,0.001406136,0.001178591
NP-047-521-719_F_filt.fastq.gz,ArtemiaW2,0.00732879,0.00732879,0.002014099,0.001874401,0.001697737,0.001697737,0.001774195,0.001637282,0.001637282,0.002009119,0.001408309,0.001539375,0.001451639,0.001419234,0.001310766
NP-048-522-719_F_filt.fastq.gz,ArtemiaW2,0.007021071,0.007021071,0.002101691,0.001739518,0.001575726,0.001575726,0.001756905,0.001516635,0.001516635,0.001654675,0.001645195,0.00152409,0.001361926,0.001400376,0.001210328
