Sample,Treatment,Environmental Information Processing (Signal Transduction),Cellular Processes (Motility),Metabolic Pathways,Genetic Information Processing (Replication/Repair or Transcription)
NP-001-502-714_F_filt.fastq.gz,No Food,0.006587791,0.006587791,0.018073691,0.005863934
NP-002-503-714_F_filt.fastq.gz,No Food,0.006594257,0.006594257,0.017821304,0.005895061
NP-005-507-714_F_filt.fastq.gz,No Food,0.006685603,0.006685603,0.017779271,0.005906095
NP-006-508-714_F_filt.fastq.gz,ArtemiaW1,0.007077175,0.007077175,0.017276871,0.005309457
NP-007-510-714_F_filt.fastq.gz,ArtemiaW1,0.006087166,0.006087166,0.018347513,0.005269338
NP-008-511-714_F_filt.fastq.gz,ArtemiaW1,0.005934654,0.005934654,0.018880575,0.005973384
NP-009-513-714_F_filt.fastq.gz,ArtemiaW1,0.006897948,0.006897948,0.017480162,0.005523081
NP-010-515-714_F_filt.fastq.gz,ArtemiaW1,0.006082083,0.006082083,0.018764677,0.00585171
NP-011-516-714_F_filt.fastq.gz,ArtemiaW1,0.007269102,0.007269102,0.016589727,0.004754064
NP-013-518-715_F_filt.fastq.gz,ArtemiaW1,0.007279094,0.007279094,0.016483861,0.004740104
NP-014-520-715_F_filt.fastq.gz,ArtemiaW1,0.007106643,0.007106643,0.017053608,0.005222843
NP-015-521-715_F_filt.fastq.gz,ArtemiaW1,0.00704142,0.00704142,0.017047016,0.00512397
NP-016-522-715_F_filt.fastq.gz,ArtemiaW1,0.006104302,0.006104302,0.018319879,0.005359471
NP-017-502-715_F_filt.fastq.gz,ArtemiaW1,0.007276593,0.007276593,0.016814187,0.004865319
NP-018-503-715_F_filt.fastq.gz,ArtemiaW1,0.00734911,0.00734911,0.016654003,0.004787765
NP-019-505-715_F_filt.fastq.gz,ArtemiaW1,0.007005739,0.007005739,0.01666713,0.004714533
NP-021-511-716_F_filt.fastq.gz,ZooplanktonW1,0.007714156,0.007714156,0.016158078,0.004516452
NP-022-507-715_F_filt.fastq.gz,ZooplanktonW1,0.007734352,0.007734352,0.016188828,0.004533198
NP-023-508-715_F_filt.fastq.gz,ZooplanktonW1,0.007219535,0.007219535,0.016964254,0.004997903
NP-024-510-716_F_filt.fastq.gz,ZooplanktonW1,0.007508691,0.007508691,0.01651013,0.004705622
