Treatment,Pathway,ASV_Relative_Abundance,SD,SE
No Food,K03406: Signal Transduction & Cell Motility,0.006888545,0.000421929,0.000210965
No Food,K07347: Unknown: Outer Membrane Usher Protein,0.001248739,0.000648514,0.000324257
No Food,K02015: Unknown: Iron Complex Transport System Permease Protein,0.002286405,0.001135489,0.000567745
No Food,K02035: Unknown: Peptide / Nickel Transport System Substrate-Binding Protein,0.001993905,0.000780061,0.000390031
No Food,K15125: Unknown - Filamentous Hemagglutinin,0.002095125,0.000826521,0.000413261
No Food,K00123: Carbohydrate & Energy Metabolism,0.001605069,0.000116868,0.000058434
No Food,K01652: Amino Acid & Carbohydrate Metabolism / Cofactor & Vitamin Metabolism / Amino Acid Synthesis,0.002119242,0.00036666,0.00018333
No Food,K00656: Carbohydrate Metabolism,0.000552835,0.000368019,0.00018401
No Food,K00265: Amino Acid & Energy Metabolism,0.001996708,0.000137135,6.86E-05
No Food,K03046: Nucleotide Metabolism / Transcription,0.002083082,2.23E-05,1.11E-05
ArtemiaW1,K03406: Signal Transduction & Cell Motility,0.006385031,0.000815988,0.000226314
ArtemiaW1,K07347: Unknown: Outer Membrane Usher Protein,0.002565289,0.000958799,0.000265923
ArtemiaW1,K02015: Unknown: Iron Complex Transport System Permease Protein,0.002517327,0.000467184,0.000129574
ArtemiaW1,K02035: Unknown: Peptide / Nickel Transport System Substrate-Binding Protein,0.002348783,0.000384061,0.000106519
ArtemiaW1,K15125: Unknown - Filamentous Hemagglutinin,0.001592158,0.000527869,0.000146405
ArtemiaW1,K00123: Carbohydrate & Energy Metabolism,0.002027423,8.44E-05,2.34E-05
ArtemiaW1,K01652: Amino Acid & Carbohydrate Metabolism / Cofactor & Vitamin Metabolism / Amino Acid Synthesis,0.001815126,7.50E-05,2.08E-05
ArtemiaW1,K00656: Carbohydrate Metabolism,0.001491455,0.000119897,3.33E-05
ArtemiaW1,K00265: Amino Acid & Energy Metabolism,0.001930897,0.000157364,4.36E-05
ArtemiaW1,K03046: Nucleotide Metabolism / Transcription,0.001706776,0.000133311,3.70E-05
ZooplanktonW1,K03406: Signal Transduction & Cell Motility,0.007264108,0.000940918,0.000260964
ZooplanktonW1,K07347: Unknown: Outer Membrane Usher Protein,0.003119668,0.000514333,0.00014265
ZooplanktonW1,K02015: Unknown: Iron Complex Transport System Permease Protein,0.001995013,0.00027024,7.50E-05
ZooplanktonW1,K02035: Unknown: Peptide / Nickel Transport System Substrate-Binding Protein,0.002029992,0.000131411,3.64E-05
ZooplanktonW1,K15125: Unknown - Filamentous Hemagglutinin,0.002114458,0.000316677,8.78E-05
ZooplanktonW1,K00123: Carbohydrate & Energy Metabolism,0.002003723,0.000292162,8.10E-05
ZooplanktonW1,K01652: Amino Acid & Carbohydrate Metabolism / Cofactor & Vitamin Metabolism / Amino Acid Synthesis,0.001706752,0.000236301,6.55E-05
ZooplanktonW1,K00656: Carbohydrate Metabolism,0.001451333,0.00024288,6.74E-05
