Treatment,Pathway,ASV_Relative_Abundance,SD,SE
No Food,Environmental Information Processing (Signal Transduction or Membrane Transport or Prokaryote Community Processes),0.007955604,0.000734793,0.000367397
No Food,Cellular Processes (Motility),0.006894643,0.000419604,0.000209802
No Food,Unknown: Outer Membrane Usher Protein,0.00124902,0.000645582,0.000322791
No Food,Unknown: Iron Complex Transport System Permease Protein ,0.002288059,0.001133247,0.000566623
No Food,Unknown: Peptide/Nickel Transport System Substrate-Binding Protein,0.00198924,0.000774608,0.000387304
No Food,Unknown - Filamentous Hemagglutinin,0.002093852,0.000824625,0.000412312
No Food,Metabolic Pathways,0.020017805,0.000771585,0.000385792
No Food,Genetic Information Processing (Replication + Repair / Transcription),0.005827156,7.42E-05,3.71E-05
No Food,Unknown: Ribonuclease E,0.002897566,0.000653417,0.000326709
No Food,Unknown: Phosphoribosylformylglycinamidine Synthase,0.001752421,8.86E-05,4.43E-05
No Food,Unknown: Iron Complex Transport System Substrate-Binding Protein,0.001441907,0.000628521,0.000314261
ArtemiaW1,Environmental Information Processing (Signal Transduction or Membrane Transport or Prokaryote Community Processes),0.007462871,0.001206641,0.000334662
ArtemiaW1,Cellular Processes (Motility),0.00637999,0.000825667,0.000228999
ArtemiaW1,Unknown: Outer Membrane Usher Protein,0.002555163,0.000966003,0.000267921
ArtemiaW1,Unknown: Iron Complex Transport System Permease Protein ,0.00251891,0.000473467,0.000131316
ArtemiaW1,Unknown: Peptide/Nickel Transport System Substrate-Binding Protein,0.002357443,0.000390348,0.000108263
ArtemiaW1,Unknown - Filamentous Hemagglutinin,0.001588909,0.000531394,0.000147382
ArtemiaW1,Metabolic Pathways,0.018954427,0.001427361,0.000395879
ArtemiaW1,Genetic Information Processing (Replication + Repair / Transcription),0.004865276,0.000408884,0.000113404
ArtemiaW1,Unknown: Ribonuclease E,0.001961228,0.000578411,0.000160422
ArtemiaW1,Unknown: Phosphoribosylformylglycinamidine Synthase,0.001539875,8.06E-05,2.24E-05
ArtemiaW1,Unknown: Iron Complex Transport System Substrate-Binding Protein,0.001737432,0.000443246,0.000122934
ZooplanktonW1,Environmental Information Processing (Signal Transduction or Membrane Transport or Prokaryote Community Processes),0.008657438,0.001193768,0.000331092
ZooplanktonW1,Cellular Processes (Motility),0.007252477,0.000975105,0.000270445
ZooplanktonW1,Unknown: Outer Membrane Usher Protein,0.003114213,0.000522197,0.000144831
ZooplanktonW1,Unknown: Iron Complex Transport System Permease Protein ,0.001993042,0.000275198,7.63E-05
ZooplanktonW1,Unknown: Peptide/Nickel Transport System Substrate-Binding Protein,0.002026944,0.000135727,3.76E-05
ZooplanktonW1,Unknown - Filamentous Hemagglutinin,0.002112877,0.000321091,8.91E-05
ZooplanktonW1,Metabolic Pathways,0.018377241,0.001400495,0.000388427
ZooplanktonW1,Genetic Information Processing (Replication + Repair / Transcription),0.005423833,0.002242809,0.000622043
ZooplanktonW1,Unknown: Ribonuclease E,0.001677352,0.000216464,6.00E-05
ZooplanktonW1,Unknown: Phosphoribosylformylglycinamidine Synthase,0.00141469,0.000188446,5.23E-05
ZooplanktonW1,Unknown: Iron Complex Transport System Substrate-Binding Protein,0.001282742,0.000177655,4.93E-05
ArtemiaW2,Environmental Information Processing (Signal Transduction or Membrane Transport or Prokaryote Community Processes),0.00834453,0.000705985,2.23E-04
ArtemiaW2,Cellular Processes (Motility),0.006915264,0.000656321,2.08E-04
ArtemiaW2,Unknown: Outer Membrane Usher Protein,0.0035919,0.000329824,1.04E-04
ArtemiaW2,Unknown: Iron Complex Transport System Permease Protein ,0.002043062,4.52E-05,1.43E-05
ArtemiaW2,Unknown: Peptide/Nickel Transport System Substrate-Binding Protein,0.001983046,9.47E-05,3.00E-05
ArtemiaW2,Unknown - Filamentous Hemagglutinin,0.002059407,0.000186255,5.89E-05
ArtemiaW2,Metabolic Pathways,0.017623998,0.000263019,8.32E-05
ArtemiaW2,Genetic Information Processing (Replication + Repair / Transcription),0.004511119,1.45E-04,4.59E-05
ArtemiaW2,Unknown: Ribonuclease E,0.001592773,1.05E-04,3.33E-05
ArtemiaW2,Unknown: Phosphoribosylformylglycinamidine Synthase,0.001456213,1.95E-05,6.15E-06
ArtemiaW2,Unknown: Iron Complex Transport System Substrate-Binding Protein,0.001287601,3.96E-05,1.25E-05
ZooplanktonW2,Environmental Information Processing (Signal Transduction or Membrane Transport or Prokaryote Community Processes),0.00817253,0.000362188,9.35E-05
ZooplanktonW2,Cellular Processes (Motility),0.006819197,3.10E-04,8.00E-05
ZooplanktonW2,Unknown: Outer Membrane Usher Protein,0.003397476,7.48E-05,1.93E-05
ZooplanktonW2,Unknown: Iron Complex Transport System Permease Protein ,0.002043033,3.33E-05,8.60E-06
ZooplanktonW2,Unknown: Peptide/Nickel Transport System Substrate-Binding Protein,0.002010326,2.70E-05,6.96E-06
ZooplanktonW2,Unknown - Filamentous Hemagglutinin,0.001976516,9.10E-05,2.35E-05
ZooplanktonW2,Metabolic Pathways,0.019717987,0.000692222,1.79E-04
ZooplanktonW2,Genetic Information Processing (Replication + Repair / Transcription),0.005988765,0.000502774,1.30E-04
ZooplanktonW2,Unknown: Ribonuclease E,0.001524733,7.73E-05,1.99E-05
ZooplanktonW2,Unknown: Phosphoribosylformylglycinamidine Synthase,0.001357991,7.94E-05,2.05E-05
ZooplanktonW2,Unknown: Iron Complex Transport System Substrate-Binding Protein,0.001316562,1.92E-05,4.95E-06
ArtemiaW3,Environmental Information Processing (Signal Transduction or Membrane Transport or Prokaryote Community Processes),0.007156814,2.31E-03,5.78E-04
ArtemiaW3,Cellular Processes (Motility),0.00592966,0.002001062,5.00E-04
ArtemiaW3,Unknown: Outer Membrane Usher Protein,0.00320448,0.001100648,2.75E-04
ArtemiaW3,Unknown: Iron Complex Transport System Permease Protein ,0.002160312,1.88E-04,4.70E-05
ArtemiaW3,Unknown: Peptide/Nickel Transport System Substrate-Binding Protein,0.002220259,4.96E-04,1.24E-04
ArtemiaW3,Unknown - Filamentous Hemagglutinin,0.001917357,5.38E-04,1.35E-04
ArtemiaW3,Metabolic Pathways,0.018384059,1.41E-03,3.53E-04
ArtemiaW3,Genetic Information Processing (Replication + Repair / Transcription),0.004929265,8.84E-04,2.21E-04
ArtemiaW3,Unknown: Ribonuclease E,0.001650607,0.000559668,1.40E-04
ArtemiaW3,Unknown: Phosphoribosylformylglycinamidine Synthase,0.001579915,0.000255074,6.38E-05
ArtemiaW3,Unknown: Iron Complex Transport System Substrate-Binding Protein,0.001392496,0.000137097,3.43E-05
ZooplanktonW3,Environmental Information Processing (Signal Transduction or Membrane Transport or Prokaryote Community Processes),0.006540028,0.000508038,1.53E-04
ZooplanktonW3,Cellular Processes (Motility),0.0049835,0.00051436,1.55E-04
ZooplanktonW3,Unknown: Outer Membrane Usher Protein,0.004522172,0.00022522,6.79E-05
ZooplanktonW3,Unknown: Iron Complex Transport System Permease Protein ,0.002361569,5.37E-05,1.62E-05
ZooplanktonW3,Unknown: Peptide/Nickel Transport System Substrate-Binding Protein,0.002245795,4.70E-05,1.42E-05
ZooplanktonW3,Unknown - Filamentous Hemagglutinin,0.002504207,4.50E-05,1.36E-05
ZooplanktonW3,Metabolic Pathways,0.017490509,2.47E-05,7.45E-06
ZooplanktonW3,Genetic Information Processing (Replication + Repair / Transcription),0.004230807,5.32E-05,1.60E-05
ZooplanktonW3,Unknown: Ribonuclease E,0.00123601,6.56E-05,1.98E-05
ZooplanktonW3,Unknown: Phosphoribosylformylglycinamidine Synthase,0.001379776,1.86E-05,5.60E-06
ZooplanktonW3,Unknown: Iron Complex Transport System Substrate-Binding Protein,0.001577095,4.50E-05,1.36E-05
ArtemiaW4,Environmental Information Processing (Signal Transduction or Membrane Transport or Prokaryote Community Processes),0.004687402,0.000128907,9.12E-05
ArtemiaW4,Cellular Processes (Motility),0.003534138,0.000235684,1.67E-04
ArtemiaW4,Unknown: Outer Membrane Usher Protein,0.004010786,1.88E-03,1.33E-03
ArtemiaW4,Unknown: Iron Complex Transport System Permease Protein ,0.002058228,3.90E-04,2.76E-04
ArtemiaW4,Unknown: Peptide/Nickel Transport System Substrate-Binding Protein,0.002469728,8.96E-05,6.34E-05
ArtemiaW4,Unknown - Filamentous Hemagglutinin,0.001910664,7.82E-04,5.53E-04
ArtemiaW4,Metabolic Pathways,0.018753719,1.30E-03,9.16E-04
ArtemiaW4,Genetic Information Processing (Replication + Repair / Transcription),0.005211623,1.78E-03,1.26E-03
ArtemiaW4,Unknown: Ribonuclease E,0.001016258,2.57E-04,1.82E-04
ArtemiaW4,Unknown: Phosphoribosylformylglycinamidine Synthase,0.001553384,3.22E-04,2.28E-04
ArtemiaW4,Unknown: Iron Complex Transport System Substrate-Binding Protein,0.001359727,3.33E-04,2.35E-04
ZooplanktonW4,Environmental Information Processing (Signal Transduction or Membrane Transport or Prokaryote Community Processes),0.006442695,9.53E-05,6.74E-05
ZooplanktonW4,Cellular Processes (Motility),0.004894978,0.000105712,3.19E-05
ZooplanktonW4,Unknown: Outer Membrane Usher Protein,0.004541439,5.25E-05,1.58E-05
ZooplanktonW4,Unknown: Iron Complex Transport System Permease Protein ,0.00236634,1.39E-05,4.18E-06
ZooplanktonW4,Unknown: Peptide/Nickel Transport System Substrate-Binding Protein,0.002263529,2.64E-05,7.96E-06
ZooplanktonW4,Unknown - Filamentous Hemagglutinin,0.002519986,5.83E-05,1.76E-05
ZooplanktonW4,Metabolic Pathways,0.017511224,4.80E-05,1.45E-05
ZooplanktonW4,Genetic Information Processing (Replication + Repair / Transcription),0.004234617,2.69E-05,8.10E-06
ZooplanktonW4,Unknown: Ribonuclease E,0.001236768,3.04E-05,9.17E-06
ZooplanktonW4,Unknown: Phosphoribosylformylglycinamidine Synthase,0.001379981,8.32E-06,2.51E-06
ZooplanktonW4,Unknown: Iron Complex Transport System Substrate-Binding Protein,0.001581502,1.07E-05,3.22E-06
