Sample,Treatment,Environmental_Info,Cellular_Proc,Metabolic,Genetic_Info
NP-139-506-729_F_filt.fastq.gz,ArtemiaW4_C,0.006636408,0.006636408,0.016346546,0.00629645
NP-140-507-729_F_filt.fastq.gz,ArtemiaW4_C,0.007244113,0.007244113,0.014558789,0.004303592
NP-141-508-729_F_filt.fastq.gz,ArtemiaW4_C,0.006540517,0.006540517,0.015135265,0.005076592
NP-144-513-729_F_filt.fastq.gz,ArtemiaW4_C,0.007742316,0.007742316,0.014405464,0.004500801
NP-146-516-701_F_filt.fastq.gz,ArtemiaW4_C,0.007747758,0.007747758,0.014403788,0.004502955
NP-147-517-701_F_filt.fastq.gz,ArtemiaW4_C,0.007747758,0.007747758,0.014403788,0.004502955
NP-150-521-701_F_filt.fastq.gz,ArtemiaW4_C,0.007244113,0.007244113,0.014558789,0.004303592
NP-151-522-701_F_filt.fastq.gz,ArtemiaW4_C,0.007747758,0.007747758,0.014403788,0.004502955
NP-152-502-701_F_filt.fastq.gz,ArtemiaW4_C,0.003638631,0.003638631,0.014371254,0.004033513
NP-153-503-701_F_filt.fastq.gz,ArtemiaW4_C,0.002449751,0.002449751,0.014360648,0.003897875
NP-141-508-729_F_filt.fastq.gz,ArtemiaW4,0.006392113,0.006392113,0.016874007,0.005089532
