"","ftu"
"NP-001-502-714_F_filt.fastq.gz",0.847571428571429
"NP-002-503-714_F_filt.fastq.gz",0.426142857142857
"NP-005-507-714_F_filt.fastq.gz",0.682
"NP-006-508-714_F_filt.fastq.gz",0.0837142857142857
"NP-007-510-714_F_filt.fastq.gz",0.283857142857143
"NP-008-511-714_F_filt.fastq.gz",0.397
"NP-009-513-714_F_filt.fastq.gz",0.252142857142857
"NP-010-515-714_F_filt.fastq.gz",0.407142857142857
"NP-011-516-714_F_filt.fastq.gz",0.166285714285714
"NP-013-518-715_F_filt.fastq.gz",0.144285714285714
"NP-014-520-715_F_filt.fastq.gz",0.157714285714286
"NP-015-521-715_F_filt.fastq.gz",0.180857142857143
"NP-016-522-715_F_filt.fastq.gz",0.576571428571429
"NP-017-502-715_F_filt.fastq.gz",0.209857142857143
"NP-018-503-715_F_filt.fastq.gz",0.113857142857143
"NP-019-505-715_F_filt.fastq.gz",0.312285714285714
"NP-021-511-716_F_filt.fastq.gz",0.110285714285714
"NP-022-507-715_F_filt.fastq.gz",0.0905714285714285
"NP-023-508-715_F_filt.fastq.gz",0.636571428571429
"NP-024-510-716_F_filt.fastq.gz",0.313571428571429
"NP-025-513-716_F_filt.fastq.gz",0.0774285714285714
"NP-026-515-716_F_filt.fastq.gz",0.208428571428571
"NP-027-516-716_F_filt.fastq.gz",0.0805714285714285
"NP-028-517-716_F_filt.fastq.gz",0.0345714285714286
"NP-029-518-716_F_filt.fastq.gz",0.081
"NP-030-520-716_F_filt.fastq.gz",0.283285714285714
"NP-031-521-716_F_filt.fastq.gz",0.168857142857143
"NP-032-522-716_F_filt.fastq.gz",0.123428571428571
"NP-034-502-716_F_filt.fastq.gz",0.397714285714286
"NP-041-513-718_F_filt.fastq.gz",0.151285714285714
"NP-042-515-718_F_filt.fastq.gz",0.237428571428571
"NP-043-516-718_F_filt.fastq.gz",0.105571428571429
"NP-044-517-718_F_filt.fastq.gz",0.235857142857143
"NP-045-518-719_F_filt.fastq.gz",0.487142857142857
"NP-046-520-719_F_filt.fastq.gz",0.281714285714286
"NP-047-521-719_F_filt.fastq.gz",0.223285714285714
"NP-048-522-719_F_filt.fastq.gz",0.319428571428571
"NP-049-502-719_F_filt.fastq.gz",0.317714285714286
"NP-050-503-719_F_filt.fastq.gz",0.282714285714286
"NP-051-505-719_F_filt.fastq.gz",0.0617142857142857
"NP-052-506-719_F_filt.fastq.gz",0.195142857142857
"NP-053-507-719_F_filt.fastq.gz",0.188857142857143
"NP-054-508-719_F_filt.fastq.gz",0.038
"NP-055-510-719_F_filt.fastq.gz",0.116571428571429
"NP-056-511-720_F_filt.fastq.gz",0.554142857142857
"NP-057-513-720_F_filt.fastq.gz",0.172142857142857
"NP-058-515-720_F_filt.fastq.gz",0.178857142857143
"NP-059-516-720_F_filt.fastq.gz",0.096
"NP-060-517-720_F_filt.fastq.gz",0.046
"NP-061-518-720_F_filt.fastq.gz",0.0912857142857143
"NP-062-520-721_F_filt.fastq.gz",0.139714285714286
"NP-063-521-720_F_filt.fastq.gz",0.267
"NP-064-522-720_F_filt.fastq.gz",0.0665714285714286
"NP-065-502-720_F_filt.fastq.gz",0.306714285714286
"NP-066-503-704_F_filt.fastq.gz",1
"NP-067-505-721_F_filt.fastq.gz",1
"NP-068-506-721_F_filt.fastq.gz",0.999285714285714
"NP-069-507-721_F_filt.fastq.gz",0.999142857142857
"NP-070-508-721_F_filt.fastq.gz",0.999571428571429
"NP-071-510-721_F_filt.fastq.gz",0.999714285714286
"NP-072-511-721_F_filt.fastq.gz",1
"NP-073-513-721_F_filt.fastq.gz",0.998142857142857
"NP-074-515-704_F_filt.fastq.gz",0.998285714285714
"NP-075-516-721_F_filt.fastq.gz",1
"NP-076-517-721_F_filt.fastq.gz",0.999571428571429
"NP-077-518-721_F_filt.fastq.gz",0.817571428571429
"NP-078-522-722_F_filt.fastq.gz",0.999714285714286
"NP-080-520-722_F_filt.fastq.gz",0.999857142857143
"NP-081-502-722_F_filt.fastq.gz",0.999571428571429
"NP-083-505-722_F_filt.fastq.gz",0.997714285714286
"NP-084-506-722_F_filt.fastq.gz",0.999857142857143
"NP-085-507-722_F_filt.fastq.gz",0.998571428571429
"NP-086-508-722_F_filt.fastq.gz",0.999
"NP-087-510-722_F_filt.fastq.gz",0.999857142857143
"NP-088-511-722_F_filt.fastq.gz",0.714714285714286
"NP-090-515-723_F_filt.fastq.gz",0.963714285714286
"NP-091-516-723_F_filt.fastq.gz",0.998285714285714
"NP-093-518-728_F_filt.fastq.gz",0.737142857142857
"NP-094-520-728_F_filt.fastq.gz",0.946
"NP-095-521-728_F_filt.fastq.gz",0.955571428571429
"NP-096-522-728_F_filt.fastq.gz",0.862714285714286
"NP-097-502-723_F_filt.fastq.gz",0.798857142857143
"NP-098-503-723_F_filt.fastq.gz",0.636857142857143
"NP-099-505-723_F_filt.fastq.gz",0.984
"NP-102-508-724_F_filt.fastq.gz",0.988857142857143
"NP-103-510-724_F_filt.fastq.gz",0.486285714285714
"NP-104-511-724_F_filt.fastq.gz",0.996571428571429
"NP-105-513-724_F_filt.fastq.gz",0.997285714285714
"NP-106-515-724_F_filt.fastq.gz",0.0234285714285715
"NP-120-502-727_F_filt.fastq.gz",1
"NP-121-503-727_F_filt.fastq.gz",0.999571428571429
"NP-122-505-727_F_filt.fastq.gz",0.999714285714286
"NP-123-506-727_F_filt.fastq.gz",0.999714285714286
"NP-126-510-728_F_filt.fastq.gz",0.997285714285714
"NP-127-511-728_F_filt.fastq.gz",1
"NP-128-513-728_F_filt.fastq.gz",0.997571428571429
"NP-129-515-728_F_filt.fastq.gz",0.999285714285714
"NP-133-520-723_F_filt.fastq.gz",0.994285714285714
"NP-134-521-723_F_filt.fastq.gz",1
"NP-135-522-729_F_filt.fastq.gz",0.999857142857143
"NP-139-506-729_F_filt.fastq.gz",1
"NP-140-507-729_F_filt.fastq.gz",1
"NP-141-508-729_F_filt.fastq.gz",0.998428571428571
