"","ftu"
"NP-001-502-714_F_filt.fastq.gz",0.849142857142857
"NP-002-503-714_F_filt.fastq.gz",0.421714285714286
"NP-005-507-714_F_filt.fastq.gz",0.678714285714286
"NP-006-508-714_F_filt.fastq.gz",0.081
"NP-007-510-714_F_filt.fastq.gz",0.285285714285714
"NP-008-511-714_F_filt.fastq.gz",0.396571428571429
"NP-009-513-714_F_filt.fastq.gz",0.254
"NP-010-515-714_F_filt.fastq.gz",0.406714285714286
"NP-011-516-714_F_filt.fastq.gz",0.177
"NP-013-518-715_F_filt.fastq.gz",0.136285714285714
"NP-014-520-715_F_filt.fastq.gz",0.151857142857143
"NP-015-521-715_F_filt.fastq.gz",0.176857142857143
"NP-016-522-715_F_filt.fastq.gz",0.589714285714286
"NP-017-502-715_F_filt.fastq.gz",0.216
"NP-018-503-715_F_filt.fastq.gz",0.110428571428571
"NP-019-505-715_F_filt.fastq.gz",0.315857142857143
"NP-021-511-716_F_filt.fastq.gz",0.109285714285714
"NP-022-507-715_F_filt.fastq.gz",0.0874285714285714
"NP-023-508-715_F_filt.fastq.gz",0.642
"NP-024-510-716_F_filt.fastq.gz",0.314142857142857
"NP-025-513-716_F_filt.fastq.gz",0.0787142857142857
"NP-026-515-716_F_filt.fastq.gz",0.208142857142857
"NP-027-516-716_F_filt.fastq.gz",0.0777142857142857
"NP-028-517-716_F_filt.fastq.gz",0.035
"NP-029-518-716_F_filt.fastq.gz",0.0815714285714285
"NP-030-520-716_F_filt.fastq.gz",0.285142857142857
"NP-031-521-716_F_filt.fastq.gz",0.165428571428571
"NP-032-522-716_F_filt.fastq.gz",0.128714285714286
"NP-034-502-716_F_filt.fastq.gz",0.385285714285714
"NP-041-513-718_F_filt.fastq.gz",0.151857142857143
"NP-042-515-718_F_filt.fastq.gz",0.231142857142857
"NP-043-516-718_F_filt.fastq.gz",0.105142857142857
"NP-044-517-718_F_filt.fastq.gz",0.224857142857143
"NP-045-518-719_F_filt.fastq.gz",0.486285714285714
"NP-046-520-719_F_filt.fastq.gz",0.274285714285714
"NP-047-521-719_F_filt.fastq.gz",0.227857142857143
"NP-048-522-719_F_filt.fastq.gz",0.323714285714286
"NP-049-502-719_F_filt.fastq.gz",0.309428571428571
"NP-050-503-719_F_filt.fastq.gz",0.279714285714286
"NP-051-505-719_F_filt.fastq.gz",0.0615714285714286
"NP-052-506-719_F_filt.fastq.gz",0.194857142857143
"NP-053-507-719_F_filt.fastq.gz",0.194
"NP-054-508-719_F_filt.fastq.gz",0.0368571428571428
"NP-055-510-719_F_filt.fastq.gz",0.119
"NP-056-511-720_F_filt.fastq.gz",0.551142857142857
"NP-057-513-720_F_filt.fastq.gz",0.176571428571429
"NP-058-515-720_F_filt.fastq.gz",0.173428571428571
"NP-059-516-720_F_filt.fastq.gz",0.089
"NP-060-517-720_F_filt.fastq.gz",0.047
"NP-061-518-720_F_filt.fastq.gz",0.0867142857142857
"NP-062-520-721_F_filt.fastq.gz",0.142285714285714
"NP-063-521-720_F_filt.fastq.gz",0.263857142857143
"NP-064-522-720_F_filt.fastq.gz",0.0688571428571428
"NP-065-502-720_F_filt.fastq.gz",0.309142857142857
"NP-066-503-704_F_filt.fastq.gz",1
"NP-067-505-721_F_filt.fastq.gz",1
"NP-068-506-721_F_filt.fastq.gz",0.999428571428571
"NP-069-507-721_F_filt.fastq.gz",0.999428571428571
"NP-070-508-721_F_filt.fastq.gz",0.999142857142857
"NP-071-510-721_F_filt.fastq.gz",0.999714285714286
"NP-072-511-721_F_filt.fastq.gz",1
"NP-073-513-721_F_filt.fastq.gz",0.998
"NP-074-515-704_F_filt.fastq.gz",0.998714285714286
"NP-075-516-721_F_filt.fastq.gz",1
"NP-076-517-721_F_filt.fastq.gz",0.999428571428571
"NP-077-518-721_F_filt.fastq.gz",0.814
"NP-078-522-722_F_filt.fastq.gz",0.998428571428571
"NP-080-520-722_F_filt.fastq.gz",0.999142857142857
"NP-081-502-722_F_filt.fastq.gz",1
"NP-083-505-722_F_filt.fastq.gz",0.998428571428571
"NP-084-506-722_F_filt.fastq.gz",1
"NP-085-507-722_F_filt.fastq.gz",0.999285714285714
"NP-086-508-722_F_filt.fastq.gz",0.999
"NP-087-510-722_F_filt.fastq.gz",1
"NP-088-511-722_F_filt.fastq.gz",0.717285714285714
"NP-090-515-723_F_filt.fastq.gz",0.965714285714286
"NP-091-516-723_F_filt.fastq.gz",0.996714285714286
"NP-093-518-728_F_filt.fastq.gz",0.733857142857143
"NP-094-520-728_F_filt.fastq.gz",0.944857142857143
"NP-095-521-728_F_filt.fastq.gz",0.957142857142857
"NP-096-522-728_F_filt.fastq.gz",0.871
"NP-097-502-723_F_filt.fastq.gz",0.793142857142857
"NP-098-503-723_F_filt.fastq.gz",0.636857142857143
"NP-099-505-723_F_filt.fastq.gz",0.981
"NP-102-508-724_F_filt.fastq.gz",0.989
"NP-103-510-724_F_filt.fastq.gz",0.490428571428571
"NP-104-511-724_F_filt.fastq.gz",0.996285714285714
"NP-105-513-724_F_filt.fastq.gz",0.997714285714286
"NP-106-515-724_F_filt.fastq.gz",0.0241428571428571
"NP-120-502-727_F_filt.fastq.gz",0.999857142857143
"NP-121-503-727_F_filt.fastq.gz",0.999714285714286
"NP-122-505-727_F_filt.fastq.gz",0.999714285714286
"NP-123-506-727_F_filt.fastq.gz",0.999428571428571
"NP-126-510-728_F_filt.fastq.gz",0.996142857142857
"NP-127-511-728_F_filt.fastq.gz",0.999714285714286
"NP-128-513-728_F_filt.fastq.gz",0.997
"NP-129-515-728_F_filt.fastq.gz",0.999
"NP-133-520-723_F_filt.fastq.gz",0.995714285714286
"NP-134-521-723_F_filt.fastq.gz",1
"NP-135-522-729_F_filt.fastq.gz",1
"NP-139-506-729_F_filt.fastq.gz",0.999857142857143
"NP-140-507-729_F_filt.fastq.gz",0.999857142857143
"NP-141-508-729_F_filt.fastq.gz",0.998
"NP-144-513-729_F_filt.fastq.gz",0.964285714285714
"NP-145-515-729_F_filt.fastq.gz",1
