Sample,Treatment
ART-156-506-701_F_filt.fastq.gz,Artemia Water Control Week 1+2
ART-158-508-702_F_filt.fastq.gz,Artemia Water Control Week 1 + 2
ART-161-513-702_F_filt.fastq.gz,Artemia
ART-162-515-702_F_filt.fastq.gz,Artemia Water Control Week 1+2
ART-164-517-702_F_filt.fastq.gz,Artemia Water Control Week 3+4
ART-165-518-702_F_filt.fastq.gz,Artemia Water Control Week 3+4
ART-166-520-702_F_filt.fastq.gz,Artemia Water Control Week 3+4
DF-170-503-703_F_filt.fastq.gz,Dry Food
DF-171-505-703_F_filt.fastq.gz,Dry Food
DF-172-506-703_F_filt.fastq.gz,Dry Food
NP-001-502-714_F_filt.fastq.gz,Week 0
NP-002-503-714_F_filt.fastq.gz,Week 0
NP-005-507-714_F_filt.fastq.gz,Week 0
NP-006-508-714_F_filt.fastq.gz,Artemia/Week 1
NP-007-510-714_F_filt.fastq.gz,Artemia/Week 1
NP-008-511-714_F_filt.fastq.gz,Artemia/Week 1
NP-009-513-714_F_filt.fastq.gz,Artemia/Week 1
NP-010-515-714_F_filt.fastq.gz,Artemia/Week 1
NP-011-516-714_F_filt.fastq.gz,Artemia/Week 1
NP-013-518-715_F_filt.fastq.gz,Artemia/Week 1
NP-014-520-715_F_filt.fastq.gz,Artemia/Week 1
NP-015-521-715_F_filt.fastq.gz,Artemia/Week 1
NP-016-522-715_F_filt.fastq.gz,Artemia/Week 1
NP-017-502-715_F_filt.fastq.gz,Artemia/Week 1
NP-018-503-715_F_filt.fastq.gz,Artemia/Week 1
NP-019-505-715_F_filt.fastq.gz,Artemia/Week 1
NP-021-511-716_F_filt.fastq.gz,Zooplankton/Week 1
NP-022-507-715_F_filt.fastq.gz,Zooplankton/Week 1
NP-023-508-715_F_filt.fastq.gz,Zooplankton/Week 1
NP-024-510-716_F_filt.fastq.gz,Zooplankton/Week 1
NP-025-513-716_F_filt.fastq.gz,Zooplankton/Week 1
NP-026-515-716_F_filt.fastq.gz,Zooplankton/Week 1
NP-027-516-716_F_filt.fastq.gz,Zooplankton/Week 1
NP-028-517-716_F_filt.fastq.gz,Zooplankton/Week 1
NP-029-518-716_F_filt.fastq.gz,Zooplankton/Week 1
NP-030-520-716_F_filt.fastq.gz,Zooplankton/Week 1
NP-031-521-716_F_filt.fastq.gz,Zooplankton/Week 1
