Genus,Treatment,AVG,SE
Plesiomonas,Artemia Water Control Week 1+2,0,0
Lelliottia,Artemia Water Control Week 1+2,4.7619E-05,4.7619E-05
Aeromonas,Artemia Water Control Week 1+2,0.015,0.015
Shewanella,Artemia Water Control Week 1+2,0.007333333,0.007333333
Escherichia/Shigella,Artemia Water Control Week 1+2,0.007,0.006928694
Deefgea,Artemia Water Control Week 1+2,0,0
Pseudomonas,Artemia Water Control Week 1+2,0.021952381,0.005840472
Paracoccus,Artemia Water Control Week 1+2,0.153761905,0.114448228
Flavobacterium,Artemia Water Control Week 1+2,0.274428571,0.126204159
Exiguobacterium,Artemia Water Control Week 1+2,0.036666667,0.021839914
Plesiomonas,Artemia,0,
Lelliottia,Artemia,0,
Aeromonas,Artemia,0.034285714,
Shewanella,Artemia,0.004857143,
Escherichia/Shigella,Artemia,0,
Deefgea,Artemia,0,
Pseudomonas,Artemia,0.017142857,
Paracoccus,Artemia,0.006,
Flavobacterium,Artemia,0.001285714,
Exiguobacterium,Artemia,0.574857143,
Plesiomonas,Artemia Water Control Week 3+4,0,
Lelliottia,Artemia Water Control Week 3+4,0.093571429,
Aeromonas,Artemia Water Control Week 3+4,0.004714286,
Shewanella,Artemia Water Control Week 3+4,0,
Escherichia/Shigella,Artemia Water Control Week 3+4,0,
Deefgea,Artemia Water Control Week 3+4,0,
Pseudomonas,Artemia Water Control Week 3+4,0.005428571,
Paracoccus,Artemia Water Control Week 3+4,0,
Flavobacterium,Artemia Water Control Week 3+4,0.115285714,
Exiguobacterium,Artemia Water Control Week 3+4,0,
Plesiomonas,Dry Food,4.76E-05,4.76E-05
Lelliottia,Dry Food,0.00E+00,0.00E+00
Aeromonas,Dry Food,1.05E-02,2.11E-03
Shewanella,Dry Food,3.10E-03,1.34E-03
Escherichia/Shigella,Dry Food,0.00E+00,0.00E+00
Deefgea,Dry Food,0.00E+00,0.00E+00
Pseudomonas,Dry Food,1.19E-03,2.65E-04
Paracoccus,Dry Food,4.63E-01,2.51E-02
Flavobacterium,Dry Food,0.00E+00,0.00E+00
Exiguobacterium,Dry Food,0.00E+00,0.00E+00
Plesiomonas,Zooplankton Water Control Week 1+2,0.00E+00,0.00E+00
Lelliottia,Zooplankton Water Control Week 1+2,2.14E-04,7.14E-05
Aeromonas,Zooplankton Water Control Week 1+2,2.27E-02,9.86E-03
Shewanella,Zooplankton Water Control Week 1+2,2.50E-03,7.14E-05
Escherichia/Shigella,Zooplankton Water Control Week 1+2,0.00E+00,0.00E+00
Deefgea,Zooplankton Water Control Week 1+2,1.43E-03,1.29E-03
Pseudomonas,Zooplankton Water Control Week 1+2,8.86E-03,1.14E-03
Paracoccus,Zooplankton Water Control Week 1+2,1.43E-04,1.43E-04
Flavobacterium,Zooplankton Water Control Week 1+2,4.22E-01,6.48E-02
Exiguobacterium,Zooplankton Water Control Week 1+2,1.64E-03,1.36E-03
Plesiomonas,Zooplankton,0.000428571,
Lelliottia,Zooplankton,0,
Aeromonas,Zooplankton,0.010857143,
Shewanella,Zooplankton,0,
Escherichia/Shigella,Zooplankton,0,
Deefgea,Zooplankton,0.001285714,
Pseudomonas,Zooplankton,0.002857143,
Paracoccus,Zooplankton,0.000285714,
Flavobacterium,Zooplankton,0.192285714,
Exiguobacterium,Zooplankton,0,
Plesiomonas,Zooplankton Water Control Week 3+4,0.036428571,0.028352015
Lelliottia,Zooplankton Water Control Week 3+4,0,0
Aeromonas,Zooplankton Water Control Week 3+4,4.7619E-05,4.7619E-05
Shewanella,Zooplankton Water Control Week 3+4,0,0
Escherichia/Shigella,Zooplankton Water Control Week 3+4,0,0
Deefgea,Zooplankton Water Control Week 3+4,0,0
Pseudomonas,Zooplankton Water Control Week 3+4,0.02,0.012258275
Paracoccus,Zooplankton Water Control Week 3+4,0.001190476,0.001190476
Flavobacterium,Zooplankton Water Control Week 3+4,0.139714286,0.113731364
Exiguobacterium,Zooplankton Water Control Week 3+4,0.303,0.303
