Genus,Treatment,AVG,SE
Plesiomonas,Artemia Water Control Week 1+2,0,0
Lelliottia,Artemia Water Control Week 1+2,9.52E-05,9.52E-05
Aeromonas,Artemia Water Control Week 1+2,0.014714286,0.014500528
Shewanella,Artemia Water Control Week 1+2,0.007238095,0.007238095
Escherichia/Shigella,Artemia Water Control Week 1+2,0.007,0.006928694
Deefgea,Artemia Water Control Week 1+2,0,0
Pseudomonas,Artemia Water Control Week 1+2,0.021047619,0.006565905
Paracoccus,Artemia Water Control Week 1+2,0.154428571,0.114159246
Flavobacterium,Artemia Water Control Week 1+2,0.272190476,0.1238775
Exiguobacterium,Artemia Water Control Week 1+2,0.03547619,0.02149677
Plesiomonas,Artemia,0,
Lelliottia,Artemia,0,
Aeromonas,Artemia,0.029714286,
Shewanella,Artemia,0.003714286,
Escherichia/Shigella,Artemia,0,
Deefgea,Artemia,0,
Pseudomonas,Artemia,0.014,
Paracoccus,Artemia,0.004857143,
Flavobacterium,Artemia,0.001714286,
Exiguobacterium,Artemia,0.577857143,
Plesiomonas,Artemia Water Control Week 3+4,0.068380952,0.04215636
Lelliottia,Artemia Water Control Week 3+4,0.051047619,0.019780141
Aeromonas,Artemia Water Control Week 3+4,0.014761905,0.010912557
Shewanella,Artemia Water Control Week 3+4,0,0
Escherichia/Shigella,Artemia Water Control Week 3+4,0,0
Deefgea,Artemia Water Control Week 3+4,0,0
Pseudomonas,Artemia Water Control Week 3+4,0.01,0.002163394
Paracoccus,Artemia Water Control Week 3+4,9.52E-05,9.52E-05
Flavobacterium,Artemia Water Control Week 3+4,0.140142857,0.052503515
Exiguobacterium,Artemia Water Control Week 3+4,9.52E-05,9.52E-05
Plesiomonas,Dry Food,4.76E-05,4.76E-05
Lelliottia,Dry Food,0,0
Aeromonas,Dry Food,0.010333333,0.002333333
Shewanella,Dry Food,0.003190476,0.001448277
Escherichia/Shigella,Dry Food,0,0
Deefgea,Dry Food,0,0
Pseudomonas,Dry Food,0.001285714,0.000247436
Paracoccus,Dry Food,0.46347619,0.025203975
Flavobacterium,Dry Food,0,0
Exiguobacterium,Dry Food,0,0
Plesiomonas,Zooplankton Water Control Week 1+2,0,0
Lelliottia,Zooplankton Water Control Week 1+2,0.000142857,0.000202031
Aeromonas,Zooplankton Water Control Week 1+2,0.021357143,0.012828937
Shewanella,Zooplankton Water Control Week 1+2,0.002071429,0.000101015
Escherichia/Shigella,Zooplankton Water Control Week 1+2,0,0
Deefgea,Zooplankton Water Control Week 1+2,0.001428571,0.001818275
Pseudomonas,Zooplankton Water Control Week 1+2,0.009,0.001010153
Paracoccus,Zooplankton Water Control Week 1+2,0.000285714,0.000404061
Flavobacterium,Zooplankton Water Control Week 1+2,0.426142857,0.087075149
Exiguobacterium,Zooplankton Water Control Week 1+2,0.001142857,0.001010153
Plesiomonas,Zooplankton,0.000428571,
Lelliottia,Zooplankton,0,
Aeromonas,Zooplankton,0.011285714,
Shewanella,Zooplankton,0,
Escherichia/Shigella,Zooplankton,0,
Deefgea,Zooplankton,0.001142857,
Pseudomonas,Zooplankton,0.002714286,
Paracoccus,Zooplankton,0.000428571,
Flavobacterium,Zooplankton,0.192714286,
Exiguobacterium,Zooplankton,0,
Plesiomonas,Zooplankton Water Control Week 3+4,0.037,0.028814679
Lelliottia,Zooplankton Water Control Week 3+4,0,0
Aeromonas,Zooplankton Water Control Week 3+4,0,0
Shewanella,Zooplankton Water Control Week 3+4,0,0
Escherichia/Shigella,Zooplankton Water Control Week 3+4,0,0
Deefgea,Zooplankton Water Control Week 3+4,0,0
Pseudomonas,Zooplankton Water Control Week 3+4,0.02047619,0.011816146
Paracoccus,Zooplankton Water Control Week 3+4,0.001285714,0.001285714
Flavobacterium,Zooplankton Water Control Week 3+4,0.140714286,0.114875887
Exiguobacterium,Zooplankton Water Control Week 3+4,0.303095238,0.303095238
