Genus,Treatment,AVG,SE
Plesiomonas,Week 0,0.000238095,4.76E-05
Lelliottia,Week 0,0,0.00E+00
Aeromonas,Week 0,0.000285714,1.65E-04
Shewanella,Week 0,0,0.00E+00
Escherichia/Shigella,Week 0,0,0.00E+00
Deefgea,Week 0,4.7619E-05,4.76E-05
Pseudomonas,Week 0,0.330380952,1.23E-01
Paracoccus,Week 0,0,0.00E+00
Flavobacterium,Week 0,0.027285714,1.83E-02
Exiguobacterium,Week 0,0,0.00E+00
Plesiomonas,Artemia/Week 1,5.49E-05,4.44E-05
Lelliottia,Artemia/Week 1,5.49E-04,2.03E-04
Aeromonas,Artemia/Week 1,4.23E-01,6.42E-02
Shewanella,Artemia/Week 1,1.99E-01,3.86E-02
Escherichia/Shigella,Artemia/Week 1,1.52E-01,2.79E-02
Deefgea,Artemia/Week 1,1.76E-03,8.34E-04
Pseudomonas,Artemia/Week 1,1.15E-02,2.82E-03
Paracoccus,Artemia/Week 1,2.52E-03,1.53E-03
Flavobacterium,Artemia/Week 1,1.10E-04,6.70E-05
Exiguobacterium,Artemia/Week 1,7.95E-02,1.74E-02
Plesiomonas,Zooplankton/Week 1,0.000725275,0.000398342
Lelliottia,Zooplankton/Week 1,0.001923077,0.001864077
Aeromonas,Zooplankton/Week 1,0.682846154,0.048753493
Shewanella,Zooplankton/Week 1,0.089868132,0.033121075
Escherichia/Shigella,Zooplankton/Week 1,0.006076923,0.006076923
Deefgea,Zooplankton/Week 1,0.078032967,0.017790257
Pseudomonas,Zooplankton/Week 1,0.004384615,0.000900082
Paracoccus,Zooplankton/Week 1,0.003428571,0.001577245
Flavobacterium,Zooplankton/Week 1,0.03143956,0.017494415
Exiguobacterium,Zooplankton/Week 1,0.000824176,0.000342045
Plesiomonas,Artemia/Week 2,2.86E-05,2.86E-05
Lelliottia,Artemia/Week 2,8.08E-02,1.91E-02
Aeromonas,Artemia/Week 2,6.23E-01,4.31E-02
Shewanella,Artemia/Week 2,5.91E-03,1.39E-03
Escherichia/Shigella,Artemia/Week 2,6.94E-02,2.38E-02
Deefgea,Artemia/Week 2,9.54E-02,3.27E-02
Pseudomonas,Artemia/Week 2,6.17E-03,1.34E-03
Paracoccus,Artemia/Week 2,1.08E-02,2.69E-03
Flavobacterium,Artemia/Week 2,2.86E-04,1.36E-04
Exiguobacterium,Artemia/Week 2,5.00E-04,1.82E-04
Plesiomonas,Zooplankton/Week 2,0.008047619,0.001842257
Lelliottia,Zooplankton/Week 2,5.71429E-05,5.71429E-05
Aeromonas,Zooplankton/Week 2,0.222171429,0.050629614
Shewanella,Zooplankton/Week 2,0.594790476,0.046151398
Escherichia/Shigella,Zooplankton/Week 2,0,0
Deefgea,Zooplankton/Week 2,0.06787619,0.020607394
Pseudomonas,Zooplankton/Week 2,0.001819048,0.000811418
Paracoccus,Zooplankton/Week 2,2.85714E-05,2.85714E-05
Flavobacterium,Zooplankton/Week 2,0.001314286,0.000698075
Exiguobacterium,Zooplankton/Week 2,2.85714E-05,2.85714E-05
Plesiomonas,Zooplankton/Week 3,0.98937594,0.009712536
Lelliottia,Zooplankton/Week 3,2.25564E-05,2.25564E-05
Aeromonas,Zooplankton/Week 3,0.009849624,0.009754472
Shewanella,Zooplankton/Week 3,0,0
Escherichia/Shigella,Zooplankton/Week 3,0,0
Deefgea,Zooplankton/Week 3,0,0
Pseudomonas,Zooplankton/Week 3,2.25564E-05,1.64347E-05
Paracoccus,Zooplankton/Week 3,9.02256E-05,2.7225E-05
Flavobacterium,Zooplankton/Week 3,7.5188E-06,7.5188E-06
Exiguobacterium,Zooplankton/Week 3,0,0
Plesiomonas,Artemia/Week 3,0.000151786,4.60E-05
Lelliottia,Artemia/Week 3,0.810580357,6.65E-02
Aeromonas,Artemia/Week 3,0.125116071,6.34E-02
Shewanella,Artemia/Week 3,0.000598214,3.29E-04
Escherichia/Shigella,Artemia/Week 3,0,0.00E+00
Deefgea,Artemia/Week 3,0,0.00E+00
Pseudomonas,Artemia/Week 3,0.012696429,1.24E-02
Paracoccus,Artemia/Week 3,0.000767857,3.30E-04
Flavobacterium,Artemia/Week 3,0.000366071,3.38E-04
Exiguobacterium,Artemia/Week 3,0,0.00E+00
Plesiomonas,Zooplankton/Week 4,0.998233766,0.000773943
Lelliottia,Zooplankton/Week 4,1.2987E-05,1.2987E-05
Aeromonas,Zooplankton/Week 4,3.8961E-05,3.8961E-05
Shewanella,Zooplankton/Week 4,0,0
Escherichia/Shigella,Zooplankton/Week 4,0,0
Deefgea,Zooplankton/Week 4,0,0
Pseudomonas,Zooplankton/Week 4,1.2987E-05,1.2987E-05
Paracoccus,Zooplankton/Week 4,6.49351E-05,5.22717E-05
Flavobacterium,Zooplankton/Week 4,5.19481E-05,2.90398E-05
Exiguobacterium,Zooplankton/Week 4,0,0
Plesiomonas,Artemia/Week 4,9.52E-05,4.76E-05
Lelliottia,Artemia/Week 4,9.98E-01,2.26E-03
Aeromonas,Artemia/Week 4,0.00E+00,0.00E+00
Shewanella,Artemia/Week 4,0.00E+00,0.00E+00
Escherichia/Shigella,Artemia/Week 4,0.00E+00,0.00E+00
Deefgea,Artemia/Week 4,0.00E+00,0.00E+00
Pseudomonas,Artemia/Week 4,9.52E-05,9.52E-05
Paracoccus,Artemia/Week 4,1.33E-03,1.33E-03
Flavobacterium,Artemia/Week 4,0.00E+00,0.00E+00
Exiguobacterium,Artemia/Week 4,0.00E+00,0.00E+00
