Genus,Treatment,AVG,SE
Plesiomonas,Week 0,0.000190476,2.12E-06
Lelliottia,Week 0,0,0
Aeromonas,Week 0,0.000285714,4.83E-06
Shewanella,Week 0,0,0
Escherichia/Shigella,Week 0,0,0
Deefgea,Week 0,4.76E-05,7.49E-07
Pseudomonas,Week 0,0.326952381,0.098599586
Paracoccus,Week 0,0,0
Flavobacterium,Week 0,0.028714286,0.006836892
Exiguobacterium,Week 0,0,0
Plesiomonas,Artemia/Week 1,1.10E-05,1.06E-05
Lelliottia,Artemia/Week 1,0.000461538,0.000162365
Aeromonas,Artemia/Week 1,0.422582418,0.061646642
Shewanella,Artemia/Week 1,0.198659341,0.036956845
Escherichia/Shigella,Artemia/Week 1,0.152,0.026874848
Deefgea,Artemia/Week 1,0.001813187,0.00087656
Pseudomonas,Artemia/Week 1,0.011879121,0.002718658
Paracoccus,Artemia/Week 1,0.002340659,0.00135049
Flavobacterium,Artemia/Week 1,0.000164835,8.35E-05
Exiguobacterium,Artemia/Week 1,0.080626374,0.016272989
Plesiomonas,Zooplankton/Week 1,0.000879121,0.000402518
Lelliottia,Zooplankton/Week 1,0.001802198,0.00158467
Aeromonas,Zooplankton/Week 1,0.680373626,0.046834919
Shewanella,Zooplankton/Week 1,0.091472527,0.032534412
Escherichia/Shigella,Zooplankton/Week 1,0.00621978,0.005975772
Deefgea,Zooplankton/Week 1,0.078318681,0.017076054
Pseudomonas,Zooplankton/Week 1,0.00478022,0.001000859
Paracoccus,Zooplankton/Week 1,0.003263736,0.001482649
Flavobacterium,Zooplankton/Week 1,0.031021978,0.016507271
Exiguobacterium,Zooplankton/Week 1,0.000835165,0.000314234
Plesiomonas,Artemia/Week 2,2.86E-05,2.71E-05
Lelliottia,Artemia/Week 2,0.081971429,0.018753414
Aeromonas,Artemia/Week 2,0.6252,0.04038023
Shewanella,Artemia/Week 2,0.005185714,0.000837891
Escherichia/Shigella,Artemia/Week 2,0.0678,0.021871118
Deefgea,Artemia/Week 2,0.095271429,0.031004631
Pseudomonas,Artemia/Week 2,0.005442857,0.001405449
Paracoccus,Artemia/Week 2,0.011171429,0.002755758
Flavobacterium,Artemia/Week 2,0.000185714,8.82E-05
Exiguobacterium,Artemia/Week 2,0.000428571,0.000167819
Plesiomonas,Zooplankton/Week 2,0.007714286,0.001698224
Lelliottia,Zooplankton/Week 2,3.81E-05,2.95E-05
Aeromonas,Zooplankton/Week 2,0.223542857,0.050411716
Shewanella,Zooplankton/Week 2,0.592571429,0.045426165
Escherichia/Shigella,Zooplankton/Week 2,0,0
Deefgea,Zooplankton/Week 2,0.067990476,0.02049755
Pseudomonas,Zooplankton/Week 2,0.001885714,0.000846556
Paracoccus,Zooplankton/Week 2,0,0
Flavobacterium,Zooplankton/Week 2,0.001333333,0.000761394
Exiguobacterium,Zooplankton/Week 2,5.71E-05,5.71E-05
Plesiomonas,Zooplankton/Week 3,0.989864662,0.009232437
Lelliottia,Zooplankton/Week 3,2.26E-05,1.20E-05
Aeromonas,Zooplankton/Week 3,0.009541353,0.009263711
Shewanella,Zooplankton/Week 3,7.52E-06,7.32E-06
Escherichia/Shigella,Zooplankton/Week 3,0,0
Deefgea,Zooplankton/Week 3,0,0
Pseudomonas,Zooplankton/Week 3,7.52E-06,7.32E-06
Paracoccus,Zooplankton/Week 3,0.000105263,4.62E-05
Flavobacterium,Zooplankton/Week 3,0,0
Exiguobacterium,Zooplankton/Week 3,0,0
Plesiomonas,Artemia/Week 3,0.000196429,5.96E-05
Lelliottia,Artemia/Week 3,0.809803571,0.066494821
Aeromonas,Artemia/Week 3,0.126901786,0.063584943
Shewanella,Artemia/Week 3,0.000625,0.000354724
Escherichia/Shigella,Artemia/Week 3,0,0
Deefgea,Artemia/Week 3,0,0
Pseudomonas,Artemia/Week 3,0.012080357,0.011702484
Paracoccus,Artemia/Week 3,0.0008125,0.000279004
Flavobacterium,Artemia/Week 3,0.000392857,0.000383437
Exiguobacterium,Artemia/Week 3,0,0
Plesiomonas,Zooplankton/Week 4,0.998207792,0.000742958
Lelliottia,Zooplankton/Week 4,1.30E-05,1.24E-05
Aeromonas,Zooplankton/Week 4,3.90E-05,3.71E-05
Shewanella,Zooplankton/Week 4,0,0
Escherichia/Shigella,Zooplankton/Week 4,0,0
Deefgea,Zooplankton/Week 4,0,0
Pseudomonas,Zooplankton/Week 4,0,0
Paracoccus,Zooplankton/Week 4,0.000116883,7.30E-05
Flavobacterium,Zooplankton/Week 4,3.90E-05,2.66E-05
Exiguobacterium,Zooplankton/Week 4,0,0
Plesiomonas,Artemia/Week 4,0.476194805,0.101086188
Lelliottia,Artemia/Week 4,0.45561039,0.10222489
Aeromonas,Artemia/Week 4,0.066727273,0.059492582
Shewanella,Artemia/Week 4,0,0
Escherichia/Shigella,Artemia/Week 4,0,0
Deefgea,Artemia/Week 4,0,0
Pseudomonas,Artemia/Week 4,0,0
Paracoccus,Artemia/Week 4,0.000337662,0.000295735
Flavobacterium,Artemia/Week 4,1.30E-05,1.24E-05
Exiguobacterium,Artemia/Week 4,0,0
