"","ART-156-506-701_F_filt.fastq.gz","ART-158-508-702_F_filt.fastq.gz","ART-161-513-702_F_filt.fastq.gz","ART-162-515-702_F_filt.fastq.gz","ART-164-517-702_F_filt.fastq.gz","ART-165-518-702_F_filt.fastq.gz","ART-166-520-702_F_filt.fastq.gz","DF-170-503-703_F_filt.fastq.gz","DF-171-505-703_F_filt.fastq.gz","DF-172-506-703_F_filt.fastq.gz","NP-001-502-714_F_filt.fastq.gz","NP-002-503-714_F_filt.fastq.gz","NP-005-507-714_F_filt.fastq.gz","NP-006-508-714_F_filt.fastq.gz","NP-007-510-714_F_filt.fastq.gz","NP-008-511-714_F_filt.fastq.gz","NP-009-513-714_F_filt.fastq.gz","NP-010-515-714_F_filt.fastq.gz","NP-011-516-714_F_filt.fastq.gz","NP-013-518-715_F_filt.fastq.gz","NP-014-520-715_F_filt.fastq.gz","NP-015-521-715_F_filt.fastq.gz","NP-016-522-715_F_filt.fastq.gz","NP-017-502-715_F_filt.fastq.gz","NP-018-503-715_F_filt.fastq.gz","NP-019-505-715_F_filt.fastq.gz","NP-021-511-716_F_filt.fastq.gz","NP-022-507-715_F_filt.fastq.gz","NP-023-508-715_F_filt.fastq.gz","NP-024-510-716_F_filt.fastq.gz","NP-025-513-716_F_filt.fastq.gz","NP-026-515-716_F_filt.fastq.gz","NP-027-516-716_F_filt.fastq.gz","NP-028-517-716_F_filt.fastq.gz","NP-029-518-716_F_filt.fastq.gz","NP-030-520-716_F_filt.fastq.gz","NP-031-521-716_F_filt.fastq.gz","NP-032-522-716_F_filt.fastq.gz","NP-034-502-716_F_filt.fastq.gz","NP-041-513-718_F_filt.fastq.gz","NP-042-515-718_F_filt.fastq.gz","NP-043-516-718_F_filt.fastq.gz","NP-044-517-718_F_filt.fastq.gz","NP-045-518-719_F_filt.fastq.gz","NP-046-520-719_F_filt.fastq.gz","NP-047-521-719_F_filt.fastq.gz","NP-048-522-719_F_filt.fastq.gz","NP-049-502-719_F_filt.fastq.gz","NP-050-503-719_F_filt.fastq.gz","NP-051-505-719_F_filt.fastq.gz","NP-052-506-719_F_filt.fastq.gz","NP-053-507-719_F_filt.fastq.gz","NP-054-508-719_F_filt.fastq.gz","NP-055-510-719_F_filt.fastq.gz","NP-056-511-720_F_filt.fastq.gz","NP-057-513-720_F_filt.fastq.gz","NP-058-515-720_F_filt.fastq.gz","NP-059-516-720_F_filt.fastq.gz","NP-060-517-720_F_filt.fastq.gz","NP-061-518-720_F_filt.fastq.gz","NP-062-520-721_F_filt.fastq.gz","NP-063-521-720_F_filt.fastq.gz","NP-064-522-720_F_filt.fastq.gz","NP-065-502-720_F_filt.fastq.gz","NP-066-503-704_F_filt.fastq.gz","NP-067-505-721_F_filt.fastq.gz","NP-068-506-721_F_filt.fastq.gz","NP-069-507-721_F_filt.fastq.gz","NP-070-508-721_F_filt.fastq.gz","NP-071-510-721_F_filt.fastq.gz","NP-072-511-721_F_filt.fastq.gz","NP-073-513-721_F_filt.fastq.gz","NP-074-515-704_F_filt.fastq.gz","NP-075-516-721_F_filt.fastq.gz","NP-076-517-721_F_filt.fastq.gz","NP-077-518-721_F_filt.fastq.gz","NP-078-522-722_F_filt.fastq.gz","NP-080-520-722_F_filt.fastq.gz","NP-081-502-722_F_filt.fastq.gz","NP-083-505-722_F_filt.fastq.gz","NP-084-506-722_F_filt.fastq.gz","NP-085-507-722_F_filt.fastq.gz","NP-086-508-722_F_filt.fastq.gz","NP-087-510-722_F_filt.fastq.gz","NP-088-511-722_F_filt.fastq.gz","NP-090-515-723_F_filt.fastq.gz","NP-091-516-723_F_filt.fastq.gz","NP-093-518-728_F_filt.fastq.gz","NP-094-520-728_F_filt.fastq.gz","NP-095-521-728_F_filt.fastq.gz","NP-096-522-728_F_filt.fastq.gz","NP-097-502-723_F_filt.fastq.gz","NP-098-503-723_F_filt.fastq.gz","NP-099-505-723_F_filt.fastq.gz","NP-102-508-724_F_filt.fastq.gz","NP-103-510-724_F_filt.fastq.gz","NP-104-511-724_F_filt.fastq.gz","NP-105-513-724_F_filt.fastq.gz","NP-106-515-724_F_filt.fastq.gz","NP-120-502-727_F_filt.fastq.gz","NP-121-503-727_F_filt.fastq.gz","NP-122-505-727_F_filt.fastq.gz","NP-123-506-727_F_filt.fastq.gz","NP-126-510-728_F_filt.fastq.gz","NP-127-511-728_F_filt.fastq.gz","NP-128-513-728_F_filt.fastq.gz","NP-129-515-728_F_filt.fastq.gz","NP-133-520-723_F_filt.fastq.gz","NP-134-521-723_F_filt.fastq.gz","NP-135-522-729_F_filt.fastq.gz","NP-139-506-729_F_filt.fastq.gz","NP-140-507-729_F_filt.fastq.gz","NP-141-508-729_F_filt.fastq.gz","ZOOP-159-510-702_F_filt.fastq.gz","ZOOP-160-511-702_F_filt.fastq.gz","ZOOP-163-516-702_F_filt.fastq.gz","ZOOP-167-521-702_F_filt.fastq.gz","ZOOP-168-522-703_F_filt.fastq.gz","ZOOP-169-502-703_F_filt.fastq.gz"
"ASV1",0,0,0,0,0,0.0638571428571429,0.148857142857143,0.000142857142857143,0,0,0.000285714285714286,0.000285714285714286,0.000142857142857143,0,0,0,0,0,0.000142857142857143,0,0,0,0,0,0,0.000571428571428571,0.000142857142857143,0.00385714285714286,0,0,0,0.004,0.000285714285714286,0,0.000142857142857143,0,0.000714285714285714,0.000285714285714286,0,0,0,0,0,0,0,0,0.000285714285714286,0,0,0.0124285714285714,0.00642857142857143,0.0197142857142857,0.0224285714285714,0.0107142857142857,0.00214285714285714,0.00657142857142857,0.0171428571428571,0.00871428571428571,0.00528571428571429,0,0.001,0.00557142857142857,0.000571428571428571,0.002,1,1,0.999142857142857,0.999285714285714,0.999,0.999142857142857,0.999714285714286,0.999,0.997857142857143,1,0.999714285714286,0.814571428571429,0.998428571428571,0.998714285714286,0.998428571428571,0.999,0.999714285714286,0.998142857142857,0.998285714285714,0.000142857142857143,0.000428571428571429,0.000142857142857143,0,0.000142857142857143,0,0.000285714285714286,0,0,0.000428571428571429,0.000428571428571429,0,0.000428571428571429,0,0,0,1,0.999714285714286,0.999428571428571,0.999,0.995142857142857,0.999428571428571,0.996857142857143,0.999,0.992,1,1,0.000142857142857143,0,0.000142857142857143,0,0.000428571428571429,0,0.0161428571428571,0.000714285714285714,0.0924285714285714
"ASV2",0,0.000142857142857143,0,0,0.0935714285714286,0.0347142857142857,0.0265714285714286,0,0,0,0,0,0,0.000571428571428571,0,0.000428571428571429,0,0.000285714285714286,0.002,0.000428571428571429,0.000142857142857143,0.000285714285714286,0.000142857142857143,0.000142857142857143,0.000428571428571429,0.00228571428571429,0,0,0,0.0242857142857143,0,0,0,0,0,0.000142857142857143,0,0,0.000571428571428571,0.0535714285714286,0.159857142857143,0.0484285714285714,0.123857142857143,0.198857142857143,0.0484285714285714,0.0297142857142857,0.0865714285714286,0.0272857142857143,0.0314285714285714,0,0,0,0,0,0,0,0,0,0,0.000857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428571428571429,0,0,0,0,0.999857142857143,0.668285714285714,0.964571428571429,0.996857142857143,0.728714285714286,0.947,0.928142857142857,0.864857142857143,0.801857142857143,0.617,0.981857142857143,0.987714285714286,0.469142857142857,0.993714285714286,0.997,0.0227142857142857,0,0,0,0,0,0,0,0,0.000142857142857143,0,0,0.999857142857143,0.999714285714286,0.993,0.000285714285714286,0,0.000142857142857143,0,0,0
"ASV3",0.045,0,0.0342857142857143,0,0.00471428571428571,0.0365714285714286,0.00328571428571429,0.008,0.00885714285714286,0.0147142857142857,0.000285714285714286,0.000571428571428571,0,0.482,0.280285714285714,0.0542857142857143,0.284571428571429,0.0637142857142857,0.663714285714286,0.690428571428571,0.481285714285714,0.495285714285714,0.159142857142857,0.593857142857143,0.715428571428571,0.535714285714286,0.883571428571429,0.889857142857143,0.300714285714286,0.595571428571429,0.882142857142857,0.534,0.572285714285714,0.734,0.696571428571429,0.634,0.810428571428571,0.810142857142857,0.533714285714286,0.808142857142857,0.67,0.854857142857143,0.624857142857143,0.399,0.472857142857143,0.589571428571429,0.596428571428571,0.639857142857143,0.575142857142857,0.292571428571429,0.180857142857143,0.135428571428571,0.169571428571429,0.11,0.0131428571428571,0.0205714285714286,0.0232857142857143,0.368285714285714,0.291571428571429,0.370285714285714,0.734714285714286,0.116428571428571,0.427571428571429,0.0782857142857143,0,0,0.000142857142857143,0,0.000142857142857143,0,0,0,0.000571428571428571,0,0,0.185428571428571,0,0,0.000428571428571429,0,0,0.000428571428571429,0,0,0.00285714285714286,0.0254285714285714,0,0.000857142857142857,0.0504285714285714,0.0202857142857143,0.125714285714286,0.193571428571429,0.146714285714286,0.0161428571428571,0.009,0.437714285714286,0,0.000857142857142857,0.972285714285714,0,0,0,0.000428571428571429,0,0,0,0,0,0,0,0,0,0,0.0128571428571429,0.0111428571428571,0.0325714285714286,0,0.000142857142857143,0
"ASV5",0.022,0,0.00485714285714286,0,0,0,0,0.000571428571428571,0.00514285714285714,0.00357142857142857,0,0,0,0.373428571428571,0.0748571428571429,0.314285714285714,0.425,0.323285714285714,0.0981428571428571,0.109,0.333714285714286,0.251,0.046,0.108428571428571,0.0932857142857143,0.0421428571428571,0.00385714285714286,0.00914285714285714,0.00142857142857143,0.00414285714285714,0.0101428571428571,0.233714285714286,0.346285714285714,0.226428571428571,0.206714285714286,0.0781428571428571,0.00428571428571429,0.0337142857142857,0.0102857142857143,0.00557142857142857,0.00257142857142857,0.0178571428571429,0.00342857142857143,0.00514285714285714,0.00342857142857143,0.005,0.00414285714285714,0.00471428571428571,0.00728571428571429,0.640142857142857,0.618142857142857,0.669285714285714,0.785142857142857,0.769714285714286,0.436142857142857,0.784714285714286,0.786,0.511714285714286,0.650714285714286,0.526428571428571,0.102142857142857,0.604142857142857,0.466571428571429,0.570857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00214285714285714,0,0,0,0,0.00314285714285714,0,0,0.000142857142857143,0,0,0.00414285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00242857142857143,0,0.00257142857142857,0,0,0
"ASV8",0.0208571428571429,0.000142857142857143,0,0,0,0,0,0,0,0,0,0,0,0.0221428571428571,0.0892857142857143,0.159857142857143,0.22,0.173142857142857,0.107,0.125714285714286,0.148,0.132285714285714,0.426142857142857,0.140857142857143,0.0308571428571429,0.202,0,0,0,0.079,0,0,0,0,0,0,0,0,0,0.0744285714285714,0.0662857142857143,0.0254285714285714,0.0782857142857143,0.274142857142857,0.0451428571428571,0.0144285714285714,0.0595714285714286,0.0314285714285714,0.0248571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV11",0,0,0,0,0,0,0,0,0,0,0.000142857142857143,0,0,0.00171428571428571,0,0,0,0.000285714285714286,0,0,0,0,0.00814285714285714,0.00828571428571429,0.00157142857142857,0.00285714285714286,0.0865714285714286,0.062,0.00714285714285714,0.0597142857142857,0.0652857142857143,0.104857142857143,0.0622857142857143,0.0285714285714286,0.0388571428571429,0.199714285714286,0.0697142857142857,0.0124285714285714,0.217285714285714,0.000428571428571429,0.000285714285714286,0,0,0,0.172714285714286,0.158142857142857,0.164285714285714,0.243285714285714,0.215,0.0504285714285714,0.180428571428571,0.147285714285714,0,0.0204285714285714,0.00142857142857143,0.0524285714285714,0.0527142857142857,0.0681428571428571,0.0298571428571429,0.062,0.0318571428571429,0.0118571428571429,0.0182857142857143,0.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271428571428571,0.00128571428571429,0.000142857142857143,0,0,0
"ASV16",0.0325714285714286,0.0208571428571429,0.0171428571428571,0.0124285714285714,0.00542857142857143,0.0151428571428571,0.0108571428571429,0.000857142857142857,0.001,0.00171428571428571,0.127285714285714,0.551714285714286,0.312142857142857,0.0148571428571429,0.0278571428571429,0.018,0.000285714285714286,0.00957142857142857,0.00157142857142857,0.0117142857142857,0.00157142857142857,0.008,0.0341428571428571,0.00685714285714286,0.0107142857142857,0.00457142857142857,0.000285714285714286,0.00114285714285714,0.00857142857142857,0.00942857142857143,0.00942857142857143,0.00557142857142857,0.00142857142857143,0.001,0.00585714285714286,0.00385714285714286,0.005,0.00328571428571429,0.00214285714285714,0.0102857142857143,0.0155714285714286,0.00442857142857143,0.00785714285714286,0.00585714285714286,0.00457142857142857,0.00214285714285714,0.001,0.00614285714285714,0.00385714285714286,0,0.000428571428571429,0.000285714285714286,0,0,0.000857142857142857,0,0.000142857142857143,0,0,0.00914285714285714,0.000571428571428571,0.00485714285714286,0.00857142857142857,0.00242857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142857142857143,0,0,0.000285714285714286,0,0,0,0.000285714285714286,0,0,0,0,0,0.199,0,0.000142857142857143,0.00328571428571429,0.000428571428571429,0,0,0,0,0,0,0.000142857142857143,0,0,0,0,0,0,0,0,0.000285714285714286,0.00771428571428571,0.00257142857142857,0.01,0.0432857142857143,0.00171428571428571,0.015
"ASV20",0.381857142857143,0.0231428571428571,0.006,0.0562857142857143,0,0.000285714285714286,0,0.513285714285714,0.439142857142857,0.437,0,0,0,0.000428571428571429,0.001,0.0205714285714286,0,0.00228571428571429,0.00114285714285714,0.000571428571428571,0,0,0.00342857142857143,0.000428571428571429,0.000857142857142857,0.002,0.000428571428571429,0,0.00985714285714286,0.0165714285714286,0.000571428571428571,0.000714285714285714,0,0,0,0,0,0.00414285714285714,0.0122857142857143,0.00514285714285714,0.00357142857142857,0.0165714285714286,0.027,0.015,0.0114285714285714,0.0198571428571429,0.003,0.003,0.00371428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0.000428571428571429,0,0,0,0,0,0.000142857142857143,0.000285714285714286,0.000285714285714286,0,0,0.000285714285714286,0,0,0,0,0.000142857142857143,0.000285714285714286,0.000142857142857143,0,0.000142857142857143,0,0,0.000285714285714286,0.000428571428571429,0.000857142857142857,0.000857142857142857,0.000285714285714286,0.00171428571428571,0,0.000857142857142857,0,0,0.00142857142857143,0.00528571428571429,0,0.000285714285714286,0,0,0,0,0,0.000571428571428571,0,0.000142857142857143,0,0,0,0,0,0,0.004,0,0.000142857142857143,0.000285714285714286,0,0.00357142857142857,0
"ASV22",0.160857142857143,0.136,0.00128571428571429,0.526428571428571,0.115285714285714,0.241,0.0605714285714286,0,0,0,0.00685714285714286,0.0111428571428571,0.0638571428571429,0.000714285714285714,0,0,0,0,0,0,0,0,0.000142857142857143,0,0.000571428571428571,0,0.00228571428571429,0.000428571428571429,0.233142857142857,0.004,0.000571428571428571,0.051,0.000714285714285714,0,0.0208571428571429,0.00228571428571429,0.0238571428571429,0.0444285714285714,0.0251428571428571,0,0,0.00128571428571429,0.000571428571428571,0,0,0.000571428571428571,0,0.000428571428571429,0,0,0.000142857142857143,0,0,0,0.000142857142857143,0.00157142857142857,0.00214285714285714,0,0,0.00242857142857143,0.000142857142857143,0.001,0.0105714285714286,0.00157142857142857,0,0,0,0,0.000142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000285714285714286,0.000142857142857143,0,0,0,0,0,0,0.00542857142857143,0,0,0,0,0,0,0,0,0.000285714285714286,0.000142857142857143,0,0,0,0,0.000142857142857143,0,0,0,0,0,0.486714285714286,0.191285714285714,0.357142857142857,0.365142857142857,0.000714285714285714,0.0532857142857143
"ASV25",0.023,0.0794285714285714,0.574857142857143,0.00757142857142857,0,0.000142857142857143,0,0,0,0,0,0,0,0.0384285714285714,0.122428571428571,0.182285714285714,0.0184285714285714,0.193,0.0565714285714286,0.013,0.00728571428571429,0.0435714285714286,0.144,0.058,0.0665714285714286,0.0904285714285714,0,0,0.00257142857142857,0.00214285714285714,0.00357142857142857,0.00171428571428571,0,0,0.000285714285714286,0,0,0.000285714285714286,0.000142857142857143,0.000285714285714286,0,0.000142857142857143,0.00114285714285714,0,0.000285714285714286,0.000857142857142857,0.00171428571428571,0,0.000571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000285714285714286,0,0.003,0,0.909,0
