"","ART-156-506-701_F_filt.fastq.gz","ART-158-508-702_F_filt.fastq.gz","ART-161-513-702_F_filt.fastq.gz","ART-162-515-702_F_filt.fastq.gz","ART-164-517-702_F_filt.fastq.gz","ART-165-518-702_F_filt.fastq.gz","ART-166-520-702_F_filt.fastq.gz","DF-170-503-703_F_filt.fastq.gz","DF-171-505-703_F_filt.fastq.gz","DF-172-506-703_F_filt.fastq.gz","NP-001-502-714_F_filt.fastq.gz","NP-002-503-714_F_filt.fastq.gz","NP-005-507-714_F_filt.fastq.gz","NP-006-508-714_F_filt.fastq.gz","NP-007-510-714_F_filt.fastq.gz","NP-008-511-714_F_filt.fastq.gz","NP-009-513-714_F_filt.fastq.gz","NP-010-515-714_F_filt.fastq.gz","NP-011-516-714_F_filt.fastq.gz","NP-013-518-715_F_filt.fastq.gz","NP-014-520-715_F_filt.fastq.gz","NP-015-521-715_F_filt.fastq.gz","NP-016-522-715_F_filt.fastq.gz","NP-017-502-715_F_filt.fastq.gz","NP-018-503-715_F_filt.fastq.gz","NP-019-505-715_F_filt.fastq.gz","NP-021-511-716_F_filt.fastq.gz","NP-022-507-715_F_filt.fastq.gz","NP-023-508-715_F_filt.fastq.gz","NP-024-510-716_F_filt.fastq.gz","NP-025-513-716_F_filt.fastq.gz","NP-026-515-716_F_filt.fastq.gz","NP-027-516-716_F_filt.fastq.gz","NP-028-517-716_F_filt.fastq.gz","NP-029-518-716_F_filt.fastq.gz","NP-030-520-716_F_filt.fastq.gz","NP-031-521-716_F_filt.fastq.gz","NP-032-522-716_F_filt.fastq.gz","NP-034-502-716_F_filt.fastq.gz","NP-041-513-718_F_filt.fastq.gz","NP-042-515-718_F_filt.fastq.gz","NP-043-516-718_F_filt.fastq.gz","NP-044-517-718_F_filt.fastq.gz","NP-045-518-719_F_filt.fastq.gz","NP-046-520-719_F_filt.fastq.gz","NP-047-521-719_F_filt.fastq.gz","NP-048-522-719_F_filt.fastq.gz","NP-049-502-719_F_filt.fastq.gz","NP-050-503-719_F_filt.fastq.gz","NP-051-505-719_F_filt.fastq.gz","NP-052-506-719_F_filt.fastq.gz","NP-053-507-719_F_filt.fastq.gz","NP-054-508-719_F_filt.fastq.gz","NP-055-510-719_F_filt.fastq.gz","NP-056-511-720_F_filt.fastq.gz","NP-057-513-720_F_filt.fastq.gz","NP-058-515-720_F_filt.fastq.gz","NP-059-516-720_F_filt.fastq.gz","NP-060-517-720_F_filt.fastq.gz","NP-061-518-720_F_filt.fastq.gz","NP-062-520-721_F_filt.fastq.gz","NP-063-521-720_F_filt.fastq.gz","NP-064-522-720_F_filt.fastq.gz","NP-065-502-720_F_filt.fastq.gz","NP-066-503-704_F_filt.fastq.gz","NP-067-505-721_F_filt.fastq.gz","NP-068-506-721_F_filt.fastq.gz","NP-069-507-721_F_filt.fastq.gz","NP-070-508-721_F_filt.fastq.gz","NP-071-510-721_F_filt.fastq.gz","NP-072-511-721_F_filt.fastq.gz","NP-073-513-721_F_filt.fastq.gz","NP-074-515-704_F_filt.fastq.gz","NP-075-516-721_F_filt.fastq.gz","NP-076-517-721_F_filt.fastq.gz","NP-077-518-721_F_filt.fastq.gz","NP-078-522-722_F_filt.fastq.gz","NP-080-520-722_F_filt.fastq.gz","NP-081-502-722_F_filt.fastq.gz","NP-083-505-722_F_filt.fastq.gz","NP-084-506-722_F_filt.fastq.gz","NP-085-507-722_F_filt.fastq.gz","NP-086-508-722_F_filt.fastq.gz","NP-087-510-722_F_filt.fastq.gz","NP-088-511-722_F_filt.fastq.gz","NP-090-515-723_F_filt.fastq.gz","NP-091-516-723_F_filt.fastq.gz","NP-093-518-728_F_filt.fastq.gz","NP-094-520-728_F_filt.fastq.gz","NP-095-521-728_F_filt.fastq.gz","NP-096-522-728_F_filt.fastq.gz","NP-097-502-723_F_filt.fastq.gz","NP-098-503-723_F_filt.fastq.gz","NP-099-505-723_F_filt.fastq.gz","NP-102-508-724_F_filt.fastq.gz","NP-103-510-724_F_filt.fastq.gz","NP-104-511-724_F_filt.fastq.gz","NP-105-513-724_F_filt.fastq.gz","NP-106-515-724_F_filt.fastq.gz","NP-120-502-727_F_filt.fastq.gz","NP-121-503-727_F_filt.fastq.gz","NP-122-505-727_F_filt.fastq.gz","NP-123-506-727_F_filt.fastq.gz","NP-126-510-728_F_filt.fastq.gz","NP-127-511-728_F_filt.fastq.gz","NP-128-513-728_F_filt.fastq.gz","NP-129-515-728_F_filt.fastq.gz","NP-133-520-723_F_filt.fastq.gz","NP-134-521-723_F_filt.fastq.gz","NP-135-522-729_F_filt.fastq.gz","NP-139-506-729_F_filt.fastq.gz","NP-140-507-729_F_filt.fastq.gz","NP-141-508-729_F_filt.fastq.gz","NP-144-513-729_F_filt.fastq.gz","NP-145-515-729_F_filt.fastq.gz","NP-146-516-701_F_filt.fastq.gz","NP-147-517-701_F_filt.fastq.gz","NP-150-521-701_F_filt.fastq.gz","NP-151-522-701_F_filt.fastq.gz","NP-152-502-701_F_filt.fastq.gz","NP-153-503-701_F_filt.fastq.gz","ZOOP-159-510-702_F_filt.fastq.gz","ZOOP-160-511-702_F_filt.fastq.gz","ZOOP-163-516-702_F_filt.fastq.gz","ZOOP-167-521-702_F_filt.fastq.gz","ZOOP-168-522-703_F_filt.fastq.gz","ZOOP-169-502-703_F_filt.fastq.gz"
"ASV1",0,0,0,0,0,0.0598571428571429,0.145285714285714,0.000142857142857143,0,0,0.000285714285714286,0.000285714285714286,0,0,0,0,0,0,0,0,0,0,0,0.000142857142857143,0,0,0.000142857142857143,0.004,0,0.000142857142857143,0,0.00414285714285714,0.000142857142857143,0,0.000285714285714286,0.000142857142857143,0.002,0.000285714285714286,0.000142857142857143,0,0,0,0,0,0,0,0.000285714285714286,0,0,0.0104285714285714,0.00785714285714286,0.0204285714285714,0.021,0.0105714285714286,0.003,0.00957142857142857,0.0121428571428571,0.00714285714285714,0.00485714285714286,0,0.00171428571428571,0.00557142857142857,0.000571428571428571,0.000857142857142857,1,1,0.999571428571429,0.999,0.999,0.999857142857143,0.999714285714286,0.999285714285714,0.999285714285714,1,1,0.819142857142857,0.998,0.999,0.999428571428571,0.999,0.999857142857143,0.998714285714286,0.998571428571429,0.000428571428571429,0.000428571428571429,0.000428571428571429,0,0.000428571428571429,0,0.000142857142857143,0,0,0.000714285714285714,0,0,0.000428571428571429,0,0,0.000142857142857143,0.999714285714286,0.999714285714286,0.999571428571429,0.998857142857143,0.995428571428571,0.999285714285714,0.996142857142857,0.999571428571429,0.992,1,1,0.000285714285714286,0.000285714285714286,0,0.701,0.761142857142857,0.804,0.596857142857143,0.673142857142857,0.172857142857143,0.819714285714286,0.708857142857143,0,0.000428571428571429,0,0.0167142857142857,0.000428571428571429,0.0938571428571429
"ASV2",0,0.000285714285714286,0,0,0.0898571428571429,0.0382857142857143,0.025,0,0,0,0,0,0,0.000428571428571429,0,0,0,0.000142857142857143,0.000714285714285714,0.000714285714285714,0.000285714285714286,0.000142857142857143,0.000571428571428571,0.000142857142857143,0.000571428571428571,0.00228571428571429,0.000142857142857143,0,0,0.0215714285714286,0.000285714285714286,0,0,0,0,0.000428571428571429,0,0,0.001,0.054,0.165714285714286,0.0495714285714286,0.120571428571429,0.203428571428571,0.0458571428571429,0.029,0.0951428571428571,0.0251428571428571,0.0312857142857143,0,0,0,0,0,0,0,0,0,0,0.000428571428571429,0.000142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142857142857143,0.000142857142857143,0.000142857142857143,0,0,0,0.999428571428571,0.668,0.963,0.996142857142857,0.730142857142857,0.945714285714286,0.933714285714286,0.862428571428571,0.793285714285714,0.616714285714286,0.980285714285714,0.987,0.468714285714286,0.994285714285714,0.996142857142857,0.0218571428571429,0,0,0,0,0,0.000142857142857143,0,0,0,0,0,0.999571428571429,0.999571428571429,0.993142857142857,0.266571428571429,0.238571428571429,0.185285714285714,0.402142857142857,0.325857142857143,0.137142857142857,0.174428571428571,0.289428571428571,0.000285714285714286,0,0,0,0,0
"ASV3",0.0437142857142857,0,0.0297142857142857,0.000428571428571429,0.00457142857142857,0.0365714285714286,0.00314285714285714,0.008,0.008,0.015,0.000285714285714286,0.000571428571428571,0,0.488428571428571,0.272571428571429,0.0518571428571429,0.284142857142857,0.0655714285714286,0.662714285714286,0.691,0.477285714285714,0.503857142857143,0.16,0.591857142857143,0.708142857142857,0.536142857142857,0.874285714285714,0.889428571428571,0.298142857142857,0.591428571428571,0.883,0.527857142857143,0.568285714285714,0.732714285714286,0.695,0.631142857142857,0.807142857142857,0.809142857142857,0.537285714285714,0.800857142857143,0.666,0.86,0.64,0.401285714285714,0.483142857142857,0.594285714285714,0.587857142857143,0.641,0.577571428571429,0.293857142857143,0.180571428571429,0.141714285714286,0.178857142857143,0.112,0.0144285714285714,0.0217142857142857,0.0268571428571429,0.374571428571429,0.283,0.374285714285714,0.731285714285714,0.117142857142857,0.428714285714286,0.0741428571428571,0,0,0,0,0,0,0,0,0,0,0,0.180857142857143,0,0,0.000142857142857143,0,0,0.000285714285714286,0,0.000142857142857143,0.00328571428571429,0.0257142857142857,0.000285714285714286,0.000142857142857143,0.052,0.0212857142857143,0.127142857142857,0.202571428571429,0.154,0.0178571428571429,0.00885714285714286,0.442857142857143,0.000142857142857143,0.00114285714285714,0.973,0,0,0,0.000428571428571429,0,0,0,0,0,0,0,0,0,0,0.0322857142857143,0,0.00985714285714286,0.001,0,0.69,0.000857142857142857,0,0.0122857142857143,0.0112857142857143,0.0304285714285714,0,0,0
"ASV5",0.0217142857142857,0,0.00371428571428571,0,0,0,0,0.000571428571428571,0.00557142857142857,0.00342857142857143,0,0,0,0.365571428571429,0.0698571428571429,0.327857142857143,0.420142857142857,0.321714285714286,0.100428571428571,0.110571428571429,0.333,0.246714285714286,0.0457142857142857,0.106142857142857,0.0931428571428571,0.0417142857142857,0.00371428571428571,0.009,0.00128571428571429,0.00528571428571429,0.00842857142857143,0.245,0.353,0.229714285714286,0.206571428571429,0.0767142857142857,0.00428571428571429,0.0375714285714286,0.00857142857142857,0.00571428571428571,0.00257142857142857,0.0121428571428571,0.00228571428571429,0.00414285714285714,0.00385714285714286,0.005,0.00471428571428571,0.00457142857142857,0.00685714285714286,0.644428571428571,0.624857142857143,0.653285714285714,0.774,0.768,0.435,0.769714285714286,0.777714285714286,0.514142857142857,0.663714285714286,0.522285714285714,0.104285714285714,0.598428571428571,0.462714285714286,0.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142857142857143,0,0.00228571428571429,0,0,0,0,0.003,0,0,0,0,0,0.00471428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00214285714285714,0,0.002,0,0,0
"ASV8",0.0208571428571429,0.000142857142857143,0,0,0,0,0,0,0,0,0,0,0,0.0207142857142857,0.0977142857142857,0.158142857142857,0.228857142857143,0.173,0.103857142857143,0.120714285714286,0.149857142857143,0.132428571428571,0.426285714285714,0.135285714285714,0.0324285714285714,0.196714285714286,0,0,0,0.0808571428571429,0,0,0,0,0,0,0,0,0,0.0758571428571429,0.0675714285714286,0.0255714285714286,0.0697142857142857,0.266142857142857,0.0441428571428571,0.0134285714285714,0.0572857142857143,0.0328571428571429,0.0254285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV11",0,0,0,0,0,0,0,0,0,0,0.000142857142857143,0,0,0.00185714285714286,0,0,0,0.000285714285714286,0,0,0,0,0.00871428571428571,0.00928571428571429,0.001,0.00242857142857143,0.0931428571428571,0.0634285714285714,0.00742857142857143,0.0638571428571429,0.0642857142857143,0.0994285714285714,0.0638571428571429,0.03,0.0364285714285714,0.211142857142857,0.0637142857142857,0.014,0.207428571428571,0.000285714285714286,0.000428571428571429,0,0,0,0.173571428571429,0.155571428571429,0.163142857142857,0.241714285714286,0.218,0.0475714285714286,0.174285714285714,0.152714285714286,0,0.0188571428571429,0.00157142857142857,0.0574285714285714,0.0567142857142857,0.0655714285714286,0.0274285714285714,0.0645714285714286,0.0305714285714286,0.0124285714285714,0.0202857142857143,0.289857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271428571428571,0.00114285714285714,0.000142857142857143,0,0,0
"ASV16",0.0331428571428571,0.0194285714285714,0.014,0.0105714285714286,0.006,0.0134285714285714,0.0105714285714286,0.000857142857142857,0.00128571428571429,0.00171428571428571,0.123714285714286,0.549285714285714,0.307857142857143,0.0152857142857143,0.0274285714285714,0.0184285714285714,0.000714285714285714,0.0112857142857143,0.00185714285714286,0.0124285714285714,0.00142857142857143,0.00614285714285714,0.0347142857142857,0.00785714285714286,0.0118571428571429,0.005,0.000142857142857143,0.00128571428571429,0.00971428571428571,0.0105714285714286,0.0107142857142857,0.00528571428571429,0.000714285714285714,0.000857142857142857,0.00628571428571429,0.00428571428571429,0.00585714285714286,0.00414285714285714,0.00228571428571429,0.0124285714285714,0.0154285714285714,0.00557142857142857,0.00457142857142857,0.00328571428571429,0.00328571428571429,0.00214285714285714,0.00128571428571429,0.00385714285714286,0.00257142857142857,0,0.000142857142857143,0.000142857142857143,0,0,0.000571428571428571,0,0.000142857142857143,0,0.000142857142857143,0.00957142857142857,0.001,0.005,0.00885714285714286,0.00271428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142857142857143,0,0,0,0.000285714285714286,0,0,0,0,0,0.187571428571429,0,0.000142857142857143,0.00428571428571429,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00828571428571429,0.00271428571428571,0.00971428571428571,0.0428571428571429,0.00271428571428571,0.0158571428571429
"ASV20",0.381714285714286,0.022,0.00485714285714286,0.0595714285714286,0,0.000285714285714286,0,0.513857142857143,0.439714285714286,0.436857142857143,0,0,0,0.000571428571428571,0.000571428571428571,0.0188571428571429,0,0.00142857142857143,0.00114285714285714,0.000142857142857143,0,0,0.00357142857142857,0.000428571428571429,0.00185714285714286,0.00185714285714286,0.000428571428571429,0,0.00971428571428571,0.0171428571428571,0.001,0.000142857142857143,0,0,0,0.000142857142857143,0,0.00342857142857143,0.0104285714285714,0.00657142857142857,0.00471428571428571,0.016,0.0288571428571429,0.0157142857142857,0.00971428571428571,0.0221428571428571,0.00242857142857143,0.00314285714285714,0.00242857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000285714285714286,0.000857142857142857,0.000142857142857143,0,0,0.000285714285714286,0,0,0,0,0.000142857142857143,0.000142857142857143,0.000142857142857143,0,0,0,0,0.000571428571428571,0.000571428571428571,0.001,0.00128571428571429,0.000142857142857143,0.00171428571428571,0,0.000857142857142857,0,0,0.00142857142857143,0.00442857142857143,0,0.000285714285714286,0.000714285714285714,0.000142857142857143,0,0,0,0.000857142857142857,0,0.000142857142857143,0,0.000142857142857143,0,0,0,0,0.00342857142857143,0,0,0,0,0.000285714285714286,0,0,0,0,0.000428571428571429,0.000571428571428571,0,0.00385714285714286,0
"ASV22",0.160285714285714,0.136714285714286,0.00171428571428571,0.519571428571429,0.117428571428571,0.240285714285714,0.0627142857142857,0,0,0,0.00671428571428571,0.00914285714285714,0.0702857142857143,0.000714285714285714,0,0,0,0,0,0,0,0,0.000714285714285714,0,0.000714285714285714,0,0.00314285714285714,0.000571428571428571,0.228857142857143,0.00257142857142857,0,0.0508571428571429,0.00114285714285714,0,0.0201428571428571,0.00128571428571429,0.028,0.0424285714285714,0.0242857142857143,0,0,0.000857142857142857,0.000428571428571429,0,0,0.000142857142857143,0,0.000428571428571429,0,0,0.000142857142857143,0,0,0,0.000142857142857143,0.00128571428571429,0.00242857142857143,0,0,0.00114285714285714,0.000142857142857143,0.001,0.0115714285714286,0.00214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142857142857143,0,0,0,0,0,0,0.00614285714285714,0,0,0,0,0,0,0,0,0,0.000142857142857143,0,0,0,0,0.000285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0.000142857142857143,0.487714285714286,0.192714285714286,0.364571428571429,0.368571428571429,0.00128571428571429,0.0522857142857143
"ASV25",0.022,0.0775714285714286,0.577857142857143,0.00685714285714286,0,0.000285714285714286,0,0,0,0,0,0,0,0.0388571428571429,0.126428571428571,0.179142857142857,0.0195714285714286,0.189428571428571,0.0592857142857143,0.0134285714285714,0.00928571428571429,0.0465714285714286,0.141571428571429,0.0632857142857143,0.0664285714285714,0.0948571428571429,0,0,0.00228571428571429,0.00228571428571429,0.00342857142857143,0.00171428571428571,0,0,0.000285714285714286,0,0,0.000714285714285714,0.000142857142857143,0,0,0.000428571428571429,0.001,0,0.000142857142857143,0.000571428571428571,0.00171428571428571,0,0.000428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428571428571429,0,0.00185714285714286,0,0.909285714285714,0
