DATE,LOCATION,REP,GROUP,COUNT,AVERAGE,SD,SE
5/15/18,CARPENTERS 5/15,1,BOSMINIDAE,53,53,,
5/15/18,CARPENTERS 5/15,1,OSTRACODA,3,3,,
5/19/18,CARPENTERS 5/19,1,OSTRACODA,6,6,,
5/19/18,CARPENTERS 5/19,1,CYCLOPOIDA,4,4,,
5/19/18,CARPENTERS 5/19,1,HYDRACHNIDIA,2,2,,
5/19/18,CARPENTERS 5/19,1,BOSMINIDAE,1,1,,
5/23/18,CARPENTERS 5/23,1,CALANOIDA,1,1,0,0
5/23/18,CARPENTERS 5/23,1,CYCLOPOIDA,49,37.5,16.26345597,11.5
5/23/18,CARPENTERS 5/23,1,CHYDORIDAE,32,33,1.414213562,1
5/23/18,CARPENTERS 5/23,1,SIDIDAE,48,46.5,2.121320344,1.5
5/23/18,CARPENTERS 5/23,1,BOSMINIDAE,1,4.5,4.949747468,3.5
5/23/18,CARPENTERS 5/23,1,HYDRACHNIDIA,10,16.5,9.192388155,6.5
5/23/18,CARPENTERS 5/23,1,OSTRACODA,13,7.5,7.778174593,5.5
5/23/18,CARPENTERS 5/23,1,AMPHIPODA,1,0.5,0.707106781,0.5
5/23/18,CARPENTERS 5/23,2,CALANOIDA,1,,,
5/23/18,CARPENTERS 5/23,2,CYCLOPOIDA,26,,,
5/23/18,CARPENTERS 5/23,2,CHYDORIDAE,34,,,
5/23/18,CARPENTERS 5/23,2,SIDIDAE,45,,,
5/23/18,CARPENTERS 5/23,2,BOSMINIDAE,8,,,
5/23/18,CARPENTERS 5/23,2,HYDRACHNIDIA,23,,,
5/23/18,CARPENTERS 5/23,2,OSTRACODA,2,,,
5/23/18,CARPENTERS 5/23,2,AMPHIPODA,0,,,
