DATE,LOCATION,GROUP,COUNT
5/15/18,CARPENTERS 5/15,BOSMINIDAE,53
5/15/18,CARPENTERS 5/15,CHYDORIDAE,0
5/15/18,CARPENTERS 5/15,SIDIDAE,0
5/15/18,CARPENTERS 5/15,CALANOIDA,0
5/15/18,CARPENTERS 5/15,CYCLOPOIDA,0
5/15/18,CARPENTERS 5/15,DOGIELINOTIDAE,0
5/15/18,CARPENTERS 5/15,HYDRACHNIDIA,0
5/15/18,CARPENTERS 5/15,OSTRACODA,3
5/19/18,CARPENTERS 5/19,BOSMINIDAE,1
5/19/18,CARPENTERS 5/19,CHYDORIDAE,0
5/19/18,CARPENTERS 5/19,SIDIDAE,0
5/19/18,CARPENTERS 5/19,CALANOIDA,0
5/19/18,CARPENTERS 5/19,CYCLOPOIDA,4
5/19/18,CARPENTERS 5/19,DOGIELINOTIDAE,0
5/19/18,CARPENTERS 5/19,HYDRACHNIDIA,2
5/19/18,CARPENTERS 5/19,OSTRACODA,6
5/23/18,CARPENTERS 5/23,BOSMINIDAE,5
5/23/18,CARPENTERS 5/23,CHYDORIDAE,33
5/23/18,CARPENTERS 5/23,SIDIDAE,47
5/23/18,CARPENTERS 5/23,CALANOIDA,1
5/23/18,CARPENTERS 5/23,CYCLOPOIDA,38
5/23/18,CARPENTERS 5/23,DOGIELINOTIDAE,1
5/23/18,CARPENTERS 5/23,HYDRACHNIDIA,17
5/23/18,CARPENTERS 5/23,OSTRACODA,8
